Survey	Stratum	PSU	Layer	Beam	SpeciesCategory	IndividualTotalLength	LengthResolution	Frequency	Density	MinLayerDepth	MaxLayerDepth	DensityWeight	AcousticCategory	NASC	MeanNASCWeight	ChannelReferenceType	ChannelReferenceDepth	ChannelReferenceTilt	TargetStrength0	LengthExponent	WeightedCount	LengthDistributionType	midIndividualTotalLength	TargetStrength	backscatteringCrossSection	representativeBackscatteringCrossSection	representativeBackscatteringCrossSectionNormalized	crossSection
Survey	Engelsk_Klondyke_2020	T1	WaterColumn	38000/2				38000		0	Inf	5.3			5.3													
Survey	Engelsk_Klondyke_2020	T101										0			0													
Survey	Engelsk_Klondyke_2020	T102										0			0													
Survey	Engelsk_Klondyke_2020	T103										0			0													
Survey	Engelsk_Klondyke_2020	T104										0			0													
Survey	Engelsk_Klondyke_2020	T105										0			0													
Survey	Engelsk_Klondyke_2020	T106										0			0													
Survey	Engelsk_Klondyke_2020	T107										0			0													
Survey	Engelsk_Klondyke_2020	T2	WaterColumn	38000/2	havsil/171677/126751/NA	9	1	38000	22063.1570578649	0	Inf	7.1	27	0.012540785254	7.1	P	0	180	-93	20	199.999999999945	Percent	9.5	-73.445527894223	4.52321e-08	9.04643e-06	0.001274836805	5.68404e-07
Survey	Engelsk_Klondyke_2020	T2	WaterColumn	38000/2	havsil/171677/126751/NA	10	1	38000	44126.3141157392	0	Inf	7.1	27	0.030639813281	7.1	P	0	180	-93	20	399.999999999975	Percent	10.5	-72.576214018601	5.52559e-08	2.2102357e-05	0.003114698233	6.94366e-07
Survey	Engelsk_Klondyke_2020	T2	WaterColumn	38000/2	havsil/171677/126751/NA	11	1	38000	165473.677934028	0	Inf	7.1	27	0.137827051238	7.1	P	0	180	-93	20	1499.99999999997	Percent	11.5	-71.786043192928	6.6282e-08	9.9423017e-05	0.014010844941	8.32924e-07
Survey	Engelsk_Klondyke_2020	T2	WaterColumn	38000/2	havsil/171677/126751/NA	12	1	38000	661894.711736123	0	Inf	7.1	27	0.651356574847	7.1	P	0	180	-93	20	5999.99999999994	Percent	12.5	-71.061799739839	7.83105e-08	0.000469863032	0.066213822974	9.84079e-07
Survey	Engelsk_Klondyke_2020	T2	WaterColumn	38000/2	havsil/171677/126751/NA	13	1	38000	1158315.74553823	0	Inf	7.1	27	1.329549040578	7.1	P	0	180	-93	20	10500	Percent	13.5	-70.3933246301	9.13414e-08	0.00095908442	0.135155655455	1.14783e-06
Survey	Engelsk_Klondyke_2020	T2	WaterColumn	38000/2	havsil/171677/126751/NA	14	1	38000	1047999.96024886	0	Inf	7.1	27	1.387736894598	7.1	P	0	180	-93	20	9499.99999999986	Percent	14.5	-69.772639955301	1.05375e-07	0.001001058851	0.141070756974	1.324176e-06
Survey	Engelsk_Klondyke_2020	T2	WaterColumn	38000/2	havsil/171677/126751/NA	15	1	38000	595705.240562521	0	Inf	7.1	27	0.901373282537	7.1	P	0	180	-93	20	5400.00000000004	Percent	15.5	-69.193366036594	1.2041e-07	0.000650215258	0.091629336785	1.51312e-06
Survey	Engelsk_Klondyke_2020	T2	WaterColumn	38000/2	havsil/171677/126751/NA	16	1	38000	529515.7693889	0	Inf	7.1	27	0.907938956811	7.1	P	0	180	-93	20	4799.99999999997	Percent	16.5	-68.650321115722	1.36448e-07	0.000654951477	0.09229677212	1.714659e-06
Survey	Engelsk_Klondyke_2020	T2	WaterColumn	38000/2	havsil/171677/126751/NA	17	1	38000	639831.554678249	0	Inf	7.1	27	1.234103590477	7.1	P	0	180	-93	20	5799.99999999992	Percent	17.5	-68.139239026274	1.53489e-07	0.000890233824	0.125453123262	1.928795e-06
Survey	Engelsk_Klondyke_2020	T2	WaterColumn	38000/2	havsil/171677/126751/NA	18	1	38000	628799.97614932	0	Inf	7.1	27	1.355394869468	7.1	P	0	180	-93	20	5699.99999999998	Percent	18.5	-67.65656543194	1.71531e-07	0.000977728585	0.137783019951	2.155526e-06
Survey	Engelsk_Klondyke_2020	T2	WaterColumn	38000/2	havsil/171677/126751/NA	19	1	38000	319915.777339137	0	Inf	7.1	27	0.766151657598	7.1	P	0	180	-93	20	2900.00000000007	Percent	19.5	-67.19930777275	1.90576e-07	0.000552671692	0.077883347135	2.394854e-06
Survey	Engelsk_Klondyke_2020	T2	WaterColumn	38000/2	havsil/171677/126751/NA	20	1	38000	209599.992049773	0	Inf	7.1	27	0.554764737175	7.1	P	0	180	-93	20	1899.99999999999	Percent	20.5	-66.764922778885	2.10624e-07	0.000400185476	0.056394754453	2.646778e-06
Survey	Engelsk_Klondyke_2020	T2	WaterColumn	38000/2	havsil/171677/126751/NA	21	1	38000	132378.942347216	0	Inf	7.1	27	0.385394658206	7.1	P	0	180	-93	20	1199.99999999991	Percent	21.5	-66.351230801688	2.31674e-07	0.000278008558	0.039177394777	2.911299e-06
Survey	Engelsk_Klondyke_2020	T2	WaterColumn	38000/2	havsil/171677/126751/NA	22	1	38000	44126.3141157426	0	Inf	7.1	27	0.140693020167	7.1	P	0	180	-93	20	400.000000000006	Percent	22.5	-65.956349637773	2.53726e-07	0.000101490415	0.014302185762	3.188415e-06
Survey	Engelsk_Klondyke_2020	T2	WaterColumn	38000/2	havsil/171677/126751/NA	24	1	38000	11031.5785289354	0	Inf	7.1	27	0.041704190299	7.1	P	0	180	-93	20	99.999999999999	Percent	24.5	-65.216678312709	3.00838e-07	3.0083764e-05	0.004239450372	3.780437e-06
Survey	Engelsk_Klondyke_2020	T2	WaterColumn	38000/2				38000		0	Inf	7.1			7.1													
Survey	Engelsk_Klondyke_2020	T3	WaterColumn	38000/2	havsil/171677/126751/NA	9	1	38000	78327.649418776	0	Inf	13.5	27	0.044521744022	13.5	P	0	180	-93	20	199.999999999945	Percent	9.5	-73.445527894223	4.52321e-08	9.04643e-06	0.001274836805	5.68404e-07
Survey	Engelsk_Klondyke_2020	T3	WaterColumn	38000/2	havsil/171677/126751/NA	10	1	38000	156655.298837585	0	Inf	13.5	27	0.108776116973	13.5	P	0	180	-93	20	399.999999999975	Percent	10.5	-72.576214018601	5.52559e-08	2.2102357e-05	0.003114698233	6.94366e-07
Survey	Engelsk_Klondyke_2020	T3	WaterColumn	38000/2	havsil/171677/126751/NA	11	1	38000	587457.370640968	0	Inf	13.5	27	0.489307532982	13.5	P	0	180	-93	20	1499.99999999997	Percent	11.5	-71.786043192928	6.6282e-08	9.9423017e-05	0.014010844941	8.32924e-07
Survey	Engelsk_Klondyke_2020	T3	WaterColumn	38000/2	havsil/171677/126751/NA	12	1	38000	2349829.4825639	0	Inf	13.5	27	2.312417452654	13.5	P	0	180	-93	20	5999.99999999994	Percent	12.5	-71.061799739839	7.83105e-08	0.000469863032	0.066213822974	9.84079e-07
