Stratum	PSU	Layer	Haul	WeightingFactor
Engelsk_Klondyke_2020	T1	WaterColumn	2020821/5/2020/3317/21-36-37251	100
Engelsk_Klondyke_2020	T1	WaterColumn	2020821/5/2020/3317/21-37-37252	71
Engelsk_Klondyke_2020	T1	WaterColumn	2020821/5/2020/3317/21-38-37253	96
Engelsk_Klondyke_2020	T1	WaterColumn	2020821/5/2020/3317/21-39-37254	99
Engelsk_Klondyke_2020	T1	WaterColumn	2020821/5/2020/3317/21-40-37255	99
Engelsk_Klondyke_2020	T1	WaterColumn	2020821/5/2020/3317/21-41-37256	98
Engelsk_Klondyke_2020	T101	WaterColumn	2020821/5/2020/3317/21-36-37251	100
Engelsk_Klondyke_2020	T101	WaterColumn	2020821/5/2020/3317/21-37-37252	71
Engelsk_Klondyke_2020	T101	WaterColumn	2020821/5/2020/3317/21-38-37253	96
Engelsk_Klondyke_2020	T101	WaterColumn	2020821/5/2020/3317/21-39-37254	99
Engelsk_Klondyke_2020	T101	WaterColumn	2020821/5/2020/3317/21-40-37255	99
Engelsk_Klondyke_2020	T101	WaterColumn	2020821/5/2020/3317/21-41-37256	98
Engelsk_Klondyke_2020	T102	WaterColumn	2020821/5/2020/3317/21-36-37251	100
Engelsk_Klondyke_2020	T102	WaterColumn	2020821/5/2020/3317/21-37-37252	71
Engelsk_Klondyke_2020	T102	WaterColumn	2020821/5/2020/3317/21-38-37253	96
Engelsk_Klondyke_2020	T102	WaterColumn	2020821/5/2020/3317/21-39-37254	99
Engelsk_Klondyke_2020	T102	WaterColumn	2020821/5/2020/3317/21-40-37255	99
Engelsk_Klondyke_2020	T102	WaterColumn	2020821/5/2020/3317/21-41-37256	98
Engelsk_Klondyke_2020	T103	WaterColumn	2020821/5/2020/3317/21-36-37251	100
Engelsk_Klondyke_2020	T103	WaterColumn	2020821/5/2020/3317/21-37-37252	71
Engelsk_Klondyke_2020	T103	WaterColumn	2020821/5/2020/3317/21-38-37253	96
Engelsk_Klondyke_2020	T103	WaterColumn	2020821/5/2020/3317/21-39-37254	99
Engelsk_Klondyke_2020	T103	WaterColumn	2020821/5/2020/3317/21-40-37255	99
Engelsk_Klondyke_2020	T103	WaterColumn	2020821/5/2020/3317/21-41-37256	98
Engelsk_Klondyke_2020	T104	WaterColumn	2020821/5/2020/3317/21-36-37251	100
Engelsk_Klondyke_2020	T104	WaterColumn	2020821/5/2020/3317/21-37-37252	71
Engelsk_Klondyke_2020	T104	WaterColumn	2020821/5/2020/3317/21-38-37253	96
Engelsk_Klondyke_2020	T104	WaterColumn	2020821/5/2020/3317/21-39-37254	99
Engelsk_Klondyke_2020	T104	WaterColumn	2020821/5/2020/3317/21-40-37255	99
Engelsk_Klondyke_2020	T104	WaterColumn	2020821/5/2020/3317/21-41-37256	98
Engelsk_Klondyke_2020	T105	WaterColumn	2020821/5/2020/3317/21-36-37251	100
Engelsk_Klondyke_2020	T105	WaterColumn	2020821/5/2020/3317/21-37-37252	71
Engelsk_Klondyke_2020	T105	WaterColumn	2020821/5/2020/3317/21-38-37253	96
Engelsk_Klondyke_2020	T105	WaterColumn	2020821/5/2020/3317/21-39-37254	99
Engelsk_Klondyke_2020	T105	WaterColumn	2020821/5/2020/3317/21-40-37255	99
Engelsk_Klondyke_2020	T105	WaterColumn	2020821/5/2020/3317/21-41-37256	98
Engelsk_Klondyke_2020	T106	WaterColumn	2020821/5/2020/3317/21-36-37251	100
Engelsk_Klondyke_2020	T106	WaterColumn	2020821/5/2020/3317/21-37-37252	71
Engelsk_Klondyke_2020	T106	WaterColumn	2020821/5/2020/3317/21-38-37253	96
Engelsk_Klondyke_2020	T106	WaterColumn	2020821/5/2020/3317/21-39-37254	99
Engelsk_Klondyke_2020	T106	WaterColumn	2020821/5/2020/3317/21-40-37255	99
Engelsk_Klondyke_2020	T106	WaterColumn	2020821/5/2020/3317/21-41-37256	98
Engelsk_Klondyke_2020	T107	WaterColumn	2020821/5/2020/3317/21-36-37251	100
Engelsk_Klondyke_2020	T107	WaterColumn	2020821/5/2020/3317/21-37-37252	71
Engelsk_Klondyke_2020	T107	WaterColumn	2020821/5/2020/3317/21-38-37253	96
Engelsk_Klondyke_2020	T107	WaterColumn	2020821/5/2020/3317/21-39-37254	99
Engelsk_Klondyke_2020	T107	WaterColumn	2020821/5/2020/3317/21-40-37255	99
Engelsk_Klondyke_2020	T107	WaterColumn	2020821/5/2020/3317/21-41-37256	98
Engelsk_Klondyke_2020	T2	WaterColumn	2020821/5/2020/3317/21-36-37251	100
Engelsk_Klondyke_2020	T2	WaterColumn	2020821/5/2020/3317/21-37-37252	71
Engelsk_Klondyke_2020	T2	WaterColumn	2020821/5/2020/3317/21-38-37253	96
Engelsk_Klondyke_2020	T2	WaterColumn	2020821/5/2020/3317/21-39-37254	99
Engelsk_Klondyke_2020	T2	WaterColumn	2020821/5/2020/3317/21-40-37255	99
Engelsk_Klondyke_2020	T2	WaterColumn	2020821/5/2020/3317/21-41-37256	98
Engelsk_Klondyke_2020	T3	WaterColumn	2020821/5/2020/3317/21-36-37251	100
Engelsk_Klondyke_2020	T3	WaterColumn	2020821/5/2020/3317/21-37-37252	71
Engelsk_Klondyke_2020	T3	WaterColumn	2020821/5/2020/3317/21-38-37253	96
Engelsk_Klondyke_2020	T3	WaterColumn	2020821/5/2020/3317/21-39-37254	99
Engelsk_Klondyke_2020	T3	WaterColumn	2020821/5/2020/3317/21-40-37255	99
Engelsk_Klondyke_2020	T3	WaterColumn	2020821/5/2020/3317/21-41-37256	98
Engelsk_Klondyke_2020	T4	WaterColumn	2020821/5/2020/3317/21-36-37251	100
Engelsk_Klondyke_2020	T4	WaterColumn	2020821/5/2020/3317/21-37-37252	71
Engelsk_Klondyke_2020	T4	WaterColumn	2020821/5/2020/3317/21-38-37253	96
Engelsk_Klondyke_2020	T4	WaterColumn	2020821/5/2020/3317/21-39-37254	99
Engelsk_Klondyke_2020	T4	WaterColumn	2020821/5/2020/3317/21-40-37255	99
Engelsk_Klondyke_2020	T4	WaterColumn	2020821/5/2020/3317/21-41-37256	98
Engelsk_Klondyke_2020	T5	WaterColumn	2020821/5/2020/3317/21-36-37251	100
Engelsk_Klondyke_2020	T5	WaterColumn	2020821/5/2020/3317/21-37-37252	71
Engelsk_Klondyke_2020	T5	WaterColumn	2020821/5/2020/3317/21-38-37253	96
Engelsk_Klondyke_2020	T5	WaterColumn	2020821/5/2020/3317/21-39-37254	99
Engelsk_Klondyke_2020	T5	WaterColumn	2020821/5/2020/3317/21-40-37255	99
