Stratum	PSU
Engelsk_Klondyke_2020	T1
Engelsk_Klondyke_2020	T101
Engelsk_Klondyke_2020	T102
Engelsk_Klondyke_2020	T103
Engelsk_Klondyke_2020	T104
Engelsk_Klondyke_2020	T105
Engelsk_Klondyke_2020	T106
Engelsk_Klondyke_2020	T107
Engelsk_Klondyke_2020	T2
Engelsk_Klondyke_2020	T3
Engelsk_Klondyke_2020	T4
Engelsk_Klondyke_2020	T5
Engelsk_Klondyke_2020	T6
Engelsk_Klondyke_2020	T7
Engelsk_Klondyke_2020	T8
Engelsk_Klondyke_2020	T9
Outer_Shoal_2020_1	T10
Outer_Shoal_2020_1	T100
Outer_Shoal_2020_1	T11
Outer_Shoal_2020_1	T12
Outer_Shoal_2020_1	T13
Outer_Shoal_2020_1	T14
Outer_Shoal_2020_1	T15
Outer_Shoal_2020_1	T16
Outer_Shoal_2020_1	T17
Outer_Shoal_2020_1	T93
Outer_Shoal_2020_1	T94
Outer_Shoal_2020_1	T95
Outer_Shoal_2020_1	T96
Outer_Shoal_2020_1	T97
Outer_Shoal_2020_1	T98
Outer_Shoal_2020_1	T99
