CruiseKey	LogKey	BeamKey	AcousticCategoryKey	ChannelReferenceKey	ChannelReferenceType	ChannelReferenceDepth	ChannelReferenceTilt
2020821	2020-04-24T04:43:42.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T04:45:31.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T04:46:06.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T04:46:43.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T04:47:18.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T04:47:54.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T04:49:41.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T04:50:18.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T04:54:30.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T04:56:18.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T04:56:55.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T04:58:43.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:02:20.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:03:33.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:04:08.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:05:55.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:06:30.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:07:05.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:08:52.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:10:03.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:10:39.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:11:15.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:11:51.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:12:26.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:41:09.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:41:44.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:42:20.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:44:13.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:44:50.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:45:27.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:46:04.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:46:41.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:49:04.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:50:15.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:51:26.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:52:03.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:52:41.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:53:21.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T05:58:15.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:09:54.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:11:06.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:11:43.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:15:27.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:16:04.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:16:42.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:18:40.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:19:55.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:20:35.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:21:25.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:23:05.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:34:19.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:41:41.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:42:51.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:44:01.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:44:40.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:45:32.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:46:33.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:50:12.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:51:26.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:53:57.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:54:34.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:55:46.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T06:56:23.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:06:32.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:08:25.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:09:41.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:10:18.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:13:24.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:14:01.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:14:38.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:15:55.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:18:01.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:20:48.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:21:24.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:22:00.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:23:44.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:24:18.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:30:01.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:30:35.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:32:19.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:35:11.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:35:46.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:39:49.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:40:24.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:41:00.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:41:35.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:42:46.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:43:21.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:50:57.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:56:11.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:57:56.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T07:59:41.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:05:30.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:06:40.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:10:10.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:12:30.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:13:40.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:17:08.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:17:43.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:18:53.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:19:27.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:20:02.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:21:12.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:27:05.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:28:26.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:30:20.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:30:57.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:35:46.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:38:45.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:39:20.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:43:37.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:44:50.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:46:01.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:47:46.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:48:21.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:50:43.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:51:18.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:52:33.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:54:22.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:55:34.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:56:10.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:57:56.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T08:58:32.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:00:57.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:01:37.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:07:08.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:07:43.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:12:32.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:13:07.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:13:42.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:14:18.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:14:53.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:17:53.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:22:35.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:25:33.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:26:08.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:30:15.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:30:49.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:31:24.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:32:00.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:32:36.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:36:43.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:41:46.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:43:50.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:44:33.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:47:47.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:50:56.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:51:34.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:52:12.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:52:50.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:53:28.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:54:06.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:54:44.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:55:22.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:55:59.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:56:37.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:57:14.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:57:52.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T09:58:29.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:02:54.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:03:32.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:04:09.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:04:45.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:05:21.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:05:57.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:06:33.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:07:08.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:07:43.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:08:18.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:08:52.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:14:18.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:19:07.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:20:11.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:24:11.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:25:28.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:26:54.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:28:21.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:29:51.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:31:42.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:33:20.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:34:45.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:36:19.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:37:58.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:39:49.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T10:42:01.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T11:01:40.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T11:03:08.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T11:06:57.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T11:07:45.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T11:09:01.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T11:24:53.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T11:28:10.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T11:31:19.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T11:33:48.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T11:37:00.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T11:40:28.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T11:41:37.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T11:42:23.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T11:43:03.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T11:43:40.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T11:44:16.000Z	38000/2	27	P	P	0	180
2020821	2020-04-24T11:46:01.000Z	38000/2	27	P	P	0	180
