CruiseKey	StationKey	HaulKey	SpeciesCategoryKey	SampleKey	IndividualKey	Individual	IndividualRoundWeight	IndividualTotalLength	LengthResolution	WeightMeasurement	IndividualAge	IndividualSex	readability
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	2	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-2	18	18.5	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	3	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-3	19	19	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	4	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-4	14	17	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	5	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-5	15	17	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	6	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-6	18	18.5	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	7	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-7	12	16.5	0.5	IndividualWeight	2		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	8	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-8	25	21	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	9	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-9	29	22.5	0.5	IndividualWeight	6		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	10	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-10	13	17	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	12	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-12	19	19.5	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	13	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-13	17	17.5	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	14	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-14	14	16.5	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	15	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-15	16	18.5	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	16	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-16	20	19.5	0.5	IndividualWeight	6		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	17	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-17	11	16	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	19	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-19	11	16	0.5	IndividualWeight	2		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	20	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-20	12	17	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	21	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-21	16	18	0.5	IndividualWeight	4		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	22	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-22	9	14.5	0.5	IndividualWeight	1		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	23	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-23	14	17	0.5	IndividualWeight	2		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	24	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-24	12	16	0.5	IndividualWeight	2		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	25	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-25	13	17	0.5	IndividualWeight	2		1
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	26	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-26	23	20.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	27	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-27	11	15	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	28	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-28	14	16.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	29	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-29	20	19	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	30	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-30	10	15.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	31	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-31	11	15.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	32	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-32	13	17	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	33	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-33	25	20.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	34	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-34	19	19.5	0.5	IndividualWeight			
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	35	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-35	24	20.5	0.5	IndividualWeight			
