CruiseKey	StationKey	HaulKey	SpeciesCategoryKey	SampleKey	Sample	CatchFractionWeight	CatchFractionCount	SampleWeight	SampleCount	catchpartnumber
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1	295.94	20067	1.519	103	1
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1	0.935	74	0.935	74	1
2020821/5/2020/3317/21	38	37253	havsil/171677/126751/NA	2	2020821/5/2020/3317/21-38-37253-havsil/171677/126751/NA-2	0.83	116	0.713	100	1
2020821/5/2020/3317/21	39	37254	havsil/171677/126751/NA	1	2020821/5/2020/3317/21-39-37254-havsil/171677/126751/NA-1	1020	113459	0.899	100	1
2020821/5/2020/3317/21	40	37255	havsil/171677/126751/NA	3	2020821/5/2020/3317/21-40-37255-havsil/171677/126751/NA-3	4.615	392	1.177	100	1
2020821/5/2020/3317/21	41	37256	havsil/171677/126751/NA	4	2020821/5/2020/3317/21-41-37256-havsil/171677/126751/NA-4	1.073	141	0.761	100	1
2020821/5/2020/3317/21	42	37257	havsil/171677/126751/NA	1	2020821/5/2020/3317/21-42-37257-havsil/171677/126751/NA-1	649.2	66516	0.976	100	1
2020821/5/2020/3317/21	43	37258	havsil/171677/126751/NA	2	2020821/5/2020/3317/21-43-37258-havsil/171677/126751/NA-2	0.008	3	0.008	3	1
2020821/5/2020/3317/21	44	37259	havsil/171677/126751/NA	3	2020821/5/2020/3317/21-44-37259-havsil/171677/126751/NA-3	2000	309598	0.646	100	1
2020821/5/2020/3317/21	46	37261	havsil/171677/126751/NA	2	2020821/5/2020/3317/21-46-37261-havsil/171677/126751/NA-2	0.004	1	0.004	1	1
2020821/5/2020/3317/21	47	37262	havsil/171677/126751/NA	2	2020821/5/2020/3317/21-47-37262-havsil/171677/126751/NA-2	0.038	5	0.038	5	1
