Station	Haul	SpeciesCategory	IndividualTotalLength	LengthResolution	WeightedCount	MinHaulDepth	MaxHaulDepth	LengthDistributionWeight	LengthDistributionType	Cruise	EffectiveTowDistance	DateTime	Longitude	Latitude	Gear	VerticalNetOpening	HorizontalNetOpening	TrawlDoorSpread
2020821/5/2020/3317/21-36	2020821/5/2020/3317/21-36-37251	havsil/171677/126751/NA	13	0.5	2	75.21	79.96	1	Percent	2020821/5/2020/3317/21	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	3270	5		0
2020821/5/2020/3317/21-36	2020821/5/2020/3317/21-36-37251	havsil/171677/126751/NA	13.5	0.5	3	75.21	79.96	1	Percent	2020821/5/2020/3317/21	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	3270	5		0
2020821/5/2020/3317/21-36	2020821/5/2020/3317/21-36-37251	havsil/171677/126751/NA	14	0.5	6	75.21	79.96	1	Percent	2020821/5/2020/3317/21	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	3270	5		0
2020821/5/2020/3317/21-36	2020821/5/2020/3317/21-36-37251	havsil/171677/126751/NA	14.5	0.5	2	75.21	79.96	1	Percent	2020821/5/2020/3317/21	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	3270	5		0
2020821/5/2020/3317/21-36	2020821/5/2020/3317/21-36-37251	havsil/171677/126751/NA	15	0.5	6	75.21	79.96	1	Percent	2020821/5/2020/3317/21	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	3270	5		0
2020821/5/2020/3317/21-36	2020821/5/2020/3317/21-36-37251	havsil/171677/126751/NA	15.5	0.5	5	75.21	79.96	1	Percent	2020821/5/2020/3317/21	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	3270	5		0
2020821/5/2020/3317/21-36	2020821/5/2020/3317/21-36-37251	havsil/171677/126751/NA	16	0.5	7	75.21	79.96	1	Percent	2020821/5/2020/3317/21	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	3270	5		0
2020821/5/2020/3317/21-36	2020821/5/2020/3317/21-36-37251	havsil/171677/126751/NA	16.5	0.5	5	75.21	79.96	1	Percent	2020821/5/2020/3317/21	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	3270	5		0
2020821/5/2020/3317/21-36	2020821/5/2020/3317/21-36-37251	havsil/171677/126751/NA	17	0.5	12	75.21	79.96	1	Percent	2020821/5/2020/3317/21	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	3270	5		0
2020821/5/2020/3317/21-36	2020821/5/2020/3317/21-36-37251	havsil/171677/126751/NA	17.5	0.5	9	75.21	79.96	1	Percent	2020821/5/2020/3317/21	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	3270	5		0
2020821/5/2020/3317/21-36	2020821/5/2020/3317/21-36-37251	havsil/171677/126751/NA	18	0.5	11	75.21	79.96	1	Percent	2020821/5/2020/3317/21	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	3270	5		0
2020821/5/2020/3317/21-36	2020821/5/2020/3317/21-36-37251	havsil/171677/126751/NA	18.5	0.5	10	75.21	79.96	1	Percent	2020821/5/2020/3317/21	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	3270	5		0
2020821/5/2020/3317/21-36	2020821/5/2020/3317/21-36-37251	havsil/171677/126751/NA	19	0.5	6	75.21	79.96	1	Percent	2020821/5/2020/3317/21	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	3270	5		0
2020821/5/2020/3317/21-36	2020821/5/2020/3317/21-36-37251	havsil/171677/126751/NA	19.5	0.5	4	75.21	79.96	1	Percent	2020821/5/2020/3317/21	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	3270	5		0
2020821/5/2020/3317/21-36	2020821/5/2020/3317/21-36-37251	havsil/171677/126751/NA	20	0.5	6	75.21	79.96	1	Percent	2020821/5/2020/3317/21	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	3270	5		0
2020821/5/2020/3317/21-36	2020821/5/2020/3317/21-36-37251	havsil/171677/126751/NA	20.5	0.5	3	75.21	79.96	1	Percent	2020821/5/2020/3317/21	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	3270	5		0
2020821/5/2020/3317/21-36	2020821/5/2020/3317/21-36-37251	havsil/171677/126751/NA	21	0.5	2	75.21	79.96	1	Percent	2020821/5/2020/3317/21	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	3270	5		0
2020821/5/2020/3317/21-36	2020821/5/2020/3317/21-36-37251	havsil/171677/126751/NA	22.5	0.5	1	75.21	79.96	1	Percent	2020821/5/2020/3317/21	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	3270	5		0
2020821/5/2020/3317/21-37	2020821/5/2020/3317/21-37-37252	havsil/171677/126751/NA	9.5	0.5	1.408450704225	68.95	71.59	1	Percent	2020821/5/2020/3317/21	0.302	2020-04-24T11:27:20Z	4.207333333333	57.746166666667	4401	0.4		0
