CruiseKey	StationKey	HaulKey	SpeciesCategoryKey	SampleKey	Sample	CatchFractionWeight	CatchFractionCount	SampleWeight	SampleCount
2020821/5/2020/3317/21	36	37251	sild'G05/161722.G05/126417/NA	7	2020821/5/2020/3317/21-36-37251-sild'G05/161722.G05/126417/NA-7	132.52	1253	5.29	50
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	1	2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1	295.94	20067	1.519	103
2020821/5/2020/3317/21	36	37251	hvitting/164758/126438/NA	3	2020821/5/2020/3317/21-36-37251-hvitting/164758/126438/NA-3	1.316	16	0.329	4
2020821/5/2020/3317/21	36	37251	hyse/164744/126437/NA	2	2020821/5/2020/3317/21-36-37251-hyse/164744/126437/NA-2	1.532	20	0.383	5
2020821/5/2020/3317/21	36	37251	knurr/167044/150637/NA	4	2020821/5/2020/3317/21-36-37251-knurr/167044/150637/NA-4	2.16	12	0.54	3
2020821/5/2020/3317/21	36	37251	makrell/172414/127023/NA	5	2020821/5/2020/3317/21-36-37251-makrell/172414/127023/NA-5	9.32	48	2.33	12
2020821/5/2020/3317/21	36	37251	sandflyndre/172881/127139/NA	6	2020821/5/2020/3317/21-36-37251-sandflyndre/172881/127139/NA-6	2.008	52	0.502	13
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	1	2020821/5/2020/3317/21-37-37252-havsil/171677/126751/NA-1	0.935	74	0.935	74
2020821/5/2020/3317/21	38	37253	havsil/171677/126751/NA	2	2020821/5/2020/3317/21-38-37253-havsil/171677/126751/NA-2	0.83	116	0.713	100
2020821/5/2020/3317/21	38	37253	rødspette/172902/127143/NA	1	2020821/5/2020/3317/21-38-37253-rødspette/172902/127143/NA-1	0.29	1	0.29	1
2020821/5/2020/3317/21	39	37254	sild'G05/161722.G05/126417/NA	2	2020821/5/2020/3317/21-39-37254-sild'G05/161722.G05/126417/NA-2	350	4506	2.33	30
2020821/5/2020/3317/21	39	37254	havsil/171677/126751/NA	1	2020821/5/2020/3317/21-39-37254-havsil/171677/126751/NA-1	1020	113459	0.899	100
2020821/5/2020/3317/21	39	37254	hyse/164744/126437/NA	4	2020821/5/2020/3317/21-39-37254-hyse/164744/126437/NA-4	4.79	112	0.171	4
2020821/5/2020/3317/21	39	37254	knurr/167044/150637/NA	5	2020821/5/2020/3317/21-39-37254-knurr/167044/150637/NA-5	1.96	59	0.066	2
2020821/5/2020/3317/21	39	37254	makrell/172414/127023/NA	3	2020821/5/2020/3317/21-39-37254-makrell/172414/127023/NA-3	10.8	84	0.386	3
2020821/5/2020/3317/21	39	37254	sandflyndre/172881/127139/NA	6	2020821/5/2020/3317/21-39-37254-sandflyndre/172881/127139/NA-6	1.94	29	0.067	1
