CruiseKey	StationKey	HaulKey	SpeciesCategoryKey	SpeciesCategory
2020821/5/2020/3317/21	36	37251	sild'G05/161722.G05/126417/NA	sild'G05/161722.G05/126417/NA
2020821/5/2020/3317/21	36	37251	havsil/171677/126751/NA	havsil/171677/126751/NA
2020821/5/2020/3317/21	36	37251	hvitting/164758/126438/NA	hvitting/164758/126438/NA
2020821/5/2020/3317/21	36	37251	hyse/164744/126437/NA	hyse/164744/126437/NA
2020821/5/2020/3317/21	36	37251	knurr/167044/150637/NA	knurr/167044/150637/NA
2020821/5/2020/3317/21	36	37251	makrell/172414/127023/NA	makrell/172414/127023/NA
2020821/5/2020/3317/21	36	37251	sandflyndre/172881/127139/NA	sandflyndre/172881/127139/NA
2020821/5/2020/3317/21	37	37252	havsil/171677/126751/NA	havsil/171677/126751/NA
2020821/5/2020/3317/21	38	37253	havsil/171677/126751/NA	havsil/171677/126751/NA
2020821/5/2020/3317/21	38	37253	rødspette/172902/127143/NA	rødspette/172902/127143/NA
2020821/5/2020/3317/21	39	37254	sild'G05/161722.G05/126417/NA	sild'G05/161722.G05/126417/NA
2020821/5/2020/3317/21	39	37254	havsil/171677/126751/NA	havsil/171677/126751/NA
2020821/5/2020/3317/21	39	37254	hyse/164744/126437/NA	hyse/164744/126437/NA
2020821/5/2020/3317/21	39	37254	knurr/167044/150637/NA	knurr/167044/150637/NA
2020821/5/2020/3317/21	39	37254	makrell/172414/127023/NA	makrell/172414/127023/NA
2020821/5/2020/3317/21	39	37254	sandflyndre/172881/127139/NA	sandflyndre/172881/127139/NA
2020821/5/2020/3317/21	40	37255	havsil/171677/126751/NA	havsil/171677/126751/NA
2020821/5/2020/3317/21	40	37255	rødspette/172902/127143/NA	rødspette/172902/127143/NA
2020821/5/2020/3317/21	40	37255	sandflyndre/172881/127139/NA	sandflyndre/172881/127139/NA
2020821/5/2020/3317/21	41	37256	blekkspruter/82326/11707/NA	blekkspruter/82326/11707/NA
2020821/5/2020/3317/21	41	37256	havsil/171677/126751/NA	havsil/171677/126751/NA
2020821/5/2020/3317/21	41	37256	rødspette/172902/127143/NA	rødspette/172902/127143/NA
2020821/5/2020/3317/21	41	37256	sandflyndre/172881/127139/NA	sandflyndre/172881/127139/NA
2020821/5/2020/3317/21	42	37257	havsil/171677/126751/NA	havsil/171677/126751/NA
2020821/5/2020/3317/21	42	37257	hvitting/164758/126438/NA	hvitting/164758/126438/NA
2020821/5/2020/3317/21	42	37257	hyse/164744/126437/NA	hyse/164744/126437/NA
2020821/5/2020/3317/21	42	37257	knurr/167044/150637/NA	knurr/167044/150637/NA
2020821/5/2020/3317/21	42	37257	makrell/172414/127023/NA	makrell/172414/127023/NA
2020821/5/2020/3317/21	42	37257	sandflyndre/172881/127139/NA	sandflyndre/172881/127139/NA
2020821/5/2020/3317/21	42	37257	torsk/164712/126436/NA	torsk/164712/126436/NA
2020821/5/2020/3317/21	43	37258	havsil/171677/126751/NA	havsil/171677/126751/NA
2020821/5/2020/3317/21	43	37258	sandflyndre/172881/127139/NA	sandflyndre/172881/127139/NA
2020821/5/2020/3317/21	44	37259	havsil/171677/126751/NA	havsil/171677/126751/NA
2020821/5/2020/3317/21	44	37259	knurr/167044/150637/NA	knurr/167044/150637/NA
2020821/5/2020/3317/21	44	37259	sandflyndre/172881/127139/NA	sandflyndre/172881/127139/NA
2020821/5/2020/3317/21	46	37261	havsil/171677/126751/NA	havsil/171677/126751/NA
2020821/5/2020/3317/21	46	37261	rødspette/172902/127143/NA	rødspette/172902/127143/NA
2020821/5/2020/3317/21	46	37261	øyepål/164756/126444/NA	øyepål/164756/126444/NA
2020821/5/2020/3317/21	47	37262	Tunge/173002/127160/NA	Tunge/173002/127160/NA
2020821/5/2020/3317/21	47	37262	havsil/171677/126751/NA	havsil/171677/126751/NA
2020821/5/2020/3317/21	47	37262	kutlingfamilien/171746/125537/NA	kutlingfamilien/171746/125537/NA
2020821/5/2020/3317/21	48	37263	knurr/167044/150637/NA	knurr/167044/150637/NA
2020821/5/2020/3317/21	48	37263	rødspette/172902/127143/NA	rødspette/172902/127143/NA
