VariableName;Value;NewValue;sort;versjonnr;TSN;ITIS status;Order;Family;Scientific;Author;noname;Speccat2004;Speccat2007;name comment;Comment;Zoogeogr Andreiashev and Chernova 1995;Zoogeogr mecklenburg et al 2013
SpeciesCategory;159772;Myxine glutinosa;1;13.03.2020;159772;Valid;Myxiniformes;Myxinidae;Myxine glutinosa;Linnaeus  1758;slimål;Myxine glutinosa;Myxine glutinosa;;;;
SpeciesCategory;622287;Lethenteron camtschaticum;3;13.03.2020;622287;Valid;Petromyzontiformes;Petromyzontidae;Lethenteron camtschaticum;(Tilesius  1811 );arktisk niøye;Lethenteron camtschaticum;Lethenteron camtschaticum;;;MB;
SpeciesCategory;159703;Lethenteron camtschaticum;2;13.03.2020;159703;Invalid;Petromyzontiformes;Petromyzontidae;Lethenteron japonicum;(Martens  1868);lethenteron japonicum;Lethenteron camtschaticum;Lethenteron camtschaticum;no valid norwegian name;synonym of Lethenteron camtschaticum;;
SpeciesCategory;159722;Petromyzon marinus;4;13.03.2020;159722;Valid;Petromyzontiformes;Petromyzontidae;Petromyzon marinus;Linnaeus  1758;havniøye;Petromyzon marinus;Petromyzon marinus;;;SB;
SpeciesCategory;159697;;5;13.03.2020;159697;Valid;Petromyzontiformes;Petromyzontidae;Petromyzontidae;;niøyefamilien;;;;;;
SpeciesCategory;160670;Etmopterus spinax;6;13.03.2020;160670;Valid;Squaliformes;Dalatiidae;Etmopterus spinax;(Linnaeus  1758);svarthå;Etmopterus spinax;Etmopterus spinax;;;WD;
SpeciesCategory;160611;Somniosus microcephalus;7;13.03.2020;160611;Valid;Squaliformes;Somniosidae;Somniosus microcephalus;(Bloch & Schneider  1801);håkjerring;Somniosus microcephalus;Somniosus microcephalus;;;;
SpeciesCategory;160932;Bathyraja spinicauda;8;13.03.2020;160932;Valid;Rajiformes;Arhynchobatidae;Bathyraja spinicauda;(Jensen  1914);gråskate;Bathyraja spinicauda;Bathyraja spinicauda;;;MB;MB
SpeciesCategory;564138;Amblyraja hyperborea;9;13.03.2020;564138;Valid;Rajiformes;Rajidae;Amblyraja hyperborea;(Collett  1879);isskate;Amblyraja hyperborea;Amblyraja hyperborea;;;A;A
SpeciesCategory;564149;Amblyraja radiata;10;13.03.2020;564149;Valid;Rajiformes;Rajidae;Amblyraja radiata;(Donovan  1808);kloskate;Amblyraja radiata;Amblyraja radiata;;;MB;MB
