"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"IndividualKey"	"Individual"	"IndividualRoundWeight"	"IndividualTotalLength"	"LengthResolution"	"WeightMeasurement"	"IndividualAge"	"IndividualSex"
"1999002/4/1999/1024/2"	"16"	"80001"	"sild'G03/161722.G03/126417/NA"	"1"	"1"	"1999002/4/1999/1024/2-16-80001-sild'G03/161722.G03/126417/NA-1-1"	NA	9.5	0.5	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"gapeflyndre/172877/127137/NA"	"11"	"1"	"1999002/4/1999/1024/2-16-80001-gapeflyndre/172877/127137/NA-11-1"	NA	7	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"gapeflyndre/172877/127137/NA"	"11"	"2"	"1999002/4/1999/1024/2-16-80001-gapeflyndre/172877/127137/NA-11-2"	NA	24	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"gapeflyndre/172877/127137/NA"	"11"	"3"	"1999002/4/1999/1024/2-16-80001-gapeflyndre/172877/127137/NA-11-3"	NA	25	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"gapeflyndre/172877/127137/NA"	"11"	"4"	"1999002/4/1999/1024/2-16-80001-gapeflyndre/172877/127137/NA-11-4"	NA	29	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"gapeflyndre/172877/127137/NA"	"11"	"5"	"1999002/4/1999/1024/2-16-80001-gapeflyndre/172877/127137/NA-11-5"	NA	32	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"gapeflyndre/172877/127137/NA"	"11"	"6"	"1999002/4/1999/1024/2-16-80001-gapeflyndre/172877/127137/NA-11-6"	NA	41	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"hyse/164744/126437/NA"	"3"	"1"	"1999002/4/1999/1024/2-16-80001-hyse/164744/126437/NA-3-1"	NA	12	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"hyse/164744/126437/NA"	"3"	"2"	"1999002/4/1999/1024/2-16-80001-hyse/164744/126437/NA-3-2"	NA	12	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"hyse/164744/126437/NA"	"3"	"3"	"1999002/4/1999/1024/2-16-80001-hyse/164744/126437/NA-3-3"	NA	12	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"hyse/164744/126437/NA"	"3"	"4"	"1999002/4/1999/1024/2-16-80001-hyse/164744/126437/NA-3-4"	NA	12	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"hyse/164744/126437/NA"	"3"	"5"	"1999002/4/1999/1024/2-16-80001-hyse/164744/126437/NA-3-5"	NA	12	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"hyse/164744/126437/NA"	"3"	"6"	"1999002/4/1999/1024/2-16-80001-hyse/164744/126437/NA-3-6"	NA	12	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"hyse/164744/126437/NA"	"3"	"7"	"1999002/4/1999/1024/2-16-80001-hyse/164744/126437/NA-3-7"	NA	12	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"hyse/164744/126437/NA"	"3"	"8"	"1999002/4/1999/1024/2-16-80001-hyse/164744/126437/NA-3-8"	NA	12	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"hyse/164744/126437/NA"	"3"	"9"	"1999002/4/1999/1024/2-16-80001-hyse/164744/126437/NA-3-9"	NA	13	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"hyse/164744/126437/NA"	"3"	"10"	"1999002/4/1999/1024/2-16-80001-hyse/164744/126437/NA-3-10"	NA	13	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"hyse/164744/126437/NA"	"3"	"11"	"1999002/4/1999/1024/2-16-80001-hyse/164744/126437/NA-3-11"	NA	13	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"hyse/164744/126437/NA"	"3"	"12"	"1999002/4/1999/1024/2-16-80001-hyse/164744/126437/NA-3-12"	NA	13	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"hyse/164744/126437/NA"	"3"	"13"	"1999002/4/1999/1024/2-16-80001-hyse/164744/126437/NA-3-13"	NA	13	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"hyse/164744/126437/NA"	"3"	"14"	"1999002/4/1999/1024/2-16-80001-hyse/164744/126437/NA-3-14"	NA	13	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"hyse/164744/126437/NA"	"3"	"15"	"1999002/4/1999/1024/2-16-80001-hyse/164744/126437/NA-3-15"	NA	13	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"hyse/164744/126437/NA"	"3"	"16"	"1999002/4/1999/1024/2-16-80001-hyse/164744/126437/NA-3-16"	NA	13	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"16"	"80001"	"hyse/164744/126437/NA"	"3"	"17"	"1999002/4/1999/1024/2-16-80001-hyse/164744/126437/NA-3-17"	NA	13	1	"IndividualWeight"	NA	NA
