"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SpeciesCategory"
"1999002/4/1999/1024/2"	"16"	"80001"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"1999002/4/1999/1024/2"	"16"	"80001"	"arktisk knurrulke/644643/127207/NA"	"arktisk knurrulke/644643/127207/NA"
"1999002/4/1999/1024/2"	"16"	"80001"	"dypvannsreke/96967/107649/NA"	"dypvannsreke/96967/107649/NA"
"1999002/4/1999/1024/2"	"16"	"80001"	"gapeflyndre/172877/127137/NA"	"gapeflyndre/172877/127137/NA"
"1999002/4/1999/1024/2"	"16"	"80001"	"hyse/164744/126437/NA"	"hyse/164744/126437/NA"
"1999002/4/1999/1024/2"	"16"	"80001"	"krokulke/167208/127193/NA"	"krokulke/167208/127193/NA"
"1999002/4/1999/1024/2"	"16"	"80001"	"lusuer/166779/127255/NA"	"lusuer/166779/127255/NA"
"1999002/4/1999/1024/2"	"16"	"80001"	"nordlig ringbuk/167522/127212/NA"	"nordlig ringbuk/167522/127212/NA"
"1999002/4/1999/1024/2"	"16"	"80001"	"paddeulke/167408/127235/NA"	"paddeulke/167408/127235/NA"
"1999002/4/1999/1024/2"	"16"	"80001"	"rødspette/172902/127143/NA"	"rødspette/172902/127143/NA"
"1999002/4/1999/1024/2"	"16"	"80001"	"sei/164727/126441/NA"	"sei/164727/126441/NA"
"1999002/4/1999/1024/2"	"16"	"80001"	"uerslekten/166705/126175/NA"	"uerslekten/166705/126175/NA"
"1999002/4/1999/1024/2"	"16"	"80001"	"vanlig ålebrosme/631144/274100/NA"	"vanlig ålebrosme/631144/274100/NA"
"1999002/4/1999/1024/2"	"16"	"80001"	"vanlig uer/166781/151324/NA"	"vanlig uer/166781/151324/NA"
"1999002/4/1999/1024/2"	"16"	"80001"	"øyepål/164756/126444/NA"	"øyepål/164756/126444/NA"
"1999002/4/1999/1024/2"	"17"	"80002"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"1999002/4/1999/1024/2"	"17"	"80002"	"åttearmete blekkspruter/82589/11718/NA"	"åttearmete blekkspruter/82589/11718/NA"
"1999002/4/1999/1024/2"	"17"	"80002"	"dypvannsreke/96967/107649/NA"	"dypvannsreke/96967/107649/NA"
"1999002/4/1999/1024/2"	"17"	"80002"	"gapeflyndre/172877/127137/NA"	"gapeflyndre/172877/127137/NA"
"1999002/4/1999/1024/2"	"17"	"80002"	"hyse/164744/126437/NA"	"hyse/164744/126437/NA"
"1999002/4/1999/1024/2"	"17"	"80002"	"kloskate/564149/105865/NA"	"kloskate/564149/105865/NA"
"1999002/4/1999/1024/2"	"17"	"80002"	"lodde/162035/126735/NA"	"lodde/162035/126735/NA"
"1999002/4/1999/1024/2"	"17"	"80002"	"nordlig ringbuk/167522/127212/NA"	"nordlig ringbuk/167522/127212/NA"
"1999002/4/1999/1024/2"	"17"	"80002"	"paddeulke/167408/127235/NA"	"paddeulke/167408/127235/NA"
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"torsk/164712/126436/NA"
"1999002/4/1999/1024/2"	"17"	"80002"	"uerslekten/166705/126175/NA"	"uerslekten/166705/126175/NA"
"1999002/4/1999/1024/2"	"17"	"80002"	"vanlig ålebrosme/631144/274100/NA"	"vanlig ålebrosme/631144/274100/NA"
"1999002/4/1999/1024/2"	"17"	"80002"	"vanlig uer/166781/151324/NA"	"vanlig uer/166781/151324/NA"
"1999002/4/1999/1024/2"	"17"	"80002"	"øyepål/164756/126444/NA"	"øyepål/164756/126444/NA"
"1999002/4/1999/1024/2"	"18"	"80003"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"1999002/4/1999/1024/2"	"18"	"80003"	"åttearmete blekkspruter/82589/11718/NA"	"åttearmete blekkspruter/82589/11718/NA"
"1999002/4/1999/1024/2"	"18"	"80003"	"dypvannsreke/96967/107649/NA"	"dypvannsreke/96967/107649/NA"
"1999002/4/1999/1024/2"	"18"	"80003"	"gapeflyndre/172877/127137/NA"	"gapeflyndre/172877/127137/NA"
"1999002/4/1999/1024/2"	"18"	"80003"	"gråskate/160932/105868/NA"	"gråskate/160932/105868/NA"
"1999002/4/1999/1024/2"	"18"	"80003"	"hyse/164744/126437/NA"	"hyse/164744/126437/NA"
"1999002/4/1999/1024/2"	"18"	"80003"	"kloskate/564149/105865/NA"	"kloskate/564149/105865/NA"
"1999002/4/1999/1024/2"	"18"	"80003"	"kolmule/164774/126439/NA"	"kolmule/164774/126439/NA"
"1999002/4/1999/1024/2"	"18"	"80003"	"nordlig ringbuk/167522/127212/NA"	"nordlig ringbuk/167522/127212/NA"
"1999002/4/1999/1024/2"	"18"	"80003"	"paddeulke/167408/127235/NA"	"paddeulke/167408/127235/NA"
"1999002/4/1999/1024/2"	"18"	"80003"	"snabeluer/166756/127254/NA"	"snabeluer/166756/127254/NA"
"1999002/4/1999/1024/2"	"18"	"80003"	"torsk/164712/126436/NA"	"torsk/164712/126436/NA"
"1999002/4/1999/1024/2"	"18"	"80003"	"vanlig uer/166781/151324/NA"	"vanlig uer/166781/151324/NA"
"1999002/4/1999/1024/2"	"18"	"80003"	"øyepål/164756/126444/NA"	"øyepål/164756/126444/NA"
"1999002/4/1999/1024/2"	"19"	"80004"	"gapeflyndre/172877/127137/NA"	"gapeflyndre/172877/127137/NA"
"1999002/4/1999/1024/2"	"19"	"80004"	"hyse/164744/126437/NA"	"hyse/164744/126437/NA"
"1999002/4/1999/1024/2"	"19"	"80004"	"rognkjeks/167612/127214/NA"	"rognkjeks/167612/127214/NA"
"1999002/4/1999/1024/2"	"19"	"80004"	"rundskate/564135/105894/NA"	"rundskate/564135/105894/NA"
"1999002/4/1999/1024/2"	"19"	"80004"	"snabeluer/166756/127254/NA"	"snabeluer/166756/127254/NA"
"1999002/4/1999/1024/2"	"19"	"80004"	"torsk/164712/126436/NA"	"torsk/164712/126436/NA"
"1999002/4/1999/1024/2"	"19"	"80004"	"vanlig uer/166781/151324/NA"	"vanlig uer/166781/151324/NA"
"1999002/4/1999/1024/2"	"20"	"80005"	"sild'G03/161722.G03/126417/NA"	"sild'G03/161722.G03/126417/NA"
"1999002/4/1999/1024/2"	"20"	"80005"	"dypvannsreke/96967/107649/NA"	"dypvannsreke/96967/107649/NA"
