"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"Sample"	"CatchFractionWeight"	"CatchFractionCount"	"SampleWeight"	"SampleCount"
"1999002/4/1999/1024/2"	"17"	"80002"	"sild'G03/161722.G03/126417/NA"	"1"	"1999002/4/1999/1024/2-17-80002-sild'G03/161722.G03/126417/NA-1"	0.165	9	0.165	9
"1999002/4/1999/1024/2"	"17"	"80002"	"åttearmete blekkspruter/82589/11718/NA"	"13"	"1999002/4/1999/1024/2-17-80002-åttearmete blekkspruter/82589/11718/NA-13"	0.05	2	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"dypvannsreke/96967/107649/NA"	"14"	"1999002/4/1999/1024/2-17-80002-dypvannsreke/96967/107649/NA-14"	17.6	NA	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"gapeflyndre/172877/127137/NA"	"10"	"1999002/4/1999/1024/2-17-80002-gapeflyndre/172877/127137/NA-10"	0.003	1	0.003	1
"1999002/4/1999/1024/2"	"17"	"80002"	"hyse/164744/126437/NA"	"4"	"1999002/4/1999/1024/2-17-80002-hyse/164744/126437/NA-4"	15.52	53	15.52	53
"1999002/4/1999/1024/2"	"17"	"80002"	"kloskate/564149/105865/NA"	"11"	"1999002/4/1999/1024/2-17-80002-kloskate/564149/105865/NA-11"	1.725	6	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"lodde/162035/126735/NA"	"2"	"1999002/4/1999/1024/2-17-80002-lodde/162035/126735/NA-2"	0.031	1	0.031	1
"1999002/4/1999/1024/2"	"17"	"80002"	"nordlig ringbuk/167522/127212/NA"	"9"	"1999002/4/1999/1024/2-17-80002-nordlig ringbuk/167522/127212/NA-9"	0.325	11	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"paddeulke/167408/127235/NA"	"8"	"1999002/4/1999/1024/2-17-80002-paddeulke/167408/127235/NA-8"	0.305	2	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111
"1999002/4/1999/1024/2"	"17"	"80002"	"uerslekten/166705/126175/NA"	"6"	"1999002/4/1999/1024/2-17-80002-uerslekten/166705/126175/NA-6"	0.022	2	0.022	2
"1999002/4/1999/1024/2"	"17"	"80002"	"vanlig ålebrosme/631144/274100/NA"	"12"	"1999002/4/1999/1024/2-17-80002-vanlig ålebrosme/631144/274100/NA-12"	0.045	1	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"vanlig uer/166781/151324/NA"	"7"	"1999002/4/1999/1024/2-17-80002-vanlig uer/166781/151324/NA-7"	11.48	27	11.48	27
"1999002/4/1999/1024/2"	"17"	"80002"	"øyepål/164756/126444/NA"	"5"	"1999002/4/1999/1024/2-17-80002-øyepål/164756/126444/NA-5"	2.295	66	2.295	66
"1999002/4/1999/1024/2"	"21"	"80006"	"sild'G03/161722.G03/126417/NA"	"2"	"1999002/4/1999/1024/2-21-80006-sild'G03/161722.G03/126417/NA-2"	0.41	22	0.41	22
"1999002/4/1999/1024/2"	"21"	"80006"	"dypvannsreke/96967/107649/NA"	"12"	"1999002/4/1999/1024/2-21-80006-dypvannsreke/96967/107649/NA-12"	38	NA	NA	NA
"1999002/4/1999/1024/2"	"21"	"80006"	"gapeflyndre/172877/127137/NA"	"9"	"1999002/4/1999/1024/2-21-80006-gapeflyndre/172877/127137/NA-9"	11.52	68	2.88	17
"1999002/4/1999/1024/2"	"21"	"80006"	"hyse/164744/126437/NA"	"4"	"1999002/4/1999/1024/2-21-80006-hyse/164744/126437/NA-4"	66.7	92	27.6	38
"1999002/4/1999/1024/2"	"21"	"80006"	"hyse/164744/126437/NA"	"5"	"1999002/4/1999/1024/2-21-80006-hyse/164744/126437/NA-5"	15.28	764	0.88	44
"1999002/4/1999/1024/2"	"21"	"80006"	"kloskate/564149/105865/NA"	"10"	"1999002/4/1999/1024/2-21-80006-kloskate/564149/105865/NA-10"	2.48	4	NA	NA
"1999002/4/1999/1024/2"	"21"	"80006"	"paddeulke/167408/127235/NA"	"8"	"1999002/4/1999/1024/2-21-80006-paddeulke/167408/127235/NA-8"	0.12	8	NA	NA
"1999002/4/1999/1024/2"	"21"	"80006"	"skatefamilien/160845/105711/NA"	"1"	"1999002/4/1999/1024/2-21-80006-skatefamilien/160845/105711/NA-1"	0.02	4	NA	NA
"1999002/4/1999/1024/2"	"21"	"80006"	"torsk/164712/126436/NA"	"3"	"1999002/4/1999/1024/2-21-80006-torsk/164712/126436/NA-3"	94.82	109	46.975	54
"1999002/4/1999/1024/2"	"21"	"80006"	"uerslekten/166705/126175/NA"	"6"	"1999002/4/1999/1024/2-21-80006-uerslekten/166705/126175/NA-6"	0.2	8	0.05	2
"1999002/4/1999/1024/2"	"21"	"80006"	"vanlig ålebrosme/631144/274100/NA"	"11"	"1999002/4/1999/1024/2-21-80006-vanlig ålebrosme/631144/274100/NA-11"	0.28	12	NA	NA
"1999002/4/1999/1024/2"	"21"	"80006"	"vanlig uer/166781/151324/NA"	"7"	"1999002/4/1999/1024/2-21-80006-vanlig uer/166781/151324/NA-7"	4.86	10	4.86	10
"1999002/4/1999/1024/2"	"22"	"80007"	"sild'G03/161722.G03/126417/NA"	"1"	"1999002/4/1999/1024/2-22-80007-sild'G03/161722.G03/126417/NA-1"	0.34	11	0.34	11
"1999002/4/1999/1024/2"	"22"	"80007"	"blåsteinbit/550561/126757/NA"	"7"	"1999002/4/1999/1024/2-22-80007-blåsteinbit/550561/126757/NA-7"	7.14	1	7.14	1
"1999002/4/1999/1024/2"	"22"	"80007"	"gapeflyndre/172877/127137/NA"	"6"	"1999002/4/1999/1024/2-22-80007-gapeflyndre/172877/127137/NA-6"	7.62	28	7.62	28
"1999002/4/1999/1024/2"	"22"	"80007"	"hyse/164744/126437/NA"	"3"	"1999002/4/1999/1024/2-22-80007-hyse/164744/126437/NA-3"	13.7	54	13.7	54
"1999002/4/1999/1024/2"	"22"	"80007"	"kloskate/564149/105865/NA"	"9"	"1999002/4/1999/1024/2-22-80007-kloskate/564149/105865/NA-9"	1.325	3	NA	NA
"1999002/4/1999/1024/2"	"22"	"80007"	"rundskate/564135/105894/NA"	"8"	"1999002/4/1999/1024/2-22-80007-rundskate/564135/105894/NA-8"	1.275	2	NA	NA
"1999002/4/1999/1024/2"	"22"	"80007"	"torsk/164712/126436/NA"	"2"	"1999002/4/1999/1024/2-22-80007-torsk/164712/126436/NA-2"	40.32	85	40.32	85
"1999002/4/1999/1024/2"	"22"	"80007"	"vanlig ålebrosme/631144/274100/NA"	"10"	"1999002/4/1999/1024/2-22-80007-vanlig ålebrosme/631144/274100/NA-10"	0.26	6	NA	NA
"1999002/4/1999/1024/2"	"22"	"80007"	"vanlig uer/166781/151324/NA"	"5"	"1999002/4/1999/1024/2-22-80007-vanlig uer/166781/151324/NA-5"	0.97	4	0.97	4
"1999002/4/1999/1024/2"	"22"	"80007"	"øyepål/164756/126444/NA"	"4"	"1999002/4/1999/1024/2-22-80007-øyepål/164756/126444/NA-4"	0.035	1	0.035	1
"1999002/4/1999/1024/2"	"23"	"80008"	"sild'G03/161722.G03/126417/NA"	"1"	"1999002/4/1999/1024/2-23-80008-sild'G03/161722.G03/126417/NA-1"	2.165	206	1.05	100
"1999002/4/1999/1024/2"	"23"	"80008"	"blåsteinbit/550561/126757/NA"	"14"	"1999002/4/1999/1024/2-23-80008-blåsteinbit/550561/126757/NA-14"	27.72	2	27.72	2
"1999002/4/1999/1024/2"	"23"	"80008"	"dypvannsreke/96967/107649/NA"	"17"	"1999002/4/1999/1024/2-23-80008-dypvannsreke/96967/107649/NA-17"	21.6	NA	NA	NA
"1999002/4/1999/1024/2"	"23"	"80008"	"flekksteinbit/171342/126759/NA"	"11"	"1999002/4/1999/1024/2-23-80008-flekksteinbit/171342/126759/NA-11"	8.68	1	8.68	1
"1999002/4/1999/1024/2"	"23"	"80008"	"gapeflyndre/172877/127137/NA"	"12"	"1999002/4/1999/1024/2-23-80008-gapeflyndre/172877/127137/NA-12"	35.98	188	19.1	100
"1999002/4/1999/1024/2"	"23"	"80008"	"hyse/164744/126437/NA"	"5"	"1999002/4/1999/1024/2-23-80008-hyse/164744/126437/NA-5"	49.94	113	49.94	113
"1999002/4/1999/1024/2"	"23"	"80008"	"hyse/164744/126437/NA"	"6"	"1999002/4/1999/1024/2-23-80008-hyse/164744/126437/NA-6"	10.34	442	2.34	100
"1999002/4/1999/1024/2"	"23"	"80008"	"kloskate/564149/105865/NA"	"15"	"1999002/4/1999/1024/2-23-80008-kloskate/564149/105865/NA-15"	6.08	8	NA	NA
"1999002/4/1999/1024/2"	"23"	"80008"	"krokulke/167208/127193/NA"	"9"	"1999002/4/1999/1024/2-23-80008-krokulke/167208/127193/NA-9"	0.008	1	NA	NA
"1999002/4/1999/1024/2"	"23"	"80008"	"lodde/162035/126735/NA"	"2"	"1999002/4/1999/1024/2-23-80008-lodde/162035/126735/NA-2"	0.08	5	0.08	5
