"Survey"	"Stratum"	"Layer"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"Beam"	"Frequency"	"Abundance"	"MinLayerDepth"	"MaxLayerDepth"
"Survey"	"45G9"	"WaterColumn"	"126417"	7	0.5	"I1"	38000	1834267.59192451	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	7.5	0.5	"I1"	38000	102792545.86693	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	8	0.5	"I1"	38000	161525889.168104	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	8.5	0.5	"I1"	38000	848020113.222381	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	9	0.5	"I1"	38000	701168364.78972	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	9.5	0.5	"I1"	38000	163360156.760029	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	10	0.5	"I1"	38000	64236146.0769719	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	10.5	0.5	"I1"	38000	1834267.59192451	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	11	0.5	"I1"	38000	1834267.59192451	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	12.5	0.5	"I1"	38000	11130788.7634882	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	13	0.5	"I1"	38000	129311794.277847	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	13.5	0.5	"I1"	38000	129311794.277847	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	14	0.5	"I1"	38000	310019861.489146	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	14.5	0.5	"I1"	38000	303146743.609646	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	15	0.5	"I1"	38000	389577606.721921	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	15.5	0.5	"I1"	38000	474366245.945838	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	16	0.5	"I1"	38000	345054451.667992	10	189.2
"Survey"	"45G9"	"WaterColumn"	"126417"	16.5	0.5	"I1"	38000	267138930.323598	10	189.2
