"Survey"	"Stratum"	"PSU"	"Layer"	"Beam"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"Frequency"	"Density"	"MinLayerDepth"	"MaxLayerDepth"	"DensityWeight"
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	7	0.5	38000	473.047292047076	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	7.5	0.5	38000	26509.6192502415	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	8	0.5	38000	41656.6180435536	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	8.5	0.5	38000	218699.616090591	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	9	0.5	38000	180827.376383426	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	9.5	0.5	38000	42129.6653356007	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	10	0.5	38000	16566.1406694594	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	10.5	0.5	38000	473.047292047077	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	11	0.5	38000	473.047292047076	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	12.5	0.5	38000	2870.56779833944	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	13	0.5	38000	33348.7842134876	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	13.5	0.5	38000	33348.7842134876	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	14	0.5	38000	79952.378052093	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	14.5	0.5	38000	78179.839620333	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	15	0.5	38000	100469.872941838	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	15.5	0.5	38000	122336.385961974	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	16	0.5	38000	88987.6017484859	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	16.5	0.5	38000	68893.627160116	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	17	0.5	38000	40187.9491767338	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	17.5	0.5	38000	25835.1101850427	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	18	0.5	38000	14352.8389916911	10	189.2	1
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"126417"	18.5	0.5	38000	2870.56779833944	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	7	0.5	38000	517.189767867021	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	7.5	0.5	38000	28983.3681679993	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	8	0.5	38000	45543.8113234703	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	8.5	0.5	38000	239107.602094133	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	9	0.5	38000	197701.308913612	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	9.5	0.5	38000	46061.0010913374	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	10	0.5	38000	18112.0124590788	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	10.5	0.5	38000	517.189767867021	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	11	0.5	38000	517.189767867021	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	12.5	0.5	38000	3138.4352436415	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	13	0.5	38000	36460.7307894801	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	13.5	0.5	38000	36460.7307894801	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	14	0.5	38000	87413.1456629566	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	14.5	0.5	38000	85475.2025535263	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	15	0.5	38000	109845.233527406	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	15.5	0.5	38000	133752.223342327	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	16	0.5	38000	97291.4925528464	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	16.5	0.5	38000	75322.4458473626	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	17	0.5	38000	43938.093410961	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	17.5	0.5	38000	28245.9171927601	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	18	0.5	38000	15692.1762182008	10	189.2	1
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"126417"	18.5	0.5	38000	3138.4352436415	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	7	0.5	38000	613.993442910761	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	7.5	0.5	38000	34408.2561455385	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	8	0.5	38000	54068.3579899547	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	8.5	0.5	38000	283861.957365059	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	9	0.5	38000	234705.546918406	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	9.5	0.5	38000	54682.3514328655	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	10	0.5	38000	21502.0821731564	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	10.5	0.5	38000	613.993442910761	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	11	0.5	38000	613.993442910761	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	12.5	0.5	38000	3725.86385176007	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	13	0.5	38000	43285.1750350779	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	13.5	0.5	38000	43285.1750350779	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	14	0.5	38000	103774.478142921	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	14.5	0.5	38000	101473.805477196	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	15	0.5	38000	130405.234811547	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	15.5	0.5	38000	158786.954439593	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	16	0.5	38000	115501.779404515	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	16.5	0.5	38000	89420.7324422022	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	17	0.5	38000	52162.0939246173	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	17.5	0.5	38000	33532.7746658248	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	18	0.5	38000	18629.3192587925	10	189.2	1
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"126417"	18.5	0.5	38000	3725.86385176007	10	189.2	1
"Survey"	"45G9"	"PSU104"	"WaterColumn"	"I1"	"126417"	7	0.5	38000	603.667717572763	10	189.2	1
"Survey"	"45G9"	"PSU104"	"WaterColumn"	"I1"	"126417"	7.5	0.5	38000	33829.6014279344	10	189.2	1
"Survey"	"45G9"	"PSU104"	"WaterColumn"	"I1"	"126417"	8	0.5	38000	53159.0730121965	10	189.2	1
"Survey"	"45G9"	"PSU104"	"WaterColumn"	"I1"	"126417"	8.5	0.5	38000	279088.159469494	10	189.2	1
"Survey"	"45G9"	"PSU104"	"WaterColumn"	"I1"	"126417"	9	0.5	38000	230758.428197895	10	189.2	1
"Survey"	"45G9"	"PSU104"	"WaterColumn"	"I1"	"126417"	9.5	0.5	38000	53762.7407297693	10	189.2	1
