"Stratum"	"PSU"	"Cruise"	"StartDateTime"	"StopDateTime"
"45G9"	"PSU101"	"BIAS_2018_SWE"	2018-10-09T22:29:00Z	2018-10-09T22:29:00Z
"45G9"	"PSU102"	"BIAS_2018_SWE"	2018-10-09T22:36:00Z	2018-10-09T22:36:00Z
"45G9"	"PSU103"	"BIAS_2018_SWE"	2018-10-09T22:43:00Z	2018-10-09T22:43:00Z
"45G9"	"PSU104"	"BIAS_2018_SWE"	2018-10-09T22:49:00Z	2018-10-09T22:49:00Z
"45G9"	"PSU105"	"BIAS_2018_SWE"	2018-10-09T22:56:00Z	2018-10-09T22:56:00Z
"45G9"	"PSU106"	"BIAS_2018_SWE"	2018-10-09T23:02:00Z	2018-10-09T23:02:00Z
"45G9"	"PSU107"	"BIAS_2018_SWE"	2018-10-09T23:09:00Z	2018-10-09T23:09:00Z
"45G9"	"PSU108"	"BIAS_2018_SWE"	2018-10-09T23:16:00Z	2018-10-09T23:16:00Z
"45G9"	"PSU109"	"BIAS_2018_SWE"	2018-10-09T23:22:00Z	2018-10-09T23:22:00Z
"45G9"	"PSU110"	"BIAS_2018_SWE"	2018-10-09T23:29:00Z	2018-10-09T23:29:00Z
"45G9"	"PSU111"	"BIAS_2018_SWE"	2018-10-09T23:35:00Z	2018-10-09T23:35:00Z
"45G9"	"PSU112"	"BIAS_2018_SWE"	2018-10-09T23:42:00Z	2018-10-09T23:42:00Z
"45G9"	"PSU113"	"BIAS_2018_SWE"	2018-10-09T23:49:00Z	2018-10-09T23:49:00Z
"45G9"	"PSU114"	"BIAS_2018_SWE"	2018-10-09T23:56:00Z	2018-10-09T23:56:00Z
"45G9"	"PSU115"	"BIAS_2018_SWE"	2018-10-10T00:03:00Z	2018-10-10T00:03:00Z
"45G9"	"PSU116"	"BIAS_2018_SWE"	2018-10-10T00:09:00Z	2018-10-10T00:09:00Z
"45G9"	"PSU117"	"BIAS_2018_SWE"	2018-10-10T00:16:00Z	2018-10-10T00:16:00Z
"45G9"	"PSU118"	"BIAS_2018_SWE"	2018-10-10T00:23:00Z	2018-10-10T00:23:00Z
"45G9"	"PSU119"	"BIAS_2018_SWE"	2018-10-10T00:29:00Z	2018-10-10T00:29:00Z
"45G9"	"PSU120"	"BIAS_2018_SWE"	2018-10-10T00:36:00Z	2018-10-10T00:36:00Z
"45G9"	"PSU121"	"BIAS_2018_SWE"	2018-10-10T00:42:00Z	2018-10-10T00:42:00Z
"45G9"	"PSU122"	"BIAS_2018_SWE"	2018-10-10T00:48:00Z	2018-10-10T00:48:00Z
"45G9"	"PSU123"	"BIAS_2018_SWE"	2018-10-10T00:55:00Z	2018-10-10T00:55:00Z
"45G9"	"PSU124"	"BIAS_2018_SWE"	2018-10-10T01:01:00Z	2018-10-10T01:01:00Z
"45G9"	"PSU125"	"BIAS_2018_SWE"	2018-10-10T01:08:00Z	2018-10-10T01:08:00Z
"45G9"	"PSU126"	"BIAS_2018_SWE"	2018-10-10T02:58:00Z	2018-10-10T02:58:00Z
"45G9"	"PSU127"	"BIAS_2018_SWE"	2018-10-10T03:07:00Z	2018-10-10T03:07:00Z
"45G9"	"PSU128"	"BIAS_2018_SWE"	2018-10-10T03:15:00Z	2018-10-10T03:15:00Z
"45G9"	"PSU129"	"BIAS_2018_SWE"	2018-10-10T03:22:00Z	2018-10-10T03:22:00Z
"45G9"	"PSU130"	"BIAS_2018_SWE"	2018-10-10T03:30:00Z	2018-10-10T03:30:00Z
"45G9"	"PSU131"	"BIAS_2018_SWE"	2018-10-10T03:37:00Z	2018-10-10T03:37:00Z
"45G9"	"PSU132"	"BIAS_2018_SWE"	2018-10-10T03:44:00Z	2018-10-10T03:44:00Z
"45G9"	"PSU133"	"BIAS_2018_SWE"	2018-10-10T03:52:00Z	2018-10-10T03:52:00Z
"45G9"	"PSU134"	"BIAS_2018_SWE"	2018-10-10T03:59:00Z	2018-10-10T03:59:00Z
"45G9"	"PSU135"	"BIAS_2018_SWE"	2018-10-10T04:05:00Z	2018-10-10T04:05:00Z
"45G9"	"PSU136"	"BIAS_2018_SWE"	2018-10-10T04:13:00Z	2018-10-10T04:13:00Z
"45G9"	"PSU137"	"BIAS_2018_SWE"	2018-10-10T04:20:00Z	2018-10-10T04:20:00Z
"45G9"	"PSU138"	"BIAS_2018_SWE"	2018-10-10T04:27:00Z	2018-10-10T04:27:00Z
"45G9"	"PSU139"	"BIAS_2018_SWE"	2018-10-10T04:34:00Z	2018-10-10T04:34:00Z
"45G9"	"PSU140"	"BIAS_2018_SWE"	2018-10-10T04:41:00Z	2018-10-10T04:41:00Z
"45G9"	"PSU141"	"BIAS_2018_SWE"	2018-10-10T04:48:00Z	2018-10-10T04:48:00Z
"45G9"	"PSU142"	"BIAS_2018_SWE"	2018-10-10T04:55:00Z	2018-10-10T04:55:00Z
"45G9"	"PSU143"	"BIAS_2018_SWE"	2018-10-10T07:54:00Z	2018-10-10T07:54:00Z
"45G9"	"PSU144"	"BIAS_2018_SWE"	2018-10-10T08:00:00Z	2018-10-10T08:00:00Z
"45G9"	"PSU145"	"BIAS_2018_SWE"	2018-10-10T08:07:00Z	2018-10-10T08:07:00Z
"45G9"	"PSU146"	"BIAS_2018_SWE"	2018-10-10T08:13:00Z	2018-10-10T08:13:00Z
"45G9"	"PSU147"	"BIAS_2018_SWE"	2018-10-10T08:19:00Z	2018-10-10T08:19:00Z
"45G9"	"PSU148"	"BIAS_2018_SWE"	2018-10-10T08:25:00Z	2018-10-10T08:25:00Z
"45G9"	"PSU149"	"BIAS_2018_SWE"	2018-10-10T08:31:00Z	2018-10-10T08:31:00Z
"45G9"	"PSU150"	"BIAS_2018_SWE"	2018-10-10T08:37:00Z	2018-10-10T08:37:00Z
"45G9"	"PSU151"	"BIAS_2018_SWE"	2018-10-10T08:43:00Z	2018-10-10T08:43:00Z
"45G9"	"PSU152"	"BIAS_2018_SWE"	2018-10-10T08:49:00Z	2018-10-10T08:49:00Z
"45G9"	"PSU153"	"BIAS_2018_SWE"	2018-10-10T08:55:00Z	2018-10-10T08:55:00Z
"46G9"	"PSU065"	"BIAS_2018_SWE"	2018-10-09T11:23:00Z	2018-10-09T11:23:00Z
"46G9"	"PSU066"	"BIAS_2018_SWE"	2018-10-09T11:31:00Z	2018-10-09T11:31:00Z
"46G9"	"PSU067"	"BIAS_2018_SWE"	2018-10-09T11:40:00Z	2018-10-09T11:40:00Z
"46G9"	"PSU068"	"BIAS_2018_SWE"	2018-10-09T11:49:00Z	2018-10-09T11:49:00Z
"46G9"	"PSU069"	"BIAS_2018_SWE"	2018-10-09T11:57:00Z	2018-10-09T11:57:00Z
"46G9"	"PSU070"	"BIAS_2018_SWE"	2018-10-09T12:06:00Z	2018-10-09T12:06:00Z
"46G9"	"PSU071"	"BIAS_2018_SWE"	2018-10-09T12:15:00Z	2018-10-09T12:15:00Z
"46G9"	"PSU072"	"BIAS_2018_SWE"	2018-10-09T12:24:00Z	2018-10-09T12:24:00Z
"46G9"	"PSU073"	"BIAS_2018_SWE"	2018-10-09T12:33:00Z	2018-10-09T12:33:00Z
"46G9"	"PSU074"	"BIAS_2018_SWE"	2018-10-09T16:49:00Z	2018-10-09T16:49:00Z
"46G9"	"PSU075"	"BIAS_2018_SWE"	2018-10-09T16:57:00Z	2018-10-09T16:57:00Z
"46G9"	"PSU076"	"BIAS_2018_SWE"	2018-10-09T17:05:00Z	2018-10-09T17:05:00Z
"46G9"	"PSU077"	"BIAS_2018_SWE"	2018-10-09T17:13:00Z	2018-10-09T17:13:00Z
"46G9"	"PSU078"	"BIAS_2018_SWE"	2018-10-09T17:22:00Z	2018-10-09T17:22:00Z
"46G9"	"PSU079"	"BIAS_2018_SWE"	2018-10-09T17:29:00Z	2018-10-09T17:29:00Z
"46G9"	"PSU080"	"BIAS_2018_SWE"	2018-10-09T17:37:00Z	2018-10-09T17:37:00Z
"46G9"	"PSU081"	"BIAS_2018_SWE"	2018-10-09T17:45:00Z	2018-10-09T17:45:00Z
"46G9"	"PSU082"	"BIAS_2018_SWE"	2018-10-09T17:52:00Z	2018-10-09T17:52:00Z
"46G9"	"PSU083"	"BIAS_2018_SWE"	2018-10-09T18:00:00Z	2018-10-09T18:00:00Z
"46G9"	"PSU084"	"BIAS_2018_SWE"	2018-10-09T18:08:00Z	2018-10-09T18:08:00Z
"46G9"	"PSU085"	"BIAS_2018_SWE"	2018-10-09T20:24:00Z	2018-10-09T20:24:00Z
"46G9"	"PSU086"	"BIAS_2018_SWE"	2018-10-09T20:32:00Z	2018-10-09T20:32:00Z
"46G9"	"PSU087"	"BIAS_2018_SWE"	2018-10-09T20:40:00Z	2018-10-09T20:40:00Z
"46G9"	"PSU088"	"BIAS_2018_SWE"	2018-10-09T20:48:00Z	2018-10-09T20:48:00Z
"46G9"	"PSU089"	"BIAS_2018_SWE"	2018-10-09T20:56:00Z	2018-10-09T20:56:00Z
"46G9"	"PSU090"	"BIAS_2018_SWE"	2018-10-09T21:05:00Z	2018-10-09T21:05:00Z
"46G9"	"PSU091"	"BIAS_2018_SWE"	2018-10-09T21:13:00Z	2018-10-09T21:13:00Z
"46G9"	"PSU092"	"BIAS_2018_SWE"	2018-10-09T21:20:00Z	2018-10-09T21:20:00Z
"46G9"	"PSU093"	"BIAS_2018_SWE"	2018-10-09T21:28:00Z	2018-10-09T21:28:00Z
"46G9"	"PSU094"	"BIAS_2018_SWE"	2018-10-09T21:35:00Z	2018-10-09T21:35:00Z
"46G9"	"PSU095"	"BIAS_2018_SWE"	2018-10-09T21:43:00Z	2018-10-09T21:43:00Z
"46G9"	"PSU096"	"BIAS_2018_SWE"	2018-10-09T21:51:00Z	2018-10-09T21:51:00Z
"46G9"	"PSU097"	"BIAS_2018_SWE"	2018-10-09T21:59:00Z	2018-10-09T21:59:00Z
"46G9"	"PSU098"	"BIAS_2018_SWE"	2018-10-09T22:06:00Z	2018-10-09T22:06:00Z
"46G9"	"PSU099"	"BIAS_2018_SWE"	2018-10-09T22:14:00Z	2018-10-09T22:14:00Z
"46G9"	"PSU100"	"BIAS_2018_SWE"	2018-10-09T22:22:00Z	2018-10-09T22:22:00Z
"46H0"	"PSU001"	"BIAS_2018_SWE"	2018-10-08T20:12:00Z	2018-10-08T20:12:00Z
"46H0"	"PSU002"	"BIAS_2018_SWE"	2018-10-08T20:20:00Z	2018-10-08T20:20:00Z
"46H0"	"PSU003"	"BIAS_2018_SWE"	2018-10-08T20:29:00Z	2018-10-08T20:29:00Z
"46H0"	"PSU004"	"BIAS_2018_SWE"	2018-10-08T20:37:00Z	2018-10-08T20:37:00Z
"46H0"	"PSU005"	"BIAS_2018_SWE"	2018-10-08T20:46:00Z	2018-10-08T20:46:00Z
"46H0"	"PSU006"	"BIAS_2018_SWE"	2018-10-08T20:54:00Z	2018-10-08T20:54:00Z
"46H0"	"PSU007"	"BIAS_2018_SWE"	2018-10-08T21:03:00Z	2018-10-08T21:03:00Z
"46H0"	"PSU008"	"BIAS_2018_SWE"	2018-10-08T21:11:00Z	2018-10-08T21:11:00Z
"46H0"	"PSU009"	"BIAS_2018_SWE"	2018-10-08T21:19:00Z	2018-10-08T21:19:00Z
"46H0"	"PSU010"	"BIAS_2018_SWE"	2018-10-08T21:28:00Z	2018-10-08T21:28:00Z
"46H0"	"PSU011"	"BIAS_2018_SWE"	2018-10-08T21:36:00Z	2018-10-08T21:36:00Z
"46H0"	"PSU012"	"BIAS_2018_SWE"	2018-10-08T21:44:00Z	2018-10-08T21:44:00Z
"46H0"	"PSU013"	"BIAS_2018_SWE"	2018-10-08T21:53:00Z	2018-10-08T21:53:00Z
"46H0"	"PSU014"	"BIAS_2018_SWE"	2018-10-08T22:02:00Z	2018-10-08T22:02:00Z
"46H0"	"PSU015"	"BIAS_2018_SWE"	2018-10-08T22:11:00Z	2018-10-08T22:11:00Z
"46H0"	"PSU016"	"BIAS_2018_SWE"	2018-10-08T22:21:00Z	2018-10-08T22:21:00Z
"46H0"	"PSU017"	"BIAS_2018_SWE"	2018-10-08T22:30:00Z	2018-10-08T22:30:00Z
"46H0"	"PSU018"	"BIAS_2018_SWE"	2018-10-08T22:39:00Z	2018-10-08T22:39:00Z
"46H0"	"PSU019"	"BIAS_2018_SWE"	2018-10-08T22:49:00Z	2018-10-08T22:49:00Z
"46H0"	"PSU020"	"BIAS_2018_SWE"	2018-10-08T22:58:00Z	2018-10-08T22:58:00Z
"46H0"	"PSU021"	"BIAS_2018_SWE"	2018-10-08T23:08:00Z	2018-10-08T23:08:00Z
"46H0"	"PSU022"	"BIAS_2018_SWE"	2018-10-08T23:17:00Z	2018-10-08T23:17:00Z
"46H0"	"PSU023"	"BIAS_2018_SWE"	2018-10-08T23:25:00Z	2018-10-08T23:25:00Z
"46H0"	"PSU024"	"BIAS_2018_SWE"	2018-10-08T23:33:00Z	2018-10-08T23:33:00Z
"46H0"	"PSU025"	"BIAS_2018_SWE"	2018-10-08T23:42:00Z	2018-10-08T23:42:00Z
"46H0"	"PSU026"	"BIAS_2018_SWE"	2018-10-08T23:49:00Z	2018-10-08T23:49:00Z
"46H0"	"PSU027"	"BIAS_2018_SWE"	2018-10-08T23:55:00Z	2018-10-08T23:55:00Z
"46H0"	"PSU028"	"BIAS_2018_SWE"	2018-10-09T00:01:00Z	2018-10-09T00:01:00Z
"46H0"	"PSU029"	"BIAS_2018_SWE"	2018-10-09T00:07:00Z	2018-10-09T00:07:00Z
"46H0"	"PSU030"	"BIAS_2018_SWE"	2018-10-09T00:14:00Z	2018-10-09T00:14:00Z
"46H0"	"PSU031"	"BIAS_2018_SWE"	2018-10-09T00:20:00Z	2018-10-09T00:20:00Z
"46H0"	"PSU032"	"BIAS_2018_SWE"	2018-10-09T00:29:00Z	2018-10-09T00:29:00Z
"46H0"	"PSU033"	"BIAS_2018_SWE"	2018-10-09T00:41:00Z	2018-10-09T00:41:00Z
"46H0"	"PSU034"	"BIAS_2018_SWE"	2018-10-09T00:53:00Z	2018-10-09T00:53:00Z
"46H0"	"PSU035"	"BIAS_2018_SWE"	2018-10-09T01:05:00Z	2018-10-09T01:05:00Z
"46H0"	"PSU036"	"BIAS_2018_SWE"	2018-10-09T01:16:00Z	2018-10-09T01:16:00Z
"46H0"	"PSU037"	"BIAS_2018_SWE"	2018-10-09T01:26:00Z	2018-10-09T01:26:00Z
"46H0"	"PSU038"	"BIAS_2018_SWE"	2018-10-09T01:38:00Z	2018-10-09T01:38:00Z
"46H0"	"PSU039"	"BIAS_2018_SWE"	2018-10-09T01:51:00Z	2018-10-09T01:51:00Z
"46H0"	"PSU040"	"BIAS_2018_SWE"	2018-10-09T02:02:00Z	2018-10-09T02:02:00Z
"46H0"	"PSU041"	"BIAS_2018_SWE"	2018-10-09T02:12:00Z	2018-10-09T02:12:00Z
"46H0"	"PSU042"	"BIAS_2018_SWE"	2018-10-09T02:25:00Z	2018-10-09T02:25:00Z
"46H0"	"PSU043"	"BIAS_2018_SWE"	2018-10-09T02:38:00Z	2018-10-09T02:38:00Z
"46H0"	"PSU044"	"BIAS_2018_SWE"	2018-10-09T02:50:00Z	2018-10-09T02:50:00Z
"46H0"	"PSU045"	"BIAS_2018_SWE"	2018-10-09T03:01:00Z	2018-10-09T03:01:00Z
"46H0"	"PSU046"	"BIAS_2018_SWE"	2018-10-09T03:12:00Z	2018-10-09T03:12:00Z
"46H0"	"PSU047"	"BIAS_2018_SWE"	2018-10-09T03:22:00Z	2018-10-09T03:22:00Z
"46H0"	"PSU048"	"BIAS_2018_SWE"	2018-10-09T03:32:00Z	2018-10-09T03:32:00Z
"46H0"	"PSU049"	"BIAS_2018_SWE"	2018-10-09T03:43:00Z	2018-10-09T03:43:00Z
"46H0"	"PSU050"	"BIAS_2018_SWE"	2018-10-09T03:54:00Z	2018-10-09T03:54:00Z
"46H0"	"PSU051"	"BIAS_2018_SWE"	2018-10-09T07:01:00Z	2018-10-09T07:01:00Z
"46H0"	"PSU052"	"BIAS_2018_SWE"	2018-10-09T07:08:00Z	2018-10-09T07:08:00Z
"46H0"	"PSU053"	"BIAS_2018_SWE"	2018-10-09T07:13:00Z	2018-10-09T07:13:00Z
"46H0"	"PSU054"	"BIAS_2018_SWE"	2018-10-09T07:20:00Z	2018-10-09T07:20:00Z
"46H0"	"PSU055"	"BIAS_2018_SWE"	2018-10-09T07:27:00Z	2018-10-09T07:27:00Z
"46H0"	"PSU056"	"BIAS_2018_SWE"	2018-10-09T10:16:00Z	2018-10-09T10:16:00Z
"46H0"	"PSU057"	"BIAS_2018_SWE"	2018-10-09T10:22:00Z	2018-10-09T10:22:00Z
"46H0"	"PSU058"	"BIAS_2018_SWE"	2018-10-09T10:29:00Z	2018-10-09T10:29:00Z
"46H0"	"PSU059"	"BIAS_2018_SWE"	2018-10-09T10:35:00Z	2018-10-09T10:35:00Z
"46H0"	"PSU060"	"BIAS_2018_SWE"	2018-10-09T10:42:00Z	2018-10-09T10:42:00Z
"46H0"	"PSU061"	"BIAS_2018_SWE"	2018-10-09T10:49:00Z	2018-10-09T10:49:00Z
"46H0"	"PSU062"	"BIAS_2018_SWE"	2018-10-09T10:56:00Z	2018-10-09T10:56:00Z
"46H0"	"PSU063"	"BIAS_2018_SWE"	2018-10-09T11:05:00Z	2018-10-09T11:05:00Z
"46H0"	"PSU064"	"BIAS_2018_SWE"	2018-10-09T11:14:00Z	2018-10-09T11:14:00Z
