"Stratum"	"PSU"	"Layer"	"Haul"	"WeightingFactor"
"45G9"	"PSU101"	"WaterColumn"	"BIAS_2018_SWE-55-27"	1
"45G9"	"PSU101"	"WaterColumn"	"BIAS_2018_SWE-57-28"	1
"45G9"	"PSU102"	"WaterColumn"	"BIAS_2018_SWE-55-27"	1
"45G9"	"PSU102"	"WaterColumn"	"BIAS_2018_SWE-57-28"	1
"45G9"	"PSU103"	"WaterColumn"	"BIAS_2018_SWE-55-27"	1
"45G9"	"PSU103"	"WaterColumn"	"BIAS_2018_SWE-57-28"	1
"45G9"	"PSU104"	"WaterColumn"	"BIAS_2018_SWE-55-27"	1
"45G9"	"PSU104"	"WaterColumn"	"BIAS_2018_SWE-57-28"	1
"45G9"	"PSU105"	"WaterColumn"	"BIAS_2018_SWE-55-27"	1
"45G9"	"PSU105"	"WaterColumn"	"BIAS_2018_SWE-57-28"	1
"45G9"	"PSU106"	"WaterColumn"	"BIAS_2018_SWE-55-27"	1
"45G9"	"PSU106"	"WaterColumn"	"BIAS_2018_SWE-57-28"	1
"45G9"	"PSU107"	"WaterColumn"	"BIAS_2018_SWE-55-27"	1
"45G9"	"PSU107"	"WaterColumn"	"BIAS_2018_SWE-57-28"	1
"45G9"	"PSU108"	"WaterColumn"	"BIAS_2018_SWE-55-27"	1
"45G9"	"PSU108"	"WaterColumn"	"BIAS_2018_SWE-57-28"	1
"45G9"	"PSU109"	"WaterColumn"	"BIAS_2018_SWE-55-27"	1
"45G9"	"PSU109"	"WaterColumn"	"BIAS_2018_SWE-57-28"	1
"45G9"	"PSU110"	"WaterColumn"	"BIAS_2018_SWE-55-27"	1
"45G9"	"PSU110"	"WaterColumn"	"BIAS_2018_SWE-57-28"	1
"45G9"	"PSU111"	"WaterColumn"	"BIAS_2018_SWE-55-27"	1
"45G9"	"PSU111"	"WaterColumn"	"BIAS_2018_SWE-57-28"	1
"45G9"	"PSU112"	"WaterColumn"	"BIAS_2018_SWE-55-27"	1
"45G9"	"PSU112"	"WaterColumn"	"BIAS_2018_SWE-57-28"	1
"45G9"	"PSU113"	"WaterColumn"	"BIAS_2018_SWE-55-27"	1
"45G9"	"PSU113"	"WaterColumn"	"BIAS_2018_SWE-57-28"	1
"45G9"	"PSU114"	"WaterColumn"	"BIAS_2018_SWE-55-27"	1
"45G9"	"PSU114"	"WaterColumn"	"BIAS_2018_SWE-57-28"	1
"45G9"	"PSU115"	"WaterColumn"	"BIAS_2018_SWE-55-27"	1
"45G9"	"PSU115"	"WaterColumn"	"BIAS_2018_SWE-57-28"	1
"45G9"	"PSU116"	"WaterColumn"	"BIAS_2018_SWE-55-27"	1
"45G9"	"PSU116"	"WaterColumn"	"BIAS_2018_SWE-57-28"	1
"45G9"	"PSU117"	"WaterColumn"	"BIAS_2018_SWE-55-27"	1
"45G9"	"PSU117"	"WaterColumn"	"BIAS_2018_SWE-57-28"	1
