"CruiseKey"	"LogKey"	"BeamKey"	"AcousticCategoryKey"	"ChannelReferenceKey"	"NASCKey"	"Channel"	"MaxChannelRange"	"MinChannelRange"	"NASC"
"BIAS_2018_SWE"	"2018-10-08T20:12:03.000Z"	"I1"	"HER"	"P"	"10_94.1"	"10_94.1"	94.1	10	2.85336852917176
"BIAS_2018_SWE"	"2018-10-08T20:20:28.000Z"	"I1"	"HER"	"P"	"10_73.2"	"10_73.2"	73.2	10	3.19146854987713
"BIAS_2018_SWE"	"2018-10-08T20:29:16.000Z"	"I1"	"HER"	"P"	"10_130.1"	"10_130.1"	130.1	10	4.09143822524479
"BIAS_2018_SWE"	"2018-10-08T20:37:38.000Z"	"I1"	"HER"	"P"	"10_77.8"	"10_77.8"	77.8	10	3.6108837654357
"BIAS_2018_SWE"	"2018-10-08T20:46:27.000Z"	"I1"	"HER"	"P"	"10_155.1"	"10_155.1"	155.1	10	3.00743942468307
"BIAS_2018_SWE"	"2018-10-08T20:54:56.000Z"	"I1"	"HER"	"P"	"10_89.3"	"10_89.3"	89.3	10	2.59230395622204
"BIAS_2018_SWE"	"2018-10-08T21:03:06.000Z"	"I1"	"HER"	"P"	"10_95.2"	"10_95.2"	95.2	10	2.5635685114243
"BIAS_2018_SWE"	"2018-10-08T21:11:25.000Z"	"I1"	"HER"	"P"	"10_98.9"	"10_98.9"	98.9	10	3.08447487243872
"BIAS_2018_SWE"	"2018-10-08T21:19:45.000Z"	"I1"	"HER"	"P"	"10_82.4"	"10_82.4"	82.4	10	3.37244071285867
"BIAS_2018_SWE"	"2018-10-08T21:28:15.000Z"	"I1"	"HER"	"P"	"10_92.2"	"10_92.2"	92.2	10	5.29649272942253
"BIAS_2018_SWE"	"2018-10-08T21:36:47.000Z"	"I1"	"HER"	"P"	"10_86.4"	"10_86.4"	86.4	10	4.28952937661647
"BIAS_2018_SWE"	"2018-10-08T21:44:59.000Z"	"I1"	"HER"	"P"	"10_99.5"	"10_99.5"	99.5	10	3.76556605338952
"BIAS_2018_SWE"	"2018-10-08T21:53:32.000Z"	"I1"	"HER"	"P"	"10_88.1"	"10_88.1"	88.1	10	4.58972306588652
"BIAS_2018_SWE"	"2018-10-08T22:02:36.000Z"	"I1"	"HER"	"P"	"10_159"	"10_159"	159	10	6.00876492494109
"BIAS_2018_SWE"	"2018-10-08T22:11:55.000Z"	"I1"	"HER"	"P"	"10_88.2"	"10_88.2"	88.2	10	5.66516237225317
"BIAS_2018_SWE"	"2018-10-08T22:21:05.000Z"	"I1"	"HER"	"P"	"10_96.6"	"10_96.6"	96.6	10	4.1281217717951
"BIAS_2018_SWE"	"2018-10-08T22:30:31.000Z"	"I1"	"HER"	"P"	"10_96.3"	"10_96.3"	96.3	10	4.61906990312677
"BIAS_2018_SWE"	"2018-10-08T22:39:57.000Z"	"I1"	"HER"	"P"	"10_95.3"	"10_95.3"	95.3	10	3.57786857354042
"BIAS_2018_SWE"	"2018-10-08T22:49:57.000Z"	"I1"	"HER"	"P"	"10_177.4"	"10_177.4"	177.4	10	2.81240523552391
"BIAS_2018_SWE"	"2018-10-08T22:58:34.000Z"	"I1"	"HER"	"P"	"10_181.1"	"10_181.1"	181.1	10	2.38871027286781
"BIAS_2018_SWE"	"2018-10-08T23:08:01.000Z"	"I1"	"HER"	"P"	"10_189.2"	"10_189.2"	189.2	10	2.07445455742014
"BIAS_2018_SWE"	"2018-10-08T23:17:06.000Z"	"I1"	"HER"	"P"	"10_99.6"	"10_99.6"	99.6	10	1.76570137395501
