"CruiseKey"	"LogKey"	"BeamKey"	"AcousticCategoryKey"	"ChannelReferenceKey"	"ChannelReferenceType"	"ChannelReferenceDepth"	"ChannelReferenceTilt"
"BIAS_2018_SWE"	"2018-10-08T20:12:03.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T20:20:28.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T20:29:16.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T20:37:38.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T20:46:27.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T20:54:56.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T21:03:06.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T21:11:25.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T21:19:45.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T21:28:15.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T21:36:47.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T21:44:59.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T21:53:32.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T22:02:36.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T22:11:55.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T22:21:05.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T22:30:31.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T22:39:57.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T22:49:57.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T22:58:34.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T23:08:01.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T23:17:06.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T23:25:48.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T23:33:52.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T23:42:12.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T23:49:31.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-08T23:55:38.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T00:01:50.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T00:07:56.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T00:14:02.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T00:20:14.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T00:29:08.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T00:41:09.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T00:53:27.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T01:05:47.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T01:16:20.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T01:26:55.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T01:38:19.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T01:51:31.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T02:02:37.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T02:12:32.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T02:25:25.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T02:38:29.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T02:50:04.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T03:01:12.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T03:12:03.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T03:22:39.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T03:32:51.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T03:43:22.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T03:54:14.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T07:01:32.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T07:08:00.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T07:13:56.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T07:20:31.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T07:27:57.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T10:16:05.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T10:22:14.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T10:29:03.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T10:35:45.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T10:42:24.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T10:49:26.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T10:56:52.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T11:05:29.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T11:14:09.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T11:23:03.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T11:31:53.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T11:40:37.000Z"	"I1"	"MIX"	"P"	"P"	0	180
"BIAS_2018_SWE"	"2018-10-09T11:49:11.000Z"	"I1"	"MIX"	"P"	"P"	0	180
