"CruiseKey"	"LogKey"	"Log"	"EDSU"	"DateTime"	"Longitude"	"Latitude"	"LogOrigin"	"Longitude2"	"Latitude2"	"LogOrigin2"	"LogDistance"	"LogDuration"	"EffectiveLogDistance"	"BottomDepth"
"BIAS_2018_SWE"	"2018-10-08T20:12:03.000Z"	7486	"BIAS_2018_SWE/2018-10-08T20:12:03.000Z"	2018-10-08T20:12:00Z	20.0087	58.99567	"start"	NA	NA	NA	1	NA	1	NA
"BIAS_2018_SWE"	"2018-10-08T20:20:28.000Z"	7487	"BIAS_2018_SWE/2018-10-08T20:20:28.000Z"	2018-10-08T20:20:00Z	20.02892	58.98262	"start"	NA	NA	NA	1	NA	1	NA
"BIAS_2018_SWE"	"2018-10-08T20:29:16.000Z"	7488	"BIAS_2018_SWE/2018-10-08T20:29:16.000Z"	2018-10-08T20:29:00Z	20.04942	58.9696	"start"	NA	NA	NA	1	NA	1	NA
"BIAS_2018_SWE"	"2018-10-08T20:37:38.000Z"	7489	"BIAS_2018_SWE/2018-10-08T20:37:38.000Z"	2018-10-08T20:37:00Z	20.07013	58.95661	"start"	NA	NA	NA	1	NA	1	NA
"BIAS_2018_SWE"	"2018-10-08T20:46:27.000Z"	7490	"BIAS_2018_SWE/2018-10-08T20:46:27.000Z"	2018-10-08T20:46:00Z	20.09092	58.94373	"start"	NA	NA	NA	1	NA	1	NA
"BIAS_2018_SWE"	"2018-10-08T20:54:56.000Z"	7491	"BIAS_2018_SWE/2018-10-08T20:54:56.000Z"	2018-10-08T20:54:00Z	20.11219	58.93106	"start"	NA	NA	NA	1	NA	1	NA
"BIAS_2018_SWE"	"2018-10-08T21:03:06.000Z"	7492	"BIAS_2018_SWE/2018-10-08T21:03:06.000Z"	2018-10-08T21:03:00Z	20.14038	58.92527	"start"	NA	NA	NA	1	NA	1	NA
"BIAS_2018_SWE"	"2018-10-08T21:11:25.000Z"	7493	"BIAS_2018_SWE/2018-10-08T21:11:25.000Z"	2018-10-08T21:11:00Z	20.1728	58.92503	"start"	NA	NA	NA	1	NA	1	NA
"BIAS_2018_SWE"	"2018-10-08T21:19:45.000Z"	7494	"BIAS_2018_SWE/2018-10-08T21:19:45.000Z"	2018-10-08T21:19:00Z	20.20518	58.92499	"start"	NA	NA	NA	1	NA	1	NA
"BIAS_2018_SWE"	"2018-10-08T21:28:15.000Z"	7495	"BIAS_2018_SWE/2018-10-08T21:28:15.000Z"	2018-10-08T21:28:00Z	20.23766	58.92511	"start"	NA	NA	NA	1	NA	1	NA
"BIAS_2018_SWE"	"2018-10-08T21:36:47.000Z"	7496	"BIAS_2018_SWE/2018-10-08T21:36:47.000Z"	2018-10-08T21:36:00Z	20.27011	58.92537	"start"	NA	NA	NA	1	NA	1	NA
"BIAS_2018_SWE"	"2018-10-08T21:44:59.000Z"	7497	"BIAS_2018_SWE/2018-10-08T21:44:59.000Z"	2018-10-08T21:44:00Z	20.30259	58.92555	"start"	NA	NA	NA	1	NA	1	NA
"BIAS_2018_SWE"	"2018-10-08T21:53:32.000Z"	7498	"BIAS_2018_SWE/2018-10-08T21:53:32.000Z"	2018-10-08T21:53:00Z	20.33496	58.92549	"start"	NA	NA	NA	1	NA	1	NA
"BIAS_2018_SWE"	"2018-10-08T22:02:36.000Z"	7499	"BIAS_2018_SWE/2018-10-08T22:02:36.000Z"	2018-10-08T22:02:00Z	20.35592	58.91542	"start"	NA	NA	NA	1	NA	1	NA
"BIAS_2018_SWE"	"2018-10-08T22:11:55.000Z"	7500	"BIAS_2018_SWE/2018-10-08T22:11:55.000Z"	2018-10-08T22:11:00Z	20.35762	58.89865	"start"	NA	NA	NA	1	NA	1	NA
"BIAS_2018_SWE"	"2018-10-08T22:21:05.000Z"	7501	"BIAS_2018_SWE/2018-10-08T22:21:05.000Z"	2018-10-08T22:21:00Z	20.35948	58.88192	"start"	NA	NA	NA	1	NA	1	NA
"BIAS_2018_SWE"	"2018-10-08T22:30:31.000Z"	7502	"BIAS_2018_SWE/2018-10-08T22:30:31.000Z"	2018-10-08T22:30:00Z	20.35952	58.86516	"start"	NA	NA	NA	1	NA	1	NA
"BIAS_2018_SWE"	"2018-10-08T22:39:57.000Z"	7503	"BIAS_2018_SWE/2018-10-08T22:39:57.000Z"	2018-10-08T22:39:00Z	20.35908	58.8484	"start"	NA	NA	NA	1	NA	1	NA
