"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"Sample"	"CatchFractionWeight"	"CatchFractionCount"	"SampleWeight"	"SampleCount"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"BIAS_2018_SWE-6-3-126417-1"	19.029	159	0.0043	159
"BIAS_2018_SWE"	"6"	"3"	"126425"	"1"	"BIAS_2018_SWE-6-3-126425-1"	79.28	189	0.002524	189
"BIAS_2018_SWE"	"6"	"3"	"126505"	"1"	"BIAS_2018_SWE-6-3-126505-1"	0.133	4	3e-05	4
"BIAS_2018_SWE"	"40"	"20"	"126417"	"1"	"BIAS_2018_SWE-40-20-126417-1"	47.03	297	0.00691	297
"BIAS_2018_SWE"	"40"	"20"	"126425"	"1"	"BIAS_2018_SWE-40-20-126425-1"	2.069	28	0.000304	28
"BIAS_2018_SWE"	"40"	"20"	"126505"	"1"	"BIAS_2018_SWE-40-20-126505-1"	121.828	66	0.00012	66
"BIAS_2018_SWE"	"42"	"21"	"126417"	"1"	"BIAS_2018_SWE-42-21-126417-1"	0.478	11	4.8e-05	11
"BIAS_2018_SWE"	"42"	"21"	"126417"	"2"	"BIAS_2018_SWE-42-21-126417-2"	138.099	238	0.0055	238
"BIAS_2018_SWE"	"42"	"21"	"126425"	"1"	"BIAS_2018_SWE-42-21-126425-1"	11.49	176	0.001154	176
"BIAS_2018_SWE"	"42"	"21"	"126505"	"1"	"BIAS_2018_SWE-42-21-126505-1"	57.35	70	0.000134	70
"BIAS_2018_SWE"	"44"	"22"	"126417"	"1"	"BIAS_2018_SWE-44-22-126417-1"	18.85	202	0.0019	202
"BIAS_2018_SWE"	"44"	"22"	"126425"	"1"	"BIAS_2018_SWE-44-22-126425-1"	97.225	231	0.00175	231
"BIAS_2018_SWE"	"44"	"22"	"126505"	"1"	"BIAS_2018_SWE-44-22-126505-1"	66.668	59	0.00011	59
"BIAS_2018_SWE"	"47"	"23"	"126417"	"1"	"BIAS_2018_SWE-47-23-126417-1"	7.117	18	0.00022	18
"BIAS_2018_SWE"	"47"	"23"	"126425"	"1"	"BIAS_2018_SWE-47-23-126425-1"	555.421	142	0.001232	142
"BIAS_2018_SWE"	"47"	"23"	"126505"	"1"	"BIAS_2018_SWE-47-23-126505-1"	43.8	77	0.00013	77
"BIAS_2018_SWE"	"49"	"24"	"126417"	"1"	"BIAS_2018_SWE-49-24-126417-1"	3.827	11	5.6e-05	11
"BIAS_2018_SWE"	"49"	"24"	"126425"	"1"	"BIAS_2018_SWE-49-24-126425-1"	1671.034	196	0.0015	196
"BIAS_2018_SWE"	"49"	"24"	"126505"	"1"	"BIAS_2018_SWE-49-24-126505-1"	7.108	58	0.000104	58
"BIAS_2018_SWE"	"51"	"25"	"126417"	"1"	"BIAS_2018_SWE-51-25-126417-1"	12.896	129	0.00188	129
"BIAS_2018_SWE"	"51"	"25"	"126425"	"1"	"BIAS_2018_SWE-51-25-126425-1"	88.592	200	0.0018	200
"BIAS_2018_SWE"	"51"	"25"	"126505"	"1"	"BIAS_2018_SWE-51-25-126505-1"	35.258	59	0.000114	59
"BIAS_2018_SWE"	"53"	"26"	"126417"	"1"	"BIAS_2018_SWE-53-26-126417-1"	40.684	72	0.001512	72
"BIAS_2018_SWE"	"53"	"26"	"126425"	"1"	"BIAS_2018_SWE-53-26-126425-1"	85.673	186	0.001505	186
