"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"Sample"	"CatchFractionWeight"	"CatchFractionCount"	"SampleWeight"	"SampleCount"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"BIAS_2018_SWE-6-3-126417-1"	19.029	159	0.0043	159
"BIAS_2018_SWE"	"40"	"20"	"126417"	"1"	"BIAS_2018_SWE-40-20-126417-1"	47.03	297	0.00691	297
"BIAS_2018_SWE"	"42"	"21"	"126417"	"1"	"BIAS_2018_SWE-42-21-126417-1"	0.478	11	4.8e-05	11
"BIAS_2018_SWE"	"42"	"21"	"126417"	"2"	"BIAS_2018_SWE-42-21-126417-2"	138.099	238	0.0055	238
"BIAS_2018_SWE"	"44"	"22"	"126417"	"1"	"BIAS_2018_SWE-44-22-126417-1"	18.85	202	0.0019	202
"BIAS_2018_SWE"	"47"	"23"	"126417"	"1"	"BIAS_2018_SWE-47-23-126417-1"	7.117	18	0.00022	18
"BIAS_2018_SWE"	"49"	"24"	"126417"	"1"	"BIAS_2018_SWE-49-24-126417-1"	3.827	11	5.6e-05	11
"BIAS_2018_SWE"	"51"	"25"	"126417"	"1"	"BIAS_2018_SWE-51-25-126417-1"	12.896	129	0.00188	129
"BIAS_2018_SWE"	"53"	"26"	"126417"	"1"	"BIAS_2018_SWE-53-26-126417-1"	40.684	72	0.001512	72
"BIAS_2018_SWE"	"55"	"27"	"126417"	"1"	"BIAS_2018_SWE-55-27-126417-1"	1.88	51	0.000238	51
"BIAS_2018_SWE"	"55"	"27"	"126417"	"2"	"BIAS_2018_SWE-55-27-126417-2"	222.414	204	0.00464	204
"BIAS_2018_SWE"	"57"	"28"	"126417"	"1"	"BIAS_2018_SWE-57-28-126417-1"	3.965	46	0.000282	46
"BIAS_2018_SWE"	"59"	"29"	"126417"	"1"	"BIAS_2018_SWE-59-29-126417-1"	39.244	108	0.002514	108
"BIAS_2018_SWE"	"61"	"30"	"126417"	"1"	"BIAS_2018_SWE-61-30-126417-1"	76.818	211	0.00598	211
"BIAS_2018_SWE"	"63"	"31"	"126417"	"1"	"BIAS_2018_SWE-63-31-126417-1"	1.197	30	0.000122	30
"BIAS_2018_SWE"	"63"	"31"	"126417"	"2"	"BIAS_2018_SWE-63-31-126417-2"	161.146	228	0.00605	228
