"CruiseKey"	"StationKey"	"Station"	"CatchPlatform"	"DateTime"	"Latitude"	"Longitude"	"BottomDepth"
"BIAS_2018_SWE"	"6"	"BIAS_2018_SWE-6"	"26D4"	2018-10-04T00:00:00Z	55.739	15.3663	62
"BIAS_2018_SWE"	"40"	"BIAS_2018_SWE-40"	"26D4"	2018-10-08T00:00:00Z	58.7333	18.7427	206
"BIAS_2018_SWE"	"42"	"BIAS_2018_SWE-42"	"26D4"	2018-10-08T00:00:00Z	58.7053	19.1945	92
"BIAS_2018_SWE"	"44"	"BIAS_2018_SWE-44"	"26D4"	2018-10-08T00:00:00Z	59.1973	19.4635	78.6
"BIAS_2018_SWE"	"47"	"BIAS_2018_SWE-47"	"26D4"	2018-10-09T00:00:00Z	58.6088	20.2648	123
"BIAS_2018_SWE"	"49"	"BIAS_2018_SWE-49"	"26D4"	2018-10-09T00:00:00Z	58.7835	20.2898	183
"BIAS_2018_SWE"	"51"	"BIAS_2018_SWE-51"	"26D4"	2018-10-09T00:00:00Z	59.0912	19.6668	98
"BIAS_2018_SWE"	"53"	"BIAS_2018_SWE-53"	"26D4"	2018-10-09T00:00:00Z	58.7798	19.5704	153
"BIAS_2018_SWE"	"55"	"BIAS_2018_SWE-55"	"26D4"	2018-10-10T00:00:00Z	58.3075	19.1657	61
"BIAS_2018_SWE"	"57"	"BIAS_2018_SWE-57"	"26D4"	2018-10-10T00:00:00Z	58.1418	19.4798	133
"BIAS_2018_SWE"	"59"	"BIAS_2018_SWE-59"	"26D4"	2018-10-10T00:00:00Z	57.8767	19.5577	78.5
"BIAS_2018_SWE"	"61"	"BIAS_2018_SWE-61"	"26D4"	2018-10-10T00:00:00Z	57.6034	19.586	104
"BIAS_2018_SWE"	"63"	"BIAS_2018_SWE-63"	"26D4"	2018-10-10T00:00:00Z	57.4261	19.5758	56
