"Survey"	"Stratum"	"Layer"	"Beam"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"Frequency"	"Density"	"MinLayerDepth"	"MaxLayerDepth"	"MeanDensityWeight"
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	7	0.5	38000	1970.22145386759	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	7.5	0.5	38000	110411.414373955	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	8	0.5	38000	173498.007376415	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	8.5	0.5	38000	910874.415345784	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	9	0.5	38000	753138.179600361	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	9.5	0.5	38000	175468.228830283	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	10	0.5	38000	68997.2573640886	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	10.5	0.5	38000	1970.22145386759	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	11	0.5	38000	1970.22145386759	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	12.5	0.5	38000	11955.790374775	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	13	0.5	38000	138896.239810364	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	13.5	0.5	38000	138896.239810364	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	14	0.5	38000	332998.186807693	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	14.5	0.5	38000	325615.641119828	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	15	0.5	38000	418452.663116946	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	15.5	0.5	38000	509525.741428236	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	16	0.5	38000	370629.501617872	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	16.5	0.5	38000	286938.968994472	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	17	0.5	38000	167381.065246773	10	189.2	53
"Survey"	"45G9"	"WaterColumn"	"I1"	"126417"	17.5	0.5	38000	107602.113372924	10	189.2	53
