"Stratum"	"PSU"	"EDSU"	"Layer"	"Channel"	"Cruise"	"EffectiveLogDistance"	"DateTime"	"Longitude"	"Latitude"
"45G9"	"PSU101"	"BIAS_2018_SWE/2018-10-09T22:29:58.000Z"	"WaterColumn"	"10_44.3"	"BIAS_2018_SWE"	1	2018-10-09T22:29:00Z	19.57103	58.49275
"45G9"	"PSU102"	"BIAS_2018_SWE/2018-10-09T22:36:48.000Z"	"WaterColumn"	"10_87.4"	"BIAS_2018_SWE"	1	2018-10-09T22:36:00Z	19.57094	58.47589
"45G9"	"PSU103"	"BIAS_2018_SWE/2018-10-09T22:43:01.000Z"	"WaterColumn"	"10_81.2"	"BIAS_2018_SWE"	1	2018-10-09T22:43:00Z	19.57035	58.45912
"45G9"	"PSU104"	"BIAS_2018_SWE/2018-10-09T22:49:28.000Z"	"WaterColumn"	"10_77.8"	"BIAS_2018_SWE"	1	2018-10-09T22:49:00Z	19.5699	58.44238
"45G9"	"PSU105"	"BIAS_2018_SWE/2018-10-09T22:56:09.000Z"	"WaterColumn"	"10_75.8"	"BIAS_2018_SWE"	1	2018-10-09T22:56:00Z	19.56989	58.42557
"45G9"	"PSU106"	"BIAS_2018_SWE/2018-10-09T23:02:43.000Z"	"WaterColumn"	"10_82.8"	"BIAS_2018_SWE"	1	2018-10-09T23:02:00Z	19.56994	58.40877
"45G9"	"PSU107"	"BIAS_2018_SWE/2018-10-09T23:09:31.000Z"	"WaterColumn"	"10_100"	"BIAS_2018_SWE"	1	2018-10-09T23:09:00Z	19.57063	58.39204
"45G9"	"PSU108"	"BIAS_2018_SWE/2018-10-09T23:16:13.000Z"	"WaterColumn"	"10_109"	"BIAS_2018_SWE"	1	2018-10-09T23:16:00Z	19.57147	58.37521
"45G9"	"PSU109"	"BIAS_2018_SWE/2018-10-09T23:22:34.000Z"	"WaterColumn"	"10_104.3"	"BIAS_2018_SWE"	1	2018-10-09T23:22:00Z	19.57207	58.35846
"45G9"	"PSU110"	"BIAS_2018_SWE/2018-10-09T23:29:05.000Z"	"WaterColumn"	"10_113"	"BIAS_2018_SWE"	1	2018-10-09T23:29:00Z	19.57273	58.34167
