"Survey"	"Stratum"	"PSU"	"Layer"	"Beam"	"AcousticCategory"	"Frequency"	"NASC"	"MinLayerDepth"	"MaxLayerDepth"	"MeanNASCWeight"	"ChannelReferenceType"	"ChannelReferenceDepth"	"ChannelReferenceTilt"
"Survey"	"45G9"	"PSU101"	"WaterColumn"	"I1"	"HER"	38000	200.972114814264	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU102"	"WaterColumn"	"I1"	"HER"	38000	219.725856496795	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU103"	"WaterColumn"	"I1"	"HER"	38000	260.852482993575	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU104"	"WaterColumn"	"I1"	"HER"	38000	256.465642833919	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU105"	"WaterColumn"	"I1"	"HER"	38000	316.784695029196	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU106"	"WaterColumn"	"I1"	"HER"	38000	307.462659689925	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU107"	"WaterColumn"	"I1"	"HER"	38000	200.643101802289	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU108"	"WaterColumn"	"I1"	"HER"	38000	244.18249038688	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU109"	"WaterColumn"	"I1"	"HER"	38000	257.672023877824	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU110"	"WaterColumn"	"I1"	"HER"	38000	186.221364777419	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU111"	"WaterColumn"	"I1"	"HER"	38000	116.08675772491	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU112"	"WaterColumn"	"I1"	"HER"	38000	149.481578440295	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU113"	"WaterColumn"	"I1"	"HER"	38000	161.106704863385	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU114"	"WaterColumn"	"I1"	"HER"	38000	157.21338422169	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU115"	"WaterColumn"	"I1"	"HER"	38000	126.505503104095	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU116"	"WaterColumn"	"I1"	"HER"	38000	130.179481737807	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU117"	"WaterColumn"	"I1"	"HER"	38000	179.970117549908	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU118"	"WaterColumn"	"I1"	"HER"	38000	121.844485434459	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU119"	"WaterColumn"	"I1"	"HER"	38000	85.598218615298	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU120"	"WaterColumn"	"I1"	"HER"	38000	322.652093742736	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU121"	"WaterColumn"	"I1"	"HER"	38000	268.145604759004	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU122"	"WaterColumn"	"I1"	"HER"	38000	256.301136327931	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU123"	"WaterColumn"	"I1"	"HER"	38000	1193.87854945052	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU124"	"WaterColumn"	"I1"	"HER"	38000	700.907386509118	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU125"	"WaterColumn"	"I1"	"HER"	38000	396.954198946918	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU126"	"WaterColumn"	"I1"	"HER"	38000	576.156619468886	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU127"	"WaterColumn"	"I1"	"HER"	38000	427.607244562518	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU128"	"WaterColumn"	"I1"	"HER"	38000	660.493621538283	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU129"	"WaterColumn"	"I1"	"HER"	38000	612.731899300023	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU130"	"WaterColumn"	"I1"	"HER"	38000	439.780726005565	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU131"	"WaterColumn"	"I1"	"HER"	38000	893.983189036	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU132"	"WaterColumn"	"I1"	"HER"	38000	1048.07094964394	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU133"	"WaterColumn"	"I1"	"HER"	38000	1085.03007798904	10	189.2	1	"P"	0	180
