"Survey"	"Stratum"	"PSU"	"Layer"	"Beam"	"AcousticCategory"	"Frequency"	"NASC"	"MinLayerDepth"	"MaxLayerDepth"	"MeanNASCWeight"	"ChannelReferenceType"	"ChannelReferenceDepth"	"ChannelReferenceTilt"
"Survey"	"45G9"	"PSU101"	"Layer1"	"I1"	"MIX"	38000	366.5	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU102"	"Layer1"	"I1"	"MIX"	38000	400.7	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU103"	"Layer1"	"I1"	"MIX"	38000	475.7	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU104"	"Layer1"	"I1"	"MIX"	38000	467.7	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU105"	"Layer1"	"I1"	"MIX"	38000	577.7	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU106"	"Layer1"	"I1"	"MIX"	38000	560.7	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU107"	"Layer1"	"I1"	"MIX"	38000	365.9	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU108"	"Layer1"	"I1"	"MIX"	38000	445.3	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU109"	"Layer1"	"I1"	"MIX"	38000	469.9	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU110"	"Layer1"	"I1"	"MIX"	38000	339.6	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU111"	"Layer1"	"I1"	"MIX"	38000	211.7	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU112"	"Layer1"	"I1"	"MIX"	38000	272.6	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU113"	"Layer1"	"I1"	"MIX"	38000	293.8	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU114"	"Layer1"	"I1"	"MIX"	38000	286.7	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU115"	"Layer1"	"I1"	"MIX"	38000	230.7	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU116"	"Layer1"	"I1"	"MIX"	38000	237.4	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU117"	"Layer1"	"I1"	"MIX"	38000	328.2	10	189.2	1	"P"	0	180
"Survey"	"45G9"	"PSU118"	"Layer1"	"I1"	"MIX"	38000	222.2	10	189.2	1	"P"	0	180
