"EDSU"	"Channel"	"Beam"	"AcousticCategory"	"Frequency"	"NASC"	"MinChannelDepth"	"MaxChannelDepth"	"NASCWeight"	"ChannelReferenceType"	"ChannelReferenceDepth"	"ChannelReferenceTilt"	"Cruise"	"EffectiveLogDistance"	"DateTime"	"Longitude"	"Latitude"
"BIAS_2018_SWE/2018-10-08T20:12:03.000Z"	"10_94.1"	"I1"	"MIX"	38000	466.7	10	94.1	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:12:00Z	20.0087	58.99567
"BIAS_2018_SWE/2018-10-08T20:20:28.000Z"	"10_73.2"	"I1"	"MIX"	38000	522	10	73.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:20:00Z	20.02892	58.98262
"BIAS_2018_SWE/2018-10-08T20:29:16.000Z"	"10_130.1"	"I1"	"MIX"	38000	669.2	10	130.1	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:29:00Z	20.04942	58.9696
"BIAS_2018_SWE/2018-10-08T20:37:38.000Z"	"10_77.8"	"I1"	"MIX"	38000	590.6	10	77.8	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:37:00Z	20.07013	58.95661
"BIAS_2018_SWE/2018-10-08T20:46:27.000Z"	"10_155.1"	"I1"	"MIX"	38000	491.9	10	155.1	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:46:00Z	20.09092	58.94373
"BIAS_2018_SWE/2018-10-08T20:54:56.000Z"	"10_89.3"	"I1"	"MIX"	38000	424	10	89.3	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:54:00Z	20.11219	58.93106
"BIAS_2018_SWE/2018-10-08T21:03:06.000Z"	"10_95.2"	"I1"	"MIX"	38000	419.3	10	95.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T21:03:00Z	20.14038	58.92527
"BIAS_2018_SWE/2018-10-08T21:11:25.000Z"	"10_98.9"	"I1"	"MIX"	38000	504.5	10	98.9	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T21:11:00Z	20.1728	58.92503
"BIAS_2018_SWE/2018-10-08T21:19:45.000Z"	"10_82.4"	"I1"	"MIX"	38000	551.6	10	82.4	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T21:19:00Z	20.20518	58.92499
"BIAS_2018_SWE/2018-10-08T21:28:15.000Z"	"10_92.2"	"I1"	"MIX"	38000	866.3	10	92.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T21:28:00Z	20.23766	58.92511
