"EDSU"	"Channel"	"Beam"	"AcousticCategory"	"Frequency"	"NASC"	"MinChannelDepth"	"MaxChannelDepth"	"NASCWeight"	"ChannelReferenceType"	"ChannelReferenceDepth"	"ChannelReferenceTilt"	"Cruise"	"EffectiveLogDistance"	"DateTime"	"Longitude"	"Latitude"
"BIAS_2018_SWE/2018-10-08T20:12:03.000Z"	"10_94.1"	"I1"	"HER"	38000	2.85336852917176	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:12:00Z	20.0087	58.99567
"BIAS_2018_SWE/2018-10-08T20:12:03.000Z"	"10_94.1"	"I1"	"SPR"	38000	439.961695453359	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:12:00Z	20.0087	58.99567
"BIAS_2018_SWE/2018-10-08T20:12:03.000Z"	"10_94.1"	"I1"	"UNK"	38000	23.8849360174688	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:12:00Z	20.0087	58.99567
"BIAS_2018_SWE/2018-10-08T20:20:28.000Z"	"10_73.2"	"I1"	"HER"	38000	3.19146854987713	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:20:00Z	20.02892	58.98262
"BIAS_2018_SWE/2018-10-08T20:20:28.000Z"	"10_73.2"	"I1"	"SPR"	38000	492.093432669067	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:20:00Z	20.02892	58.98262
"BIAS_2018_SWE/2018-10-08T20:20:28.000Z"	"10_73.2"	"I1"	"UNK"	38000	26.7150987810558	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:20:00Z	20.02892	58.98262
"BIAS_2018_SWE/2018-10-08T20:29:16.000Z"	"10_130.1"	"I1"	"HER"	38000	4.09143822524479	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:29:00Z	20.04942	58.9696
"BIAS_2018_SWE/2018-10-08T20:29:16.000Z"	"10_130.1"	"I1"	"SPR"	38000	630.860009850842	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:29:00Z	20.04942	58.9696
"BIAS_2018_SWE/2018-10-08T20:29:16.000Z"	"10_130.1"	"I1"	"UNK"	38000	34.2485519239129	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:29:00Z	20.04942	58.9696
"BIAS_2018_SWE/2018-10-08T20:37:38.000Z"	"10_77.8"	"I1"	"HER"	38000	3.6108837654357	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:37:00Z	20.07013	58.95661
"BIAS_2018_SWE/2018-10-08T20:37:38.000Z"	"10_77.8"	"I1"	"SPR"	38000	556.763182632856	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:37:00Z	20.07013	58.95661
"BIAS_2018_SWE/2018-10-08T20:37:38.000Z"	"10_77.8"	"I1"	"UNK"	38000	30.2259336017079	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:37:00Z	20.07013	58.95661
"BIAS_2018_SWE/2018-10-08T20:46:27.000Z"	"10_155.1"	"I1"	"HER"	38000	3.00743942468307	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:46:00Z	20.09092	58.94373
"BIAS_2018_SWE/2018-10-08T20:46:27.000Z"	"10_155.1"	"I1"	"SPR"	38000	463.717930133935	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:46:00Z	20.09092	58.94373
"BIAS_2018_SWE/2018-10-08T20:46:27.000Z"	"10_155.1"	"I1"	"UNK"	38000	25.1746304413819	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:46:00Z	20.09092	58.94373
"BIAS_2018_SWE/2018-10-08T20:54:56.000Z"	"10_89.3"	"I1"	"HER"	38000	2.59230395622204	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:54:00Z	20.11219	58.93106
"BIAS_2018_SWE/2018-10-08T20:54:56.000Z"	"10_89.3"	"I1"	"SPR"	38000	399.70807557794	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:54:00Z	20.11219	58.93106
"BIAS_2018_SWE/2018-10-08T20:54:56.000Z"	"10_89.3"	"I1"	"UNK"	38000	21.6996204658384	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T20:54:00Z	20.11219	58.93106
"BIAS_2018_SWE/2018-10-08T21:03:06.000Z"	"10_95.2"	"I1"	"HER"	38000	2.5635685114243	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T21:03:00Z	20.14038	58.92527
"BIAS_2018_SWE/2018-10-08T21:03:06.000Z"	"10_95.2"	"I1"	"SPR"	38000	395.277349268467	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T21:03:00Z	20.14038	58.92527
"BIAS_2018_SWE/2018-10-08T21:03:06.000Z"	"10_95.2"	"I1"	"UNK"	38000	21.4590822201086	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T21:03:00Z	20.14038	58.92527
"BIAS_2018_SWE/2018-10-08T21:11:25.000Z"	"10_98.9"	"I1"	"HER"	38000	3.08447487243872	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T21:11:00Z	20.1728	58.92503
"BIAS_2018_SWE/2018-10-08T21:11:25.000Z"	"10_98.9"	"I1"	"SPR"	38000	475.596047474223	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T21:11:00Z	20.1728	58.92503
"BIAS_2018_SWE/2018-10-08T21:11:25.000Z"	"10_98.9"	"I1"	"UNK"	38000	25.8194776533384	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T21:11:00Z	20.1728	58.92503
"BIAS_2018_SWE/2018-10-08T21:19:45.000Z"	"10_82.4"	"I1"	"HER"	38000	3.37244071285867	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T21:19:00Z	20.20518	58.92499
"BIAS_2018_SWE/2018-10-08T21:19:45.000Z"	"10_82.4"	"I1"	"SPR"	38000	519.997581341489	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T21:19:00Z	20.20518	58.92499
"BIAS_2018_SWE/2018-10-08T21:19:45.000Z"	"10_82.4"	"I1"	"UNK"	38000	28.229977945652	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T21:19:00Z	20.20518	58.92499
"BIAS_2018_SWE/2018-10-08T21:28:15.000Z"	"10_92.2"	"I1"	"HER"	38000	5.29649272942253	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T21:28:00Z	20.23766	58.92511
"BIAS_2018_SWE/2018-10-08T21:28:15.000Z"	"10_92.2"	"I1"	"SPR"	38000	816.667702531059	10	189.2	1	"P"	0	180	"BIAS_2018_SWE"	1	2018-10-08T21:28:00Z	20.23766	58.92511
