"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"Sample"	"CatchFractionWeight"	"CatchFractionCount"	"SampleWeight"	"SampleCount"
"BIAS_2018_SWE"	"6"	"3"	"125999"	"1"	"BIAS_2018_SWE-6-3-125999-1"	0.111	5	2.5e-05	5
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"BIAS_2018_SWE-6-3-126417-1"	19.029	159	0.0043	159
"BIAS_2018_SWE"	"6"	"3"	"126425"	"1"	"BIAS_2018_SWE-6-3-126425-1"	79.28	189	0.002524	189
"BIAS_2018_SWE"	"6"	"3"	"126505"	"1"	"BIAS_2018_SWE-6-3-126505-1"	0.133	4	3e-05	4
"BIAS_2018_SWE"	"6"	"3"	"127141"	"1"	"BIAS_2018_SWE-6-3-127141-1"	0.094	1	9.4e-05	1
"BIAS_2018_SWE"	"6"	"3"	"127214"	"1"	"BIAS_2018_SWE-6-3-127214-1"	0.157	1	0.000157	1
"BIAS_2018_SWE"	"40"	"20"	"126417"	"1"	"BIAS_2018_SWE-40-20-126417-1"	47.03	297	0.00691	297
"BIAS_2018_SWE"	"40"	"20"	"126425"	"1"	"BIAS_2018_SWE-40-20-126425-1"	2.069	28	0.000304	28
"BIAS_2018_SWE"	"40"	"20"	"126436"	"1"	"BIAS_2018_SWE-40-20-126436-1"	0.092	1	9.2e-05	1
"BIAS_2018_SWE"	"40"	"20"	"126505"	"1"	"BIAS_2018_SWE-40-20-126505-1"	121.828	66	0.00012	66
"BIAS_2018_SWE"	"40"	"20"	"126507"	"1"	"BIAS_2018_SWE-40-20-126507-1"	0.007	1	1e-06	1
"BIAS_2018_SWE"	"40"	"20"	"126756"	"1"	"BIAS_2018_SWE-40-20-126756-1"	0.047	1	4.7e-05	1
"BIAS_2018_SWE"	"40"	"20"	"127149"	"1"	"BIAS_2018_SWE-40-20-127149-1"	0.271	1	0.000271	1
"BIAS_2018_SWE"	"40"	"20"	"127385"	"1"	"BIAS_2018_SWE-40-20-127385-1"	0.001	2	1e-06	2
"BIAS_2018_SWE"	"42"	"21"	"126417"	"1"	"BIAS_2018_SWE-42-21-126417-1"	0.478	11	4.8e-05	11
"BIAS_2018_SWE"	"42"	"21"	"126417"	"2"	"BIAS_2018_SWE-42-21-126417-2"	138.099	238	0.0055	238
"BIAS_2018_SWE"	"42"	"21"	"126425"	"1"	"BIAS_2018_SWE-42-21-126425-1"	11.49	176	0.001154	176
"BIAS_2018_SWE"	"42"	"21"	"126436"	"1"	"BIAS_2018_SWE-42-21-126436-1"	0.554	1	0.000554	1
"BIAS_2018_SWE"	"42"	"21"	"126505"	"1"	"BIAS_2018_SWE-42-21-126505-1"	57.35	70	0.000134	70
"BIAS_2018_SWE"	"42"	"21"	"126507"	"1"	"BIAS_2018_SWE-42-21-126507-1"	0.02	3	2e-06	3
"BIAS_2018_SWE"	"42"	"21"	"127149"	"1"	"BIAS_2018_SWE-42-21-127149-1"	0.016	1	1.6e-05	1
"BIAS_2018_SWE"	"42"	"21"	"127214"	"1"	"BIAS_2018_SWE-42-21-127214-1"	0.272	2	0.000272	2
"BIAS_2018_SWE"	"42"	"21"	"127385"	"1"	"BIAS_2018_SWE-42-21-127385-1"	0.01	2	1e-06	2
"BIAS_2018_SWE"	"44"	"22"	"126417"	"1"	"BIAS_2018_SWE-44-22-126417-1"	18.85	202	0.0019	202
"BIAS_2018_SWE"	"44"	"22"	"126425"	"1"	"BIAS_2018_SWE-44-22-126425-1"	97.225	231	0.00175	231
"BIAS_2018_SWE"	"44"	"22"	"126505"	"1"	"BIAS_2018_SWE-44-22-126505-1"	66.668	59	0.00011	59
"BIAS_2018_SWE"	"44"	"22"	"126507"	"1"	"BIAS_2018_SWE-44-22-126507-1"	0.079	6	8e-06	6
"BIAS_2018_SWE"	"44"	"22"	"127214"	"1"	"BIAS_2018_SWE-44-22-127214-1"	0.129	1	0.000129	1
"BIAS_2018_SWE"	"44"	"22"	"127385"	"1"	"BIAS_2018_SWE-44-22-127385-1"	0.001	1	1e-06	1
"BIAS_2018_SWE"	"47"	"23"	"101172"	"1"	"BIAS_2018_SWE-47-23-101172-1"	0.056	1	5.6e-05	1
"BIAS_2018_SWE"	"47"	"23"	"126417"	"1"	"BIAS_2018_SWE-47-23-126417-1"	7.117	18	0.00022	18
"BIAS_2018_SWE"	"47"	"23"	"126425"	"1"	"BIAS_2018_SWE-47-23-126425-1"	555.421	142	0.001232	142
"BIAS_2018_SWE"	"47"	"23"	"126505"	"1"	"BIAS_2018_SWE-47-23-126505-1"	43.8	77	0.00013	77
"BIAS_2018_SWE"	"47"	"23"	"126507"	"1"	"BIAS_2018_SWE-47-23-126507-1"	0.194	5	6e-06	5
"BIAS_2018_SWE"	"47"	"23"	"127214"	"1"	"BIAS_2018_SWE-47-23-127214-1"	0.614	5	0.000614	5
"BIAS_2018_SWE"	"47"	"23"	"127385"	"1"	"BIAS_2018_SWE-47-23-127385-1"	0.032	1	1e-06	1
"BIAS_2018_SWE"	"49"	"24"	"126417"	"1"	"BIAS_2018_SWE-49-24-126417-1"	3.827	11	5.6e-05	11
"BIAS_2018_SWE"	"49"	"24"	"126425"	"1"	"BIAS_2018_SWE-49-24-126425-1"	1671.034	196	0.0015	196
"BIAS_2018_SWE"	"49"	"24"	"126505"	"1"	"BIAS_2018_SWE-49-24-126505-1"	7.108	58	0.000104	58
"BIAS_2018_SWE"	"49"	"24"	"127186"	"1"	"BIAS_2018_SWE-49-24-127186-1"	0.27	1	0.00027	1
"BIAS_2018_SWE"	"49"	"24"	"127214"	"1"	"BIAS_2018_SWE-49-24-127214-1"	0.329	5	0.000329	5
"BIAS_2018_SWE"	"51"	"25"	"126417"	"1"	"BIAS_2018_SWE-51-25-126417-1"	12.896	129	0.00188	129
"BIAS_2018_SWE"	"51"	"25"	"126425"	"1"	"BIAS_2018_SWE-51-25-126425-1"	88.592	200	0.0018	200
"BIAS_2018_SWE"	"51"	"25"	"126505"	"1"	"BIAS_2018_SWE-51-25-126505-1"	35.258	59	0.000114	59
"BIAS_2018_SWE"	"51"	"25"	"126507"	"1"	"BIAS_2018_SWE-51-25-126507-1"	0.041	5	6e-06	5
"BIAS_2018_SWE"	"51"	"25"	"127214"	"1"	"BIAS_2018_SWE-51-25-127214-1"	0.076	1	7.6e-05	1
"BIAS_2018_SWE"	"51"	"25"	"127385"	"1"	"BIAS_2018_SWE-51-25-127385-1"	0.001	3	1e-06	3
"BIAS_2018_SWE"	"53"	"26"	"126417"	"1"	"BIAS_2018_SWE-53-26-126417-1"	40.684	72	0.001512	72
"BIAS_2018_SWE"	"53"	"26"	"126425"	"1"	"BIAS_2018_SWE-53-26-126425-1"	85.673	186	0.001505	186
"BIAS_2018_SWE"	"53"	"26"	"126505"	"1"	"BIAS_2018_SWE-53-26-126505-1"	73.618	76	0.00013	76
"BIAS_2018_SWE"	"53"	"26"	"127214"	"1"	"BIAS_2018_SWE-53-26-127214-1"	0.634	4	0.000634	4
"BIAS_2018_SWE"	"53"	"26"	"127385"	"1"	"BIAS_2018_SWE-53-26-127385-1"	0.027	1	1e-06	1
"BIAS_2018_SWE"	"55"	"27"	"126417"	"1"	"BIAS_2018_SWE-55-27-126417-1"	1.88	51	0.000238	51
"BIAS_2018_SWE"	"55"	"27"	"126417"	"2"	"BIAS_2018_SWE-55-27-126417-2"	222.414	204	0.00464	204
"BIAS_2018_SWE"	"55"	"27"	"126425"	"1"	"BIAS_2018_SWE-55-27-126425-1"	1.485	51	0.000188	51
"BIAS_2018_SWE"	"55"	"27"	"126425"	"2"	"BIAS_2018_SWE-55-27-126425-2"	17.06	159	0.0018	159
"BIAS_2018_SWE"	"55"	"27"	"126436"	"1"	"BIAS_2018_SWE-55-27-126436-1"	0.242	2	0.000242	2
"BIAS_2018_SWE"	"55"	"27"	"126505"	"1"	"BIAS_2018_SWE-55-27-126505-1"	4.913	68	0.000116	68
"BIAS_2018_SWE"	"57"	"28"	"126417"	"1"	"BIAS_2018_SWE-57-28-126417-1"	3.965	46	0.000282	46
"BIAS_2018_SWE"	"57"	"28"	"126425"	"1"	"BIAS_2018_SWE-57-28-126425-1"	191.202	176	0.00164	176
"BIAS_2018_SWE"	"57"	"28"	"126505"	"1"	"BIAS_2018_SWE-57-28-126505-1"	8.97	75	0.00013	75
"BIAS_2018_SWE"	"57"	"28"	"126507"	"1"	"BIAS_2018_SWE-57-28-126507-1"	0.028	2	2e-06	2
"BIAS_2018_SWE"	"57"	"28"	"127141"	"1"	"BIAS_2018_SWE-57-28-127141-1"	0.051	1	5.1e-05	1
"BIAS_2018_SWE"	"57"	"28"	"127214"	"1"	"BIAS_2018_SWE-57-28-127214-1"	0.304	2	0.000304	2
"BIAS_2018_SWE"	"59"	"29"	"126417"	"1"	"BIAS_2018_SWE-59-29-126417-1"	39.244	108	0.002514	108
"BIAS_2018_SWE"	"59"	"29"	"126425"	"1"	"BIAS_2018_SWE-59-29-126425-1"	383.229	261	0.00166	261
"BIAS_2018_SWE"	"59"	"29"	"126436"	"1"	"BIAS_2018_SWE-59-29-126436-1"	0.722	4	0.000722	4
"BIAS_2018_SWE"	"59"	"29"	"126505"	"1"	"BIAS_2018_SWE-59-29-126505-1"	2.154	57	0.000109	57
"BIAS_2018_SWE"	"59"	"29"	"126507"	"1"	"BIAS_2018_SWE-59-29-126507-1"	0.016	1	1e-06	1
"BIAS_2018_SWE"	"59"	"29"	"127141"	"1"	"BIAS_2018_SWE-59-29-127141-1"	0.104	1	0.000104	1
"BIAS_2018_SWE"	"61"	"30"	"125516"	"1"	"BIAS_2018_SWE-61-30-125516-1"	0.003	3	1e-06	3
"BIAS_2018_SWE"	"61"	"30"	"126417"	"1"	"BIAS_2018_SWE-61-30-126417-1"	76.818	211	0.00598	211
"BIAS_2018_SWE"	"61"	"30"	"126425"	"1"	"BIAS_2018_SWE-61-30-126425-1"	2.019	77	0.000652	77
"BIAS_2018_SWE"	"61"	"30"	"126505"	"1"	"BIAS_2018_SWE-61-30-126505-1"	6.942	64	0.000132	64
"BIAS_2018_SWE"	"61"	"30"	"126507"	"1"	"BIAS_2018_SWE-61-30-126507-1"	0.003	1	1e-06	1
"BIAS_2018_SWE"	"63"	"31"	"126417"	"1"	"BIAS_2018_SWE-63-31-126417-1"	1.197	30	0.000122	30
"BIAS_2018_SWE"	"63"	"31"	"126417"	"2"	"BIAS_2018_SWE-63-31-126417-2"	161.146	228	0.00605	228
"BIAS_2018_SWE"	"63"	"31"	"126425"	"1"	"BIAS_2018_SWE-63-31-126425-1"	23.5	244	0.002396	244
"BIAS_2018_SWE"	"63"	"31"	"126505"	"1"	"BIAS_2018_SWE-63-31-126505-1"	42.371	63	0.000132	63
"BIAS_2018_SWE"	"63"	"31"	"126756"	"1"	"BIAS_2018_SWE-63-31-126756-1"	0.006	1	6e-06	1
"BIAS_2018_SWE"	"63"	"31"	"127214"	"1"	"BIAS_2018_SWE-63-31-127214-1"	0.834	6	0.000834	6
