"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SpeciesCategory"
"BIAS_2018_SWE"	"6"	"3"	"125999"	"125999"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"126417"
"BIAS_2018_SWE"	"6"	"3"	"126425"	"126425"
"BIAS_2018_SWE"	"6"	"3"	"126505"	"126505"
"BIAS_2018_SWE"	"6"	"3"	"127141"	"127141"
"BIAS_2018_SWE"	"6"	"3"	"127214"	"127214"
"BIAS_2018_SWE"	"40"	"20"	"126417"	"126417"
"BIAS_2018_SWE"	"40"	"20"	"126425"	"126425"
"BIAS_2018_SWE"	"40"	"20"	"126436"	"126436"
"BIAS_2018_SWE"	"40"	"20"	"126505"	"126505"
"BIAS_2018_SWE"	"40"	"20"	"126507"	"126507"
"BIAS_2018_SWE"	"40"	"20"	"126756"	"126756"
"BIAS_2018_SWE"	"40"	"20"	"127149"	"127149"
"BIAS_2018_SWE"	"40"	"20"	"127385"	"127385"
"BIAS_2018_SWE"	"42"	"21"	"126417"	"126417"
"BIAS_2018_SWE"	"42"	"21"	"126425"	"126425"
"BIAS_2018_SWE"	"42"	"21"	"126436"	"126436"
"BIAS_2018_SWE"	"42"	"21"	"126505"	"126505"
"BIAS_2018_SWE"	"42"	"21"	"126507"	"126507"
"BIAS_2018_SWE"	"42"	"21"	"127149"	"127149"
"BIAS_2018_SWE"	"42"	"21"	"127214"	"127214"
"BIAS_2018_SWE"	"42"	"21"	"127385"	"127385"
"BIAS_2018_SWE"	"44"	"22"	"126417"	"126417"
"BIAS_2018_SWE"	"44"	"22"	"126425"	"126425"
"BIAS_2018_SWE"	"44"	"22"	"126505"	"126505"
"BIAS_2018_SWE"	"44"	"22"	"126507"	"126507"
"BIAS_2018_SWE"	"44"	"22"	"127214"	"127214"
"BIAS_2018_SWE"	"44"	"22"	"127385"	"127385"
"BIAS_2018_SWE"	"47"	"23"	"101172"	"101172"
"BIAS_2018_SWE"	"47"	"23"	"126417"	"126417"
"BIAS_2018_SWE"	"47"	"23"	"126425"	"126425"
"BIAS_2018_SWE"	"47"	"23"	"126505"	"126505"
"BIAS_2018_SWE"	"47"	"23"	"126507"	"126507"
"BIAS_2018_SWE"	"47"	"23"	"127214"	"127214"
"BIAS_2018_SWE"	"47"	"23"	"127385"	"127385"
"BIAS_2018_SWE"	"49"	"24"	"126417"	"126417"
"BIAS_2018_SWE"	"49"	"24"	"126425"	"126425"
"BIAS_2018_SWE"	"49"	"24"	"126505"	"126505"
"BIAS_2018_SWE"	"49"	"24"	"127186"	"127186"
"BIAS_2018_SWE"	"49"	"24"	"127214"	"127214"
"BIAS_2018_SWE"	"51"	"25"	"126417"	"126417"
"BIAS_2018_SWE"	"51"	"25"	"126425"	"126425"
"BIAS_2018_SWE"	"51"	"25"	"126505"	"126505"
"BIAS_2018_SWE"	"51"	"25"	"126507"	"126507"
"BIAS_2018_SWE"	"51"	"25"	"127214"	"127214"
"BIAS_2018_SWE"	"51"	"25"	"127385"	"127385"
"BIAS_2018_SWE"	"53"	"26"	"126417"	"126417"
"BIAS_2018_SWE"	"53"	"26"	"126425"	"126425"
"BIAS_2018_SWE"	"53"	"26"	"126505"	"126505"
"BIAS_2018_SWE"	"53"	"26"	"127214"	"127214"
"BIAS_2018_SWE"	"53"	"26"	"127385"	"127385"
"BIAS_2018_SWE"	"55"	"27"	"126417"	"126417"
"BIAS_2018_SWE"	"55"	"27"	"126425"	"126425"
"BIAS_2018_SWE"	"55"	"27"	"126436"	"126436"
"BIAS_2018_SWE"	"55"	"27"	"126505"	"126505"
"BIAS_2018_SWE"	"57"	"28"	"126417"	"126417"
"BIAS_2018_SWE"	"57"	"28"	"126425"	"126425"
"BIAS_2018_SWE"	"57"	"28"	"126505"	"126505"
"BIAS_2018_SWE"	"57"	"28"	"126507"	"126507"
"BIAS_2018_SWE"	"57"	"28"	"127141"	"127141"
"BIAS_2018_SWE"	"57"	"28"	"127214"	"127214"
"BIAS_2018_SWE"	"59"	"29"	"126417"	"126417"
"BIAS_2018_SWE"	"59"	"29"	"126425"	"126425"
"BIAS_2018_SWE"	"59"	"29"	"126436"	"126436"
"BIAS_2018_SWE"	"59"	"29"	"126505"	"126505"
"BIAS_2018_SWE"	"59"	"29"	"126507"	"126507"
"BIAS_2018_SWE"	"59"	"29"	"127141"	"127141"
"BIAS_2018_SWE"	"61"	"30"	"125516"	"125516"
"BIAS_2018_SWE"	"61"	"30"	"126417"	"126417"
"BIAS_2018_SWE"	"61"	"30"	"126425"	"126425"
"BIAS_2018_SWE"	"61"	"30"	"126505"	"126505"
"BIAS_2018_SWE"	"61"	"30"	"126507"	"126507"
"BIAS_2018_SWE"	"63"	"31"	"126417"	"126417"
"BIAS_2018_SWE"	"63"	"31"	"126425"	"126425"
"BIAS_2018_SWE"	"63"	"31"	"126505"	"126505"
"BIAS_2018_SWE"	"63"	"31"	"126756"	"126756"
"BIAS_2018_SWE"	"63"	"31"	"127214"	"127214"
