"CruiseKey"	"LogKey"	"BeamKey"	"AcousticCategoryKey"	"ChannelReferenceKey"	"NASCKey"	"Channel"	"MaxChannelRange"	"MinChannelRange"	"NASC"
"BIAS_2018_SWE"	"2018-10-08T20:12:03.000Z"	"I1"	"MIX"	"P"	"10/94.1"	"10_94.1"	94.1	10	466.7
"BIAS_2018_SWE"	"2018-10-08T20:20:28.000Z"	"I1"	"MIX"	"P"	"10/73.2"	"10_73.2"	73.2	10	522
"BIAS_2018_SWE"	"2018-10-08T20:29:16.000Z"	"I1"	"MIX"	"P"	"10/130.1"	"10_130.1"	130.1	10	669.2
"BIAS_2018_SWE"	"2018-10-08T20:37:38.000Z"	"I1"	"MIX"	"P"	"10/77.8"	"10_77.8"	77.8	10	590.6
"BIAS_2018_SWE"	"2018-10-08T20:46:27.000Z"	"I1"	"MIX"	"P"	"10/155.1"	"10_155.1"	155.1	10	491.9
"BIAS_2018_SWE"	"2018-10-08T20:54:56.000Z"	"I1"	"MIX"	"P"	"10/89.3"	"10_89.3"	89.3	10	424
"BIAS_2018_SWE"	"2018-10-08T21:03:06.000Z"	"I1"	"MIX"	"P"	"10/95.2"	"10_95.2"	95.2	10	419.3
"BIAS_2018_SWE"	"2018-10-08T21:11:25.000Z"	"I1"	"MIX"	"P"	"10/98.9"	"10_98.9"	98.9	10	504.5
"BIAS_2018_SWE"	"2018-10-08T21:19:45.000Z"	"I1"	"MIX"	"P"	"10/82.4"	"10_82.4"	82.4	10	551.6
"BIAS_2018_SWE"	"2018-10-08T21:28:15.000Z"	"I1"	"MIX"	"P"	"10/92.2"	"10_92.2"	92.2	10	866.3
"BIAS_2018_SWE"	"2018-10-08T21:36:47.000Z"	"I1"	"MIX"	"P"	"10/86.4"	"10_86.4"	86.4	10	701.6
"BIAS_2018_SWE"	"2018-10-08T21:44:59.000Z"	"I1"	"MIX"	"P"	"10/99.5"	"10_99.5"	99.5	10	615.9
"BIAS_2018_SWE"	"2018-10-08T21:53:32.000Z"	"I1"	"MIX"	"P"	"10/88.1"	"10_88.1"	88.1	10	750.7
"BIAS_2018_SWE"	"2018-10-08T22:02:36.000Z"	"I1"	"MIX"	"P"	"10/159"	"10_159"	159	10	982.8
"BIAS_2018_SWE"	"2018-10-08T22:11:55.000Z"	"I1"	"MIX"	"P"	"10/88.2"	"10_88.2"	88.2	10	926.6
"BIAS_2018_SWE"	"2018-10-08T22:21:05.000Z"	"I1"	"MIX"	"P"	"10/96.6"	"10_96.6"	96.6	10	675.2
"BIAS_2018_SWE"	"2018-10-08T22:30:31.000Z"	"I1"	"MIX"	"P"	"10/96.3"	"10_96.3"	96.3	10	755.5
"BIAS_2018_SWE"	"2018-10-08T22:39:57.000Z"	"I1"	"MIX"	"P"	"10/95.3"	"10_95.3"	95.3	10	585.2
"BIAS_2018_SWE"	"2018-10-08T22:49:57.000Z"	"I1"	"MIX"	"P"	"10/177.4"	"10_177.4"	177.4	10	460
"BIAS_2018_SWE"	"2018-10-08T22:58:34.000Z"	"I1"	"MIX"	"P"	"10/181.1"	"10_181.1"	181.1	10	390.7
"BIAS_2018_SWE"	"2018-10-08T23:08:01.000Z"	"I1"	"MIX"	"P"	"10/189.2"	"10_189.2"	189.2	10	339.3
"BIAS_2018_SWE"	"2018-10-08T23:17:06.000Z"	"I1"	"MIX"	"P"	"10/99.6"	"10_99.6"	99.6	10	288.8
"BIAS_2018_SWE"	"2018-10-08T23:25:48.000Z"	"I1"	"MIX"	"P"	"10/99.6"	"10_99.6"	99.6	10	739.2
"BIAS_2018_SWE"	"2018-10-08T23:33:52.000Z"	"I1"	"MIX"	"P"	"10/99.5"	"10_99.5"	99.5	10	585.1
"BIAS_2018_SWE"	"2018-10-08T23:42:12.000Z"	"I1"	"MIX"	"P"	"10/99.5"	"10_99.5"	99.5	10	354.5
"BIAS_2018_SWE"	"2018-10-08T23:49:31.000Z"	"I1"	"MIX"	"P"	"10/87.2"	"10_87.2"	87.2	10	341
"BIAS_2018_SWE"	"2018-10-08T23:55:38.000Z"	"I1"	"MIX"	"P"	"10/159.7"	"10_159.7"	159.7	10	595.5
"BIAS_2018_SWE"	"2018-10-09T00:01:50.000Z"	"I1"	"MIX"	"P"	"10/162.7"	"10_162.7"	162.7	10	1038.5
"BIAS_2018_SWE"	"2018-10-09T00:07:56.000Z"	"I1"	"MIX"	"P"	"10/161.7"	"10_161.7"	161.7	10	1255.2
"BIAS_2018_SWE"	"2018-10-09T00:14:02.000Z"	"I1"	"MIX"	"P"	"10/164.1"	"10_164.1"	164.1	10	1036.2
"BIAS_2018_SWE"	"2018-10-09T00:20:14.000Z"	"I1"	"MIX"	"P"	"10/159.9"	"10_159.9"	159.9	10	826.9
"BIAS_2018_SWE"	"2018-10-09T00:29:08.000Z"	"I1"	"MIX"	"P"	"10/153.7"	"10_153.7"	153.7	10	773.3
"BIAS_2018_SWE"	"2018-10-09T00:41:09.000Z"	"I1"	"MIX"	"P"	"10/152.8"	"10_152.8"	152.8	10	521.4
"BIAS_2018_SWE"	"2018-10-09T00:53:27.000Z"	"I1"	"MIX"	"P"	"10/148.7"	"10_148.7"	148.7	10	1450.7
"BIAS_2018_SWE"	"2018-10-09T01:05:47.000Z"	"I1"	"MIX"	"P"	"10/135.5"	"10_135.5"	135.5	10	1933.2
"BIAS_2018_SWE"	"2018-10-09T01:16:20.000Z"	"I1"	"MIX"	"P"	"10/120.1"	"10_120.1"	120.1	10	1024.6
"BIAS_2018_SWE"	"2018-10-09T01:26:55.000Z"	"I1"	"MIX"	"P"	"10/110.8"	"10_110.8"	110.8	10	683.5
"BIAS_2018_SWE"	"2018-10-09T01:38:19.000Z"	"I1"	"MIX"	"P"	"10/103.1"	"10_103.1"	103.1	10	882.8
"BIAS_2018_SWE"	"2018-10-09T01:51:31.000Z"	"I1"	"MIX"	"P"	"10/115.6"	"10_115.6"	115.6	10	940.2
"BIAS_2018_SWE"	"2018-10-09T02:02:37.000Z"	"I1"	"MIX"	"P"	"10/129.1"	"10_129.1"	129.1	10	931.5
"BIAS_2018_SWE"	"2018-10-09T02:12:32.000Z"	"I1"	"MIX"	"P"	"10/60"	"10_60"	60	10	755.4
"BIAS_2018_SWE"	"2018-10-09T02:25:25.000Z"	"I1"	"MIX"	"P"	"10/72.1"	"10_72.1"	72.1	10	924.9
"BIAS_2018_SWE"	"2018-10-09T02:38:29.000Z"	"I1"	"MIX"	"P"	"10/129.3"	"10_129.3"	129.3	10	904.7
"BIAS_2018_SWE"	"2018-10-09T02:50:04.000Z"	"I1"	"MIX"	"P"	"10/102.4"	"10_102.4"	102.4	10	1251.8
"BIAS_2018_SWE"	"2018-10-09T03:01:12.000Z"	"I1"	"MIX"	"P"	"10/94.6"	"10_94.6"	94.6	10	1292.2
"BIAS_2018_SWE"	"2018-10-09T03:12:03.000Z"	"I1"	"MIX"	"P"	"10/113.6"	"10_113.6"	113.6	10	1129.8
"BIAS_2018_SWE"	"2018-10-09T03:22:39.000Z"	"I1"	"MIX"	"P"	"10/99.7"	"10_99.7"	99.7	10	1301.4
"BIAS_2018_SWE"	"2018-10-09T03:32:51.000Z"	"I1"	"MIX"	"P"	"10/89.1"	"10_89.1"	89.1	10	1021.3
"BIAS_2018_SWE"	"2018-10-09T03:43:22.000Z"	"I1"	"MIX"	"P"	"10/98.8"	"10_98.8"	98.8	10	1516.3
"BIAS_2018_SWE"	"2018-10-09T03:54:14.000Z"	"I1"	"MIX"	"P"	"10/105.3"	"10_105.3"	105.3	10	852.2
"BIAS_2018_SWE"	"2018-10-09T07:01:32.000Z"	"I1"	"MIX"	"P"	"10/95.5"	"10_95.5"	95.5	10	1696.7
"BIAS_2018_SWE"	"2018-10-09T07:08:00.000Z"	"I1"	"MIX"	"P"	"10/101.2"	"10_101.2"	101.2	10	705.4
"BIAS_2018_SWE"	"2018-10-09T07:13:56.000Z"	"I1"	"MIX"	"P"	"10/172.8"	"10_172.8"	172.8	10	284
"BIAS_2018_SWE"	"2018-10-09T07:20:31.000Z"	"I1"	"MIX"	"P"	"10/94.2"	"10_94.2"	94.2	10	252.4
"BIAS_2018_SWE"	"2018-10-09T07:27:57.000Z"	"I1"	"MIX"	"P"	"10/178.2"	"10_178.2"	178.2	10	930.6
"BIAS_2018_SWE"	"2018-10-09T10:16:05.000Z"	"I1"	"MIX"	"P"	"10/102.7"	"10_102.7"	102.7	10	425.9
"BIAS_2018_SWE"	"2018-10-09T10:22:14.000Z"	"I1"	"MIX"	"P"	"10/101"	"10_101"	101	10	171.5
"BIAS_2018_SWE"	"2018-10-09T10:29:03.000Z"	"I1"	"MIX"	"P"	"10/167.8"	"10_167.8"	167.8	10	291.8
"BIAS_2018_SWE"	"2018-10-09T10:35:45.000Z"	"I1"	"MIX"	"P"	"10/128.9"	"10_128.9"	128.9	10	998.2
"BIAS_2018_SWE"	"2018-10-09T10:42:24.000Z"	"I1"	"MIX"	"P"	"10/142.4"	"10_142.4"	142.4	10	1243.5
"BIAS_2018_SWE"	"2018-10-09T10:49:26.000Z"	"I1"	"MIX"	"P"	"10/173.2"	"10_173.2"	173.2	10	64.9
"BIAS_2018_SWE"	"2018-10-09T10:56:52.000Z"	"I1"	"MIX"	"P"	"10/187.7"	"10_187.7"	187.7	10	281.1
"BIAS_2018_SWE"	"2018-10-09T11:05:29.000Z"	"I1"	"MIX"	"P"	"10/102.1"	"10_102.1"	102.1	10	77.8
"BIAS_2018_SWE"	"2018-10-09T11:14:09.000Z"	"I1"	"MIX"	"P"	"10/91.6"	"10_91.6"	91.6	10	360.3
"BIAS_2018_SWE"	"2018-10-09T11:23:03.000Z"	"I1"	"MIX"	"P"	"10/89.5"	"10_89.5"	89.5	10	571.2
"BIAS_2018_SWE"	"2018-10-09T11:31:53.000Z"	"I1"	"MIX"	"P"	"10/86.5"	"10_86.5"	86.5	10	1941.5
