"IndividualAge"	"Biomass_sum_5%"	"Biomass_sum_50%"	"Biomass_sum_95%"	"Biomass_sum_mean"	"Biomass_sum_sd"	"Biomass_sum_cv"
NA	0	0	0	0	0	NA
0	681223378.68752	8615974577.57293	29125809021.1916	10106226046.1331	9301833182.82206	0.920406207061
1	3727626410.20636	8271249713.28702	13400824191.9173	8433034081.74347	2789257381.55722	0.330753718593
2	9555208294.0899	14686753383.7792	24964788973.5744	15478795261.334	5348356098.46668	0.345527930835
3	0	5364024615.83279	12653234482.3639	5407117200.03885	3914480979.1095	0.723949719285
4	9323883390.96242	38800511673.5547	60126313328.9166	34893946239.3403	17175185315.9018	0.49221103277
5	0	8326830145.05503	15761152458.988	7950756571.22019	4758218958.78352	0.598461154754
6	0	97497448.8348916	119027283.402757	71517984.2170256	50187734.0000287	0.70174984026
7	0	367583161.052589	1133036084.47912	437664349.872098	382271346.697846	0.873434966338
8	0	110560549.787925	134975038.321849	81100251.8450388	56912088.7773173	0.70174984026
