"Survey"	"Stratum"	"PSU"	"Layer"	"Beam"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"Frequency"	"Density"	"MinLayerDepth"	"MaxLayerDepth"	"DensityWeight"
"Survey"	"Engelsk_Klondyke_2020"	"T1"	NA	"38000/2"	NA	NA	NA	38000	NA	NA	NA	5.3
"Survey"	"Engelsk_Klondyke_2020"	"T2"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	9	1	38000	22063.1570578649	10	90	7.1
"Survey"	"Engelsk_Klondyke_2020"	"T2"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	10	1	38000	44126.3141157392	10	90	7.1
"Survey"	"Engelsk_Klondyke_2020"	"T2"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	11	1	38000	165473.677934028	10	90	7.1
"Survey"	"Engelsk_Klondyke_2020"	"T2"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	12	1	38000	661894.711736123	10	90	7.1
"Survey"	"Engelsk_Klondyke_2020"	"T2"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	13	1	38000	1158315.74553823	10	90	7.1
"Survey"	"Engelsk_Klondyke_2020"	"T2"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	14	1	38000	1047999.96024886	10	90	7.1
"Survey"	"Engelsk_Klondyke_2020"	"T2"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	15	1	38000	595705.240562521	10	90	7.1
"Survey"	"Engelsk_Klondyke_2020"	"T2"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	16	1	38000	529515.7693889	10	90	7.1
"Survey"	"Engelsk_Klondyke_2020"	"T2"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	17	1	38000	639831.554678249	10	90	7.1
"Survey"	"Engelsk_Klondyke_2020"	"T2"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	18	1	38000	628799.97614932	10	90	7.1
"Survey"	"Engelsk_Klondyke_2020"	"T2"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	19	1	38000	319915.777339137	10	90	7.1
"Survey"	"Engelsk_Klondyke_2020"	"T2"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	20	1	38000	209599.992049773	10	90	7.1
"Survey"	"Engelsk_Klondyke_2020"	"T2"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	21	1	38000	132378.942347216	10	90	7.1
"Survey"	"Engelsk_Klondyke_2020"	"T2"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	22	1	38000	44126.3141157426	10	90	7.1
"Survey"	"Engelsk_Klondyke_2020"	"T2"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	24	1	38000	11031.5785289354	10	90	7.1
"Survey"	"Engelsk_Klondyke_2020"	"T2"	NA	"38000/2"	NA	NA	NA	38000	NA	NA	NA	7.1
"Survey"	"Engelsk_Klondyke_2020"	"T3"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	9	1	38000	78327.649418776	10	90	13.5
"Survey"	"Engelsk_Klondyke_2020"	"T3"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	10	1	38000	156655.298837585	10	90	13.5
"Survey"	"Engelsk_Klondyke_2020"	"T3"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	11	1	38000	587457.370640968	10	90	13.5
"Survey"	"Engelsk_Klondyke_2020"	"T3"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	12	1	38000	2349829.4825639	10	90	13.5
"Survey"	"Engelsk_Klondyke_2020"	"T3"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	13	1	38000	4112201.59448687	10	90	13.5
"Survey"	"Engelsk_Klondyke_2020"	"T3"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	14	1	38000	3720563.34739283	10	90	13.5
"Survey"	"Engelsk_Klondyke_2020"	"T3"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	15	1	38000	2114846.53430755	10	90	13.5
"Survey"	"Engelsk_Klondyke_2020"	"T3"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	16	1	38000	1879863.58605113	10	90	13.5
"Survey"	"Engelsk_Klondyke_2020"	"T3"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	17	1	38000	2271501.8331451	10	90	13.5
"Survey"	"Engelsk_Klondyke_2020"	"T3"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	18	1	38000	2232338.00843572	10	90	13.5
"Survey"	"Engelsk_Klondyke_2020"	"T3"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	19	1	38000	1135750.91657259	10	90	13.5
"Survey"	"Engelsk_Klondyke_2020"	"T3"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	20	1	38000	744112.669478574	10	90	13.5
"Survey"	"Engelsk_Klondyke_2020"	"T3"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	21	1	38000	469965.896512748	10	90	13.5
"Survey"	"Engelsk_Klondyke_2020"	"T3"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	22	1	38000	156655.298837597	10	90	13.5
"Survey"	"Engelsk_Klondyke_2020"	"T3"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	24	1	38000	39163.8247093984	10	90	13.5
"Survey"	"Engelsk_Klondyke_2020"	"T3"	NA	"38000/2"	NA	NA	NA	38000	NA	NA	NA	13.5
"Survey"	"Engelsk_Klondyke_2020"	"T4"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	9	1	38000	390822.218059264	10	90	13.8
"Survey"	"Engelsk_Klondyke_2020"	"T4"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	10	1	38000	781644.436118694	10	90	13.8
"Survey"	"Engelsk_Klondyke_2020"	"T4"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	11	1	38000	2931166.63544522	10	90	13.8
"Survey"	"Engelsk_Klondyke_2020"	"T4"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	12	1	38000	11724666.541781	10	90	13.8
"Survey"	"Engelsk_Klondyke_2020"	"T4"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	13	1	38000	20518166.448117	10	90	13.8
"Survey"	"Engelsk_Klondyke_2020"	"T4"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	14	1	38000	18564055.3578199	10	90	13.8
"Survey"	"Engelsk_Klondyke_2020"	"T4"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	15	1	38000	10552199.8876031	10	90	13.8
"Survey"	"Engelsk_Klondyke_2020"	"T4"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	16	1	38000	9379733.23342486	10	90	13.8
"Survey"	"Engelsk_Klondyke_2020"	"T4"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	17	1	38000	11333844.3237216	10	90	13.8
"Survey"	"Engelsk_Klondyke_2020"	"T4"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	18	1	38000	11138433.214692	10	90	13.8
"Survey"	"Engelsk_Klondyke_2020"	"T4"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	19	1	38000	5666922.16186102	10	90	13.8
"Survey"	"Engelsk_Klondyke_2020"	"T4"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	20	1	38000	3712811.07156401	10	90	13.8
"Survey"	"Engelsk_Klondyke_2020"	"T4"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	21	1	38000	2344933.30835604	10	90	13.8
"Survey"	"Engelsk_Klondyke_2020"	"T4"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	22	1	38000	781644.436118754	10	90	13.8
"Survey"	"Engelsk_Klondyke_2020"	"T4"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	24	1	38000	195411.109029684	10	90	13.8
"Survey"	"Engelsk_Klondyke_2020"	"T4"	NA	"38000/2"	NA	NA	NA	38000	NA	NA	NA	13.8
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	9	1	38000	235581.574730229	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	10	1	38000	471163.149460558	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	11	1	38000	1766861.81047716	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	12	1	38000	7067447.24190874	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	13	1	38000	12368032.6733404	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	14	1	38000	11190124.7996888	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	15	1	38000	6360702.51771797	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	16	1	38000	5653957.79352701	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	17	1	38000	6831865.66717841	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	18	1	38000	6714074.87981334	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	19	1	38000	3415932.83358934	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	20	1	38000	2238024.95993778	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	21	1	38000	1413489.44838165	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	22	1	38000	471163.149460594	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	24	1	38000	117790.787365146	10	90	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T5"	NA	"38000/2"	NA	NA	NA	38000	NA	NA	NA	13.2
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	9	1	38000	44978.3570488634	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	10	1	38000	89956.714097746	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	11	1	38000	337337.677866561	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	12	1	38000	1349350.71146626	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	13	1	38000	2361363.74506598	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	14	1	38000	2136471.95982157	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	15	1	38000	1214415.64031966	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	16	1	38000	1079480.56917301	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	17	1	38000	1304372.35441738	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	18	1	38000	1281883.17589295	10	90	12.3
"Survey"	"Engelsk_Klondyke_2020"	"T6"	"WaterColumn"	"38000/2"	"havsil/171677/126751/NA"	19	1	38000	652186.177208715	10	90	12.3
