"Stratum"	"PSU"	"Cruise"	"StartDateTime"	"StopDateTime"
"Engelsk_Klondyke_2020"	"T1"	"2020821"	2020-04-24T18:43:00Z	2020-04-24T19:17:45Z
"Engelsk_Klondyke_2020"	"T2"	"2020821"	2020-04-24T17:54:57Z	2020-04-24T18:43:00Z
"Engelsk_Klondyke_2020"	"T3"	"2020821"	2020-04-24T16:01:16Z	2020-04-24T17:13:23Z
"Engelsk_Klondyke_2020"	"T3"	"2020821"	2020-04-24T17:42:21Z	2020-04-24T17:54:57Z
"Engelsk_Klondyke_2020"	"T4"	"2020821"	2020-04-24T13:24:09Z	2020-04-24T14:23:30Z
"Engelsk_Klondyke_2020"	"T4"	"2020821"	2020-04-24T15:28:39Z	2020-04-24T16:01:16Z
"Engelsk_Klondyke_2020"	"T5"	"2020821"	2020-04-24T09:40:26Z	2020-04-24T09:59:06Z
"Engelsk_Klondyke_2020"	"T5"	"2020821"	2020-04-24T11:05:32Z	2020-04-24T11:11:21Z
"Engelsk_Klondyke_2020"	"T5"	"2020821"	2020-04-24T11:47:57Z	2020-04-24T12:20:21Z
"Engelsk_Klondyke_2020"	"T5"	"2020821"	2020-04-24T12:56:58Z	2020-04-24T13:24:09Z
"Engelsk_Klondyke_2020"	"T6"	"2020821"	2020-04-24T08:24:04Z	2020-04-24T09:40:26Z
"Engelsk_Klondyke_2020"	"T7"	"2020821"	2020-04-24T07:16:40Z	2020-04-24T08:24:04Z
"Engelsk_Klondyke_2020"	"T8"	"2020821"	2020-04-24T05:31:16Z	2020-04-24T06:19:18Z
"Engelsk_Klondyke_2020"	"T8"	"2020821"	2020-04-24T06:48:14Z	2020-04-24T07:16:40Z
"Engelsk_Klondyke_2020"	"T9"	"2020821"	2020-04-24T04:24:24Z	2020-04-24T05:29:32Z
"Outer_Shoal_2020_1"	"T10"	"2020821"	2020-04-25T04:42:47Z	2020-04-25T05:45:11Z
"Outer_Shoal_2020_1"	"T11"	"2020821"	2020-04-25T05:45:11Z	2020-04-25T07:06:21Z
"Outer_Shoal_2020_1"	"T12"	"2020821"	2020-04-25T07:06:21Z	2020-04-25T08:01:16Z
"Outer_Shoal_2020_1"	"T12"	"2020821"	2020-04-25T08:43:27Z	2020-04-25T09:33:27Z
"Outer_Shoal_2020_1"	"T13"	"2020821"	2020-04-25T09:33:27Z	2020-04-25T10:52:40Z
"Outer_Shoal_2020_1"	"T14"	"2020821"	2020-04-25T10:52:40Z	2020-04-25T12:27:52Z
"Outer_Shoal_2020_1"	"T15"	"2020821"	2020-04-25T12:27:52Z	2020-04-25T14:19:11Z
"Outer_Shoal_2020_1"	"T16"	"2020821"	2020-04-25T14:19:11Z	2020-04-25T14:44:31Z
"Outer_Shoal_2020_1"	"T16"	"2020821"	2020-04-25T15:12:21Z	2020-04-25T16:15:29Z
"Outer_Shoal_2020_1"	"T16"	"2020821"	2020-04-25T17:20:53Z	2020-04-25T17:41:10Z
"Outer_Shoal_2020_1"	"T17"	"2020821"	2020-04-25T17:41:10Z	2020-04-25T18:28:06Z
"Outer_Shoal_2020_1"	"T17"	"2020821"	2020-04-26T04:37:01Z	2020-04-26T06:06:31Z
