"CruiseKey"	"LogKey"	"BeamKey"	"AcousticCategoryKey"	"ChannelReferenceKey"	"NASCKey"	"Channel"	"MaxChannelRange"	"MinChannelRange"	"NASC"
"2020821"	"2020-04-24T04:43:42.000Z"	"38000/2"	"27"	"P"	"4"	"4"	40	30	76.85758
"2020821"	"2020-04-24T04:43:42.000Z"	"38000/2"	"27"	"P"	"5"	"5"	50	40	14.544931
"2020821"	"2020-04-24T04:45:31.000Z"	"38000/2"	"27"	"P"	"2"	"2"	20	10	13.934406
"2020821"	"2020-04-24T04:45:31.000Z"	"38000/2"	"27"	"P"	"3"	"3"	30	20	1.1550201
"2020821"	"2020-04-24T04:46:06.000Z"	"38000/2"	"27"	"P"	"2"	"2"	20	10	19.432419
"2020821"	"2020-04-24T04:46:06.000Z"	"38000/2"	"27"	"P"	"3"	"3"	30	20	9.826373
"2020821"	"2020-04-24T04:46:43.000Z"	"38000/2"	"27"	"P"	"2"	"2"	20	10	22.805948
"2020821"	"2020-04-24T04:46:43.000Z"	"38000/2"	"27"	"P"	"3"	"3"	30	20	0.14278361
"2020821"	"2020-04-24T04:47:18.000Z"	"38000/2"	"27"	"P"	"2"	"2"	20	10	3.4647377
"2020821"	"2020-04-24T04:47:18.000Z"	"38000/2"	"27"	"P"	"3"	"3"	30	20	4.156056
"2020821"	"2020-04-24T04:47:18.000Z"	"38000/2"	"27"	"P"	"4"	"4"	40	30	132.10637
"2020821"	"2020-04-24T04:47:18.000Z"	"38000/2"	"27"	"P"	"5"	"5"	50	40	485.98605
"2020821"	"2020-04-24T04:47:54.000Z"	"38000/2"	"27"	"P"	"3"	"3"	30	20	5.303411
"2020821"	"2020-04-24T04:47:54.000Z"	"38000/2"	"27"	"P"	"4"	"4"	40	30	20.622026
"2020821"	"2020-04-24T04:47:54.000Z"	"38000/2"	"27"	"P"	"5"	"5"	50	40	85.73624
"2020821"	"2020-04-24T04:49:41.000Z"	"38000/2"	"27"	"P"	"2"	"2"	20	10	3.2572813
"2020821"	"2020-04-24T04:49:41.000Z"	"38000/2"	"27"	"P"	"3"	"3"	30	20	37.348694
"2020821"	"2020-04-24T04:49:41.000Z"	"38000/2"	"27"	"P"	"4"	"4"	40	30	25.766537
"2020821"	"2020-04-24T04:50:18.000Z"	"38000/2"	"27"	"P"	"2"	"2"	20	10	17.683067
"2020821"	"2020-04-24T04:50:18.000Z"	"38000/2"	"27"	"P"	"3"	"3"	30	20	25.084759
"2020821"	"2020-04-24T04:50:18.000Z"	"38000/2"	"27"	"P"	"4"	"4"	40	30	83.62108
"2020821"	"2020-04-24T04:54:30.000Z"	"38000/2"	"27"	"P"	"2"	"2"	20	10	0.26816496
"2020821"	"2020-04-24T04:54:30.000Z"	"38000/2"	"27"	"P"	"3"	"3"	30	20	51.467365
"2020821"	"2020-04-24T04:56:18.000Z"	"38000/2"	"27"	"P"	"2"	"2"	20	10	80.39814
"2020821"	"2020-04-24T04:56:18.000Z"	"38000/2"	"27"	"P"	"3"	"3"	30	20	12.710162
"2020821"	"2020-04-24T04:56:55.000Z"	"38000/2"	"27"	"P"	"2"	"2"	20	10	0.069560885
"2020821"	"2020-04-24T04:58:43.000Z"	"38000/2"	"27"	"P"	"3"	"3"	30	20	2.873386
"2020821"	"2020-04-24T05:02:20.000Z"	"38000/2"	"27"	"P"	"2"	"2"	20	10	3.981136
"2020821"	"2020-04-24T05:02:20.000Z"	"38000/2"	"27"	"P"	"3"	"3"	30	20	13.784272
"2020821"	"2020-04-24T05:02:20.000Z"	"38000/2"	"27"	"P"	"4"	"4"	40	30	18.830431
"2020821"	"2020-04-24T05:03:33.000Z"	"38000/2"	"27"	"P"	"3"	"3"	30	20	12.1897335
"2020821"	"2020-04-24T05:03:33.000Z"	"38000/2"	"27"	"P"	"4"	"4"	40	30	0.9709334
"2020821"	"2020-04-24T05:04:08.000Z"	"38000/2"	"27"	"P"	"4"	"4"	40	30	29.946472
"2020821"	"2020-04-24T05:05:55.000Z"	"38000/2"	"27"	"P"	"4"	"4"	40	30	8.27689
"2020821"	"2020-04-24T05:05:55.000Z"	"38000/2"	"27"	"P"	"5"	"5"	50	40	30.75919
