"CruiseKey"	"StationKey"	"HaulKey"	"Haul"	"Gear"	"TowDistance"	"EffectiveTowDistance"	"MinHaulDepth"	"MaxHaulDepth"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"
"2020821/5/2020/3317/21"	"36"	"37251"	"2020821/5/2020/3317/21-36-37251"	"3270"	0.597	0.597	75.21	79.96	5	NA	0
"2020821/5/2020/3317/21"	"37"	"37252"	"2020821/5/2020/3317/21-37-37252"	"4401"	0.302	0.302	68.95	71.59	0.4	NA	0
"2020821/5/2020/3317/21"	"38"	"37253"	"2020821/5/2020/3317/21-38-37253"	"4401"	0.156	0.156	66.68	69.57	0.4	NA	0
"2020821/5/2020/3317/21"	"39"	"37254"	"2020821/5/2020/3317/21-39-37254"	"3270"	0.25	0.25	70.2	71.29	4.2	NA	0
"2020821/5/2020/3317/21"	"40"	"37255"	"2020821/5/2020/3317/21-40-37255"	"4401"	0.338	0.338	67.75	71.55	0.4	NA	0
"2020821/5/2020/3317/21"	"41"	"37256"	"2020821/5/2020/3317/21-41-37256"	"4401"	0.364	0.364	66.42	68.33	0.4	NA	0
"2020821/5/2020/3317/21"	"42"	"37257"	"2020821/5/2020/3317/21-42-37257"	"3270"	0.178	0.178	68.18	70.05	4.5	NA	0
"2020821/5/2020/3317/21"	"43"	"37258"	"2020821/5/2020/3317/21-43-37258"	"4401"	0.363	0.363	58.74	59.86	0.4	NA	0
"2020821/5/2020/3317/21"	"44"	"37259"	"2020821/5/2020/3317/21-44-37259"	"3270"	0.25	0.25	61	61.55	4.4	NA	0
"2020821/5/2020/3317/21"	"45"	"37260"	"2020821/5/2020/3317/21-45-37260"	"4401"	0.34	0.34	55.05	56.58	0.4	NA	0
"2020821/5/2020/3317/21"	"46"	"37261"	"2020821/5/2020/3317/21-46-37261"	"4401"	0.334	0.334	58.77	59.45	0.4	NA	0
"2020821/5/2020/3317/21"	"47"	"37262"	"2020821/5/2020/3317/21-47-37262"	"4401"	0.351	0.351	55.52	58.4	0.4	NA	0
"2020821/5/2020/3317/21"	"48"	"37263"	"2020821/5/2020/3317/21-48-37263"	"4401"	0.359	0.359	55.84	57.17	0.4	NA	0
