"Station"	"Haul"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"WeightedCount"	"MinHaulDepth"	"MaxHaulDepth"	"LengthDistributionWeight"	"LengthDistributionType"	"Cruise"	"EffectiveTowDistance"	"DateTime"	"Longitude"	"Latitude"	"Gear"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"
"2020821/5/2020/3317/21-36"	"2020821/5/2020/3317/21-36-37251"	"havsil/171677/126751/NA"	13	1	5	75.21	79.96	1	"Percent"	"2020821/5/2020/3317/21"	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	"3270"	5	NA	0
"2020821/5/2020/3317/21-36"	"2020821/5/2020/3317/21-36-37251"	"havsil/171677/126751/NA"	14	1	8	75.21	79.96	1	"Percent"	"2020821/5/2020/3317/21"	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	"3270"	5	NA	0
"2020821/5/2020/3317/21-36"	"2020821/5/2020/3317/21-36-37251"	"havsil/171677/126751/NA"	15	1	11	75.21	79.96	1	"Percent"	"2020821/5/2020/3317/21"	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	"3270"	5	NA	0
"2020821/5/2020/3317/21-36"	"2020821/5/2020/3317/21-36-37251"	"havsil/171677/126751/NA"	16	1	12	75.21	79.96	1	"Percent"	"2020821/5/2020/3317/21"	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	"3270"	5	NA	0
"2020821/5/2020/3317/21-36"	"2020821/5/2020/3317/21-36-37251"	"havsil/171677/126751/NA"	17	1	21	75.21	79.96	1	"Percent"	"2020821/5/2020/3317/21"	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	"3270"	5	NA	0
"2020821/5/2020/3317/21-36"	"2020821/5/2020/3317/21-36-37251"	"havsil/171677/126751/NA"	18	1	21	75.21	79.96	1	"Percent"	"2020821/5/2020/3317/21"	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	"3270"	5	NA	0
"2020821/5/2020/3317/21-36"	"2020821/5/2020/3317/21-36-37251"	"havsil/171677/126751/NA"	19	1	10	75.21	79.96	1	"Percent"	"2020821/5/2020/3317/21"	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	"3270"	5	NA	0
"2020821/5/2020/3317/21-36"	"2020821/5/2020/3317/21-36-37251"	"havsil/171677/126751/NA"	20	1	9	75.21	79.96	1	"Percent"	"2020821/5/2020/3317/21"	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	"3270"	5	NA	0
"2020821/5/2020/3317/21-36"	"2020821/5/2020/3317/21-36-37251"	"havsil/171677/126751/NA"	21	1	2	75.21	79.96	1	"Percent"	"2020821/5/2020/3317/21"	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	"3270"	5	NA	0
"2020821/5/2020/3317/21-36"	"2020821/5/2020/3317/21-36-37251"	"havsil/171677/126751/NA"	22	1	1	75.21	79.96	1	"Percent"	"2020821/5/2020/3317/21"	0.597	2020-04-24T10:29:36Z	4.2445	57.775666666667	"3270"	5	NA	0
"2020821/5/2020/3317/21-37"	"2020821/5/2020/3317/21-37-37252"	"havsil/171677/126751/NA"	9	1	1.408450704225	68.95	71.59	1	"Percent"	"2020821/5/2020/3317/21"	0.302	2020-04-24T11:27:20Z	4.207333333333	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-37"	"2020821/5/2020/3317/21-37-37252"	"havsil/171677/126751/NA"	10	1	1.408450704225	68.95	71.59	1	"Percent"	"2020821/5/2020/3317/21"	0.302	2020-04-24T11:27:20Z	4.207333333333	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-37"	"2020821/5/2020/3317/21-37-37252"	"havsil/171677/126751/NA"	11	1	2.81690140845	68.95	71.59	1	"Percent"	"2020821/5/2020/3317/21"	0.302	2020-04-24T11:27:20Z	4.207333333333	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-37"	"2020821/5/2020/3317/21-37-37252"	"havsil/171677/126751/NA"	12	1	7.042253521127	68.95	71.59	1	"Percent"	"2020821/5/2020/3317/21"	0.302	2020-04-24T11:27:20Z	4.207333333333	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-37"	"2020821/5/2020/3317/21-37-37252"	"havsil/171677/126751/NA"	13	1	7.042253521127	68.95	71.59	1	"Percent"	"2020821/5/2020/3317/21"	0.302	2020-04-24T11:27:20Z	4.207333333333	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-37"	"2020821/5/2020/3317/21-37-37252"	"havsil/171677/126751/NA"	14	1	9.859154929577	68.95	71.59	1	"Percent"	"2020821/5/2020/3317/21"	0.302	2020-04-24T11:27:20Z	4.207333333333	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-37"	"2020821/5/2020/3317/21-37-37252"	"havsil/171677/126751/NA"	15	1	2.816901408451	68.95	71.59	1	"Percent"	"2020821/5/2020/3317/21"	0.302	2020-04-24T11:27:20Z	4.207333333333	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-37"	"2020821/5/2020/3317/21-37-37252"	"havsil/171677/126751/NA"	16	1	8.450704225352	68.95	71.59	1	"Percent"	"2020821/5/2020/3317/21"	0.302	2020-04-24T11:27:20Z	4.207333333333	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-37"	"2020821/5/2020/3317/21-37-37252"	"havsil/171677/126751/NA"	17	1	9.859154929577	68.95	71.59	1	"Percent"	"2020821/5/2020/3317/21"	0.302	2020-04-24T11:27:20Z	4.207333333333	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-37"	"2020821/5/2020/3317/21-37-37252"	"havsil/171677/126751/NA"	18	1	15.492957746479	68.95	71.59	1	"Percent"	"2020821/5/2020/3317/21"	0.302	2020-04-24T11:27:20Z	4.207333333333	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-37"	"2020821/5/2020/3317/21-37-37252"	"havsil/171677/126751/NA"	19	1	18.30985915493	68.95	71.59	1	"Percent"	"2020821/5/2020/3317/21"	0.302	2020-04-24T11:27:20Z	4.207333333333	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-37"	"2020821/5/2020/3317/21-37-37252"	"havsil/171677/126751/NA"	20	1	4.225352112676	68.95	71.59	1	"Percent"	"2020821/5/2020/3317/21"	0.302	2020-04-24T11:27:20Z	4.207333333333	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-37"	"2020821/5/2020/3317/21-37-37252"	"havsil/171677/126751/NA"	21	1	9.859154929577	68.95	71.59	1	"Percent"	"2020821/5/2020/3317/21"	0.302	2020-04-24T11:27:20Z	4.207333333333	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-37"	"2020821/5/2020/3317/21-37-37252"	"havsil/171677/126751/NA"	22	1	1.408450704225	68.95	71.59	1	"Percent"	"2020821/5/2020/3317/21"	0.302	2020-04-24T11:27:20Z	4.207333333333	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-38"	"2020821/5/2020/3317/21-38-37253"	"havsil/171677/126751/NA"	10	1	3.125	66.68	69.57	1	"Percent"	"2020821/5/2020/3317/21"	0.156	2020-04-24T12:35:21Z	4.186	57.657833333333	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-38"	"2020821/5/2020/3317/21-38-37253"	"havsil/171677/126751/NA"	11	1	6.25	66.68	69.57	1	"Percent"	"2020821/5/2020/3317/21"	0.156	2020-04-24T12:35:21Z	4.186	57.657833333333	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-38"	"2020821/5/2020/3317/21-38-37253"	"havsil/171677/126751/NA"	12	1	23.958333333333	66.68	69.57	1	"Percent"	"2020821/5/2020/3317/21"	0.156	2020-04-24T12:35:21Z	4.186	57.657833333333	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-38"	"2020821/5/2020/3317/21-38-37253"	"havsil/171677/126751/NA"	13	1	27.083333333333	66.68	69.57	1	"Percent"	"2020821/5/2020/3317/21"	0.156	2020-04-24T12:35:21Z	4.186	57.657833333333	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-38"	"2020821/5/2020/3317/21-38-37253"	"havsil/171677/126751/NA"	14	1	21.875	66.68	69.57	1	"Percent"	"2020821/5/2020/3317/21"	0.156	2020-04-24T12:35:21Z	4.186	57.657833333333	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-38"	"2020821/5/2020/3317/21-38-37253"	"havsil/171677/126751/NA"	15	1	4.166666666667	66.68	69.57	1	"Percent"	"2020821/5/2020/3317/21"	0.156	2020-04-24T12:35:21Z	4.186	57.657833333333	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-38"	"2020821/5/2020/3317/21-38-37253"	"havsil/171677/126751/NA"	16	1	2.083333333333	66.68	69.57	1	"Percent"	"2020821/5/2020/3317/21"	0.156	2020-04-24T12:35:21Z	4.186	57.657833333333	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-38"	"2020821/5/2020/3317/21-38-37253"	"havsil/171677/126751/NA"	17	1	4.166666666666	66.68	69.57	1	"Percent"	"2020821/5/2020/3317/21"	0.156	2020-04-24T12:35:21Z	4.186	57.657833333333	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-38"	"2020821/5/2020/3317/21-38-37253"	"havsil/171677/126751/NA"	18	1	4.166666666666	66.68	69.57	1	"Percent"	"2020821/5/2020/3317/21"	0.156	2020-04-24T12:35:21Z	4.186	57.657833333333	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-38"	"2020821/5/2020/3317/21-38-37253"	"havsil/171677/126751/NA"	19	1	1.041666666667	66.68	69.57	1	"Percent"	"2020821/5/2020/3317/21"	0.156	2020-04-24T12:35:21Z	4.186	57.657833333333	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-38"	"2020821/5/2020/3317/21-38-37253"	"havsil/171677/126751/NA"	20	1	1.041666666667	66.68	69.57	1	"Percent"	"2020821/5/2020/3317/21"	0.156	2020-04-24T12:35:21Z	4.186	57.657833333333	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-38"	"2020821/5/2020/3317/21-38-37253"	"havsil/171677/126751/NA"	22	1	1.041666666667	66.68	69.57	1	"Percent"	"2020821/5/2020/3317/21"	0.156	2020-04-24T12:35:21Z	4.186	57.657833333333	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-39"	"2020821/5/2020/3317/21-39-37254"	"havsil/171677/126751/NA"	11	1	1.010101010101	70.2	71.29	1	"Percent"	"2020821/5/2020/3317/21"	0.25	2020-04-24T14:46:24Z	4.140333333333	57.739	"3270"	4.2	NA	0
"2020821/5/2020/3317/21-39"	"2020821/5/2020/3317/21-39-37254"	"havsil/171677/126751/NA"	12	1	8.080808080808	70.2	71.29	1	"Percent"	"2020821/5/2020/3317/21"	0.25	2020-04-24T14:46:24Z	4.140333333333	57.739	"3270"	4.2	NA	0
"2020821/5/2020/3317/21-39"	"2020821/5/2020/3317/21-39-37254"	"havsil/171677/126751/NA"	13	1	22.222222222222	70.2	71.29	1	"Percent"	"2020821/5/2020/3317/21"	0.25	2020-04-24T14:46:24Z	4.140333333333	57.739	"3270"	4.2	NA	0
"2020821/5/2020/3317/21-39"	"2020821/5/2020/3317/21-39-37254"	"havsil/171677/126751/NA"	14	1	26.262626262626	70.2	71.29	1	"Percent"	"2020821/5/2020/3317/21"	0.25	2020-04-24T14:46:24Z	4.140333333333	57.739	"3270"	4.2	NA	0
"2020821/5/2020/3317/21-39"	"2020821/5/2020/3317/21-39-37254"	"havsil/171677/126751/NA"	15	1	16.161616161616	70.2	71.29	1	"Percent"	"2020821/5/2020/3317/21"	0.25	2020-04-24T14:46:24Z	4.140333333333	57.739	"3270"	4.2	NA	0
"2020821/5/2020/3317/21-39"	"2020821/5/2020/3317/21-39-37254"	"havsil/171677/126751/NA"	16	1	14.141414141414	70.2	71.29	1	"Percent"	"2020821/5/2020/3317/21"	0.25	2020-04-24T14:46:24Z	4.140333333333	57.739	"3270"	4.2	NA	0
"2020821/5/2020/3317/21-39"	"2020821/5/2020/3317/21-39-37254"	"havsil/171677/126751/NA"	17	1	7.070707070707	70.2	71.29	1	"Percent"	"2020821/5/2020/3317/21"	0.25	2020-04-24T14:46:24Z	4.140333333333	57.739	"3270"	4.2	NA	0
"2020821/5/2020/3317/21-39"	"2020821/5/2020/3317/21-39-37254"	"havsil/171677/126751/NA"	18	1	5.050505050505	70.2	71.29	1	"Percent"	"2020821/5/2020/3317/21"	0.25	2020-04-24T14:46:24Z	4.140333333333	57.739	"3270"	4.2	NA	0
"2020821/5/2020/3317/21-40"	"2020821/5/2020/3317/21-40-37255"	"havsil/171677/126751/NA"	13	1	16.161616161616	67.75	71.55	1	"Percent"	"2020821/5/2020/3317/21"	0.338	2020-04-24T22:03:20Z	4.2095	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-40"	"2020821/5/2020/3317/21-40-37255"	"havsil/171677/126751/NA"	14	1	18.181818181818	67.75	71.55	1	"Percent"	"2020821/5/2020/3317/21"	0.338	2020-04-24T22:03:20Z	4.2095	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-40"	"2020821/5/2020/3317/21-40-37255"	"havsil/171677/126751/NA"	15	1	15.151515151515	67.75	71.55	1	"Percent"	"2020821/5/2020/3317/21"	0.338	2020-04-24T22:03:20Z	4.2095	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-40"	"2020821/5/2020/3317/21-40-37255"	"havsil/171677/126751/NA"	16	1	12.121212121212	67.75	71.55	1	"Percent"	"2020821/5/2020/3317/21"	0.338	2020-04-24T22:03:20Z	4.2095	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-40"	"2020821/5/2020/3317/21-40-37255"	"havsil/171677/126751/NA"	17	1	17.171717171717	67.75	71.55	1	"Percent"	"2020821/5/2020/3317/21"	0.338	2020-04-24T22:03:20Z	4.2095	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-40"	"2020821/5/2020/3317/21-40-37255"	"havsil/171677/126751/NA"	18	1	11.111111111111	67.75	71.55	1	"Percent"	"2020821/5/2020/3317/21"	0.338	2020-04-24T22:03:20Z	4.2095	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-40"	"2020821/5/2020/3317/21-40-37255"	"havsil/171677/126751/NA"	19	1	2.020202020202	67.75	71.55	1	"Percent"	"2020821/5/2020/3317/21"	0.338	2020-04-24T22:03:20Z	4.2095	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-40"	"2020821/5/2020/3317/21-40-37255"	"havsil/171677/126751/NA"	20	1	5.050505050505	67.75	71.55	1	"Percent"	"2020821/5/2020/3317/21"	0.338	2020-04-24T22:03:20Z	4.2095	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-40"	"2020821/5/2020/3317/21-40-37255"	"havsil/171677/126751/NA"	21	1	1.010101010101	67.75	71.55	1	"Percent"	"2020821/5/2020/3317/21"	0.338	2020-04-24T22:03:20Z	4.2095	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-40"	"2020821/5/2020/3317/21-40-37255"	"havsil/171677/126751/NA"	22	1	1.010101010101	67.75	71.55	1	"Percent"	"2020821/5/2020/3317/21"	0.338	2020-04-24T22:03:20Z	4.2095	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-40"	"2020821/5/2020/3317/21-40-37255"	"havsil/171677/126751/NA"	24	1	1.010101010101	67.75	71.55	1	"Percent"	"2020821/5/2020/3317/21"	0.338	2020-04-24T22:03:20Z	4.2095	57.746166666667	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-41"	"2020821/5/2020/3317/21-41-37256"	"havsil/171677/126751/NA"	9	1	1.020408163265	66.42	68.33	1	"Percent"	"2020821/5/2020/3317/21"	0.364	2020-04-24T23:12:31Z	4.1965	57.659833333333	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-41"	"2020821/5/2020/3317/21-41-37256"	"havsil/171677/126751/NA"	11	1	6.122448979592	66.42	68.33	1	"Percent"	"2020821/5/2020/3317/21"	0.364	2020-04-24T23:12:31Z	4.1965	57.659833333333	"4401"	0.4	NA	0
"2020821/5/2020/3317/21-41"	"2020821/5/2020/3317/21-41-37256"	"havsil/171677/126751/NA"	12	1	24.489795918367	66.42	68.33	1	"Percent"	"2020821/5/2020/3317/21"	0.364	2020-04-24T23:12:31Z	4.1965	57.659833333333	"4401"	0.4	NA	0
