"CruiseKey"	"LogKey"	"BeamKey"	"Beam"	"Frequency"
"2020821"	"2020-04-24T03:51:26.000Z"	"120000/4"	"120000/4"	120000
"2020821"	"2020-04-24T03:51:26.000Z"	"18000/1"	"18000/1"	18000
"2020821"	"2020-04-24T03:51:26.000Z"	"200000/5"	"200000/5"	2e+05
"2020821"	"2020-04-24T03:51:26.000Z"	"333000/6"	"333000/6"	333000
"2020821"	"2020-04-24T03:51:26.000Z"	"38000/2"	"38000/2"	38000
"2020821"	"2020-04-24T03:51:26.000Z"	"70000/3"	"70000/3"	70000
"2020821"	"2020-04-24T03:52:00.000Z"	"120000/4"	"120000/4"	120000
"2020821"	"2020-04-24T03:52:00.000Z"	"18000/1"	"18000/1"	18000
"2020821"	"2020-04-24T03:52:00.000Z"	"200000/5"	"200000/5"	2e+05
"2020821"	"2020-04-24T03:52:00.000Z"	"333000/6"	"333000/6"	333000
"2020821"	"2020-04-24T03:52:00.000Z"	"38000/2"	"38000/2"	38000
"2020821"	"2020-04-24T03:52:00.000Z"	"70000/3"	"70000/3"	70000
"2020821"	"2020-04-24T03:52:33.000Z"	"120000/4"	"120000/4"	120000
"2020821"	"2020-04-24T03:52:33.000Z"	"18000/1"	"18000/1"	18000
"2020821"	"2020-04-24T03:52:33.000Z"	"200000/5"	"200000/5"	2e+05
"2020821"	"2020-04-24T03:52:33.000Z"	"333000/6"	"333000/6"	333000
"2020821"	"2020-04-24T03:52:33.000Z"	"38000/2"	"38000/2"	38000
"2020821"	"2020-04-24T03:52:33.000Z"	"70000/3"	"70000/3"	70000
"2020821"	"2020-04-24T03:53:06.000Z"	"120000/4"	"120000/4"	120000
"2020821"	"2020-04-24T03:53:06.000Z"	"18000/1"	"18000/1"	18000
"2020821"	"2020-04-24T03:53:06.000Z"	"200000/5"	"200000/5"	2e+05
"2020821"	"2020-04-24T03:53:06.000Z"	"333000/6"	"333000/6"	333000
"2020821"	"2020-04-24T03:53:06.000Z"	"38000/2"	"38000/2"	38000
"2020821"	"2020-04-24T03:53:06.000Z"	"70000/3"	"70000/3"	70000
"2020821"	"2020-04-24T03:53:40.000Z"	"120000/4"	"120000/4"	120000
"2020821"	"2020-04-24T03:53:40.000Z"	"18000/1"	"18000/1"	18000
"2020821"	"2020-04-24T03:53:40.000Z"	"200000/5"	"200000/5"	2e+05
"2020821"	"2020-04-24T03:53:40.000Z"	"333000/6"	"333000/6"	333000
"2020821"	"2020-04-24T03:53:40.000Z"	"38000/2"	"38000/2"	38000
"2020821"	"2020-04-24T03:53:40.000Z"	"70000/3"	"70000/3"	70000
"2020821"	"2020-04-24T03:54:13.000Z"	"120000/4"	"120000/4"	120000
"2020821"	"2020-04-24T03:54:13.000Z"	"18000/1"	"18000/1"	18000
"2020821"	"2020-04-24T03:54:13.000Z"	"200000/5"	"200000/5"	2e+05
"2020821"	"2020-04-24T03:54:13.000Z"	"333000/6"	"333000/6"	333000
"2020821"	"2020-04-24T03:54:13.000Z"	"38000/2"	"38000/2"	38000
"2020821"	"2020-04-24T03:54:13.000Z"	"70000/3"	"70000/3"	70000
"2020821"	"2020-04-24T03:54:47.000Z"	"120000/4"	"120000/4"	120000
"2020821"	"2020-04-24T03:54:47.000Z"	"18000/1"	"18000/1"	18000
"2020821"	"2020-04-24T03:54:47.000Z"	"200000/5"	"200000/5"	2e+05
"2020821"	"2020-04-24T03:54:47.000Z"	"333000/6"	"333000/6"	333000
"2020821"	"2020-04-24T03:54:47.000Z"	"38000/2"	"38000/2"	38000
"2020821"	"2020-04-24T03:54:47.000Z"	"70000/3"	"70000/3"	70000
"2020821"	"2020-04-24T03:55:20.000Z"	"120000/4"	"120000/4"	120000
"2020821"	"2020-04-24T03:55:20.000Z"	"18000/1"	"18000/1"	18000
"2020821"	"2020-04-24T03:55:20.000Z"	"200000/5"	"200000/5"	2e+05
"2020821"	"2020-04-24T03:55:20.000Z"	"333000/6"	"333000/6"	333000
"2020821"	"2020-04-24T03:55:20.000Z"	"38000/2"	"38000/2"	38000
"2020821"	"2020-04-24T03:55:20.000Z"	"70000/3"	"70000/3"	70000
"2020821"	"2020-04-24T03:55:53.000Z"	"120000/4"	"120000/4"	120000
"2020821"	"2020-04-24T03:55:53.000Z"	"18000/1"	"18000/1"	18000
"2020821"	"2020-04-24T03:55:53.000Z"	"200000/5"	"200000/5"	2e+05
"2020821"	"2020-04-24T03:55:53.000Z"	"333000/6"	"333000/6"	333000
"2020821"	"2020-04-24T03:55:53.000Z"	"38000/2"	"38000/2"	38000
"2020821"	"2020-04-24T03:55:53.000Z"	"70000/3"	"70000/3"	70000
"2020821"	"2020-04-24T03:56:27.000Z"	"120000/4"	"120000/4"	120000
"2020821"	"2020-04-24T03:56:27.000Z"	"18000/1"	"18000/1"	18000
"2020821"	"2020-04-24T03:56:27.000Z"	"200000/5"	"200000/5"	2e+05
"2020821"	"2020-04-24T03:56:27.000Z"	"333000/6"	"333000/6"	333000
"2020821"	"2020-04-24T03:56:27.000Z"	"38000/2"	"38000/2"	38000
"2020821"	"2020-04-24T03:56:27.000Z"	"70000/3"	"70000/3"	70000
"2020821"	"2020-04-24T03:56:59.000Z"	"120000/4"	"120000/4"	120000
"2020821"	"2020-04-24T03:56:59.000Z"	"18000/1"	"18000/1"	18000
"2020821"	"2020-04-24T03:56:59.000Z"	"200000/5"	"200000/5"	2e+05
"2020821"	"2020-04-24T03:56:59.000Z"	"333000/6"	"333000/6"	333000
"2020821"	"2020-04-24T03:56:59.000Z"	"38000/2"	"38000/2"	38000
"2020821"	"2020-04-24T03:56:59.000Z"	"70000/3"	"70000/3"	70000
"2020821"	"2020-04-24T03:57:32.000Z"	"120000/4"	"120000/4"	120000
"2020821"	"2020-04-24T03:57:32.000Z"	"18000/1"	"18000/1"	18000
"2020821"	"2020-04-24T03:57:32.000Z"	"200000/5"	"200000/5"	2e+05
"2020821"	"2020-04-24T03:57:32.000Z"	"333000/6"	"333000/6"	333000
