"Survey"	"Stratum"	"Layer"	"SpeciesCategory"	"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"IndividualKey"	"IndividualTotalLength"	"LengthResolution"	"IndividualRoundWeight"	"Beam"	"Frequency"	"Abundance"	"Biomass"	"MinLayerDepth"	"MaxLayerDepth"	"Cruise"	"Platform"	"Station"	"CatchPlatform"	"DateTime"	"Latitude"	"Longitude"	"BottomDepth"	"Haul"	"Gear"	"TowDistance"	"EffectiveTowDistance"	"MinHaulDepth"	"MaxHaulDepth"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"	"Sample"	"CatchFractionWeight"	"CatchFractionCount"	"SampleWeight"	"SampleCount"	"catchpartnumber"	"Individual"	"WeightMeasurement"	"IndividualAge"	"IndividualSex"	"readability"
"Survey"	"Engelsk_Klondyke_2020"	"WaterColumn"	"havsil/171677/126751/NA"	"2020821/5/2020/3317/21"	"36"	"37251"	"havsil/171677/126751/NA"	"1"	"10"	17	1	13	"38000/2"	38000	17365962.6359614	225757514.267498	10	90	"2020821/5/2020/3317/21"	"3317"	"2020821/5/2020/3317/21-36"	"3317"	2020-04-24T10:29:36Z	57.775666666667	4.2445	79.155	"2020821/5/2020/3317/21-36-37251"	"3270"	0.597	0.597	75.21	79.96	5	NA	0	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1"	295.94	20067	1.519	103	1	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-10"	"IndividualWeight"	4	NA	"1"
"Survey"	"Engelsk_Klondyke_2020"	"WaterColumn"	"havsil/171677/126751/NA"	"2020821/5/2020/3317/21"	"36"	"37251"	"havsil/171677/126751/NA"	"1"	"100"	20	1	19	"38000/2"	38000	17365962.6359616	329953290.08327	10	90	"2020821/5/2020/3317/21"	"3317"	"2020821/5/2020/3317/21-36"	"3317"	2020-04-24T10:29:36Z	57.775666666667	4.2445	79.155	"2020821/5/2020/3317/21-36-37251"	"3270"	0.597	0.597	75.21	79.96	5	NA	0	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1"	295.94	20067	1.519	103	1	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-100"	"IndividualWeight"	NA	NA	NA
"Survey"	"Engelsk_Klondyke_2020"	"WaterColumn"	"havsil/171677/126751/NA"	"2020821/5/2020/3317/21"	"36"	"37251"	"havsil/171677/126751/NA"	"1"	"101"	20	1	21	"38000/2"	38000	17365962.6359616	364685215.355193	10	90	"2020821/5/2020/3317/21"	"3317"	"2020821/5/2020/3317/21-36"	"3317"	2020-04-24T10:29:36Z	57.775666666667	4.2445	79.155	"2020821/5/2020/3317/21-36-37251"	"3270"	0.597	0.597	75.21	79.96	5	NA	0	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1"	295.94	20067	1.519	103	1	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-101"	"IndividualWeight"	NA	NA	NA
"Survey"	"Engelsk_Klondyke_2020"	"WaterColumn"	"havsil/171677/126751/NA"	"2020821/5/2020/3317/21"	"36"	"37251"	"havsil/171677/126751/NA"	"1"	"102"	18	1	15	"38000/2"	38000	17365962.6359616	260489439.539423	10	90	"2020821/5/2020/3317/21"	"3317"	"2020821/5/2020/3317/21-36"	"3317"	2020-04-24T10:29:36Z	57.775666666667	4.2445	79.155	"2020821/5/2020/3317/21-36-37251"	"3270"	0.597	0.597	75.21	79.96	5	NA	0	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1"	295.94	20067	1.519	103	1	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-102"	"IndividualWeight"	NA	NA	NA
"Survey"	"Engelsk_Klondyke_2020"	"WaterColumn"	"havsil/171677/126751/NA"	"2020821/5/2020/3317/21"	"36"	"37251"	"havsil/171677/126751/NA"	"1"	"103"	18	1	18	"38000/2"	38000	17365962.6359616	312587327.447308	10	90	"2020821/5/2020/3317/21"	"3317"	"2020821/5/2020/3317/21-36"	"3317"	2020-04-24T10:29:36Z	57.775666666667	4.2445	79.155	"2020821/5/2020/3317/21-36-37251"	"3270"	0.597	0.597	75.21	79.96	5	NA	0	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1"	295.94	20067	1.519	103	1	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-103"	"IndividualWeight"	NA	NA	NA
"Survey"	"Engelsk_Klondyke_2020"	"WaterColumn"	"havsil/171677/126751/NA"	"2020821/5/2020/3317/21"	"36"	"37251"	"havsil/171677/126751/NA"	"1"	"12"	19	1	19	"38000/2"	38000	17365962.635962	329953290.083279	10	90	"2020821/5/2020/3317/21"	"3317"	"2020821/5/2020/3317/21-36"	"3317"	2020-04-24T10:29:36Z	57.775666666667	4.2445	79.155	"2020821/5/2020/3317/21-36-37251"	"3270"	0.597	0.597	75.21	79.96	5	NA	0	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1"	295.94	20067	1.519	103	1	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-12"	"IndividualWeight"	4	NA	"1"
"Survey"	"Engelsk_Klondyke_2020"	"WaterColumn"	"havsil/171677/126751/NA"	"2020821/5/2020/3317/21"	"36"	"37251"	"havsil/171677/126751/NA"	"1"	"13"	17	1	17	"38000/2"	38000	17365962.6359614	295221364.811344	10	90	"2020821/5/2020/3317/21"	"3317"	"2020821/5/2020/3317/21-36"	"3317"	2020-04-24T10:29:36Z	57.775666666667	4.2445	79.155	"2020821/5/2020/3317/21-36-37251"	"3270"	0.597	0.597	75.21	79.96	5	NA	0	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1"	295.94	20067	1.519	103	1	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-13"	"IndividualWeight"	4	NA	"1"
"Survey"	"Engelsk_Klondyke_2020"	"WaterColumn"	"havsil/171677/126751/NA"	"2020821/5/2020/3317/21"	"36"	"37251"	"havsil/171677/126751/NA"	"1"	"14"	16	1	14	"38000/2"	38000	17365962.6359615	243123476.903461	10	90	"2020821/5/2020/3317/21"	"3317"	"2020821/5/2020/3317/21-36"	"3317"	2020-04-24T10:29:36Z	57.775666666667	4.2445	79.155	"2020821/5/2020/3317/21-36-37251"	"3270"	0.597	0.597	75.21	79.96	5	NA	0	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1"	295.94	20067	1.519	103	1	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-14"	"IndividualWeight"	4	NA	"1"
"Survey"	"Engelsk_Klondyke_2020"	"WaterColumn"	"havsil/171677/126751/NA"	"2020821/5/2020/3317/21"	"36"	"37251"	"havsil/171677/126751/NA"	"1"	"15"	18	1	16	"38000/2"	38000	17365962.6359616	277855402.175385	10	90	"2020821/5/2020/3317/21"	"3317"	"2020821/5/2020/3317/21-36"	"3317"	2020-04-24T10:29:36Z	57.775666666667	4.2445	79.155	"2020821/5/2020/3317/21-36-37251"	"3270"	0.597	0.597	75.21	79.96	5	NA	0	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1"	295.94	20067	1.519	103	1	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-15"	"IndividualWeight"	4	NA	"1"
"Survey"	"Engelsk_Klondyke_2020"	"WaterColumn"	"havsil/171677/126751/NA"	"2020821/5/2020/3317/21"	"36"	"37251"	"havsil/171677/126751/NA"	"1"	"16"	19	1	20	"38000/2"	38000	17365962.635962	347319252.719241	10	90	"2020821/5/2020/3317/21"	"3317"	"2020821/5/2020/3317/21-36"	"3317"	2020-04-24T10:29:36Z	57.775666666667	4.2445	79.155	"2020821/5/2020/3317/21-36-37251"	"3270"	0.597	0.597	75.21	79.96	5	NA	0	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1"	295.94	20067	1.519	103	1	"2020821/5/2020/3317/21-36-37251-havsil/171677/126751/NA-1-16"	"IndividualWeight"	6	NA	"1"
