Cruise,Header,CruiseSurvey,CruiseCountry,CruiseOrganisation,CruisePlatform,CruiseStartDate,CruiseEndDate,CruiseLocalID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise,Record,IESNS,NO,612,58KC,2021-04-30,2021-05-31,2021456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Header,HaulGear,HaulNumber,HaulStationName,HaulStartTime,HaulDuration,HaulValidity,HaulStartLatitude,HaulStartLongitude,HaulStopLatitude,HaulStopLongitude,HaulStatisticalRectangle,HaulMinTrawlDepth,HaulMaxTrawlDepth,HaulBottomDepth,HaulDistance,HaulNetopening,HaulCodendMesh,HaulSweepLength,HaulGearExceptions,HaulDoorType,HaulWarpLength,HaulWarpDiameter,HaulWarpDensity,HaulDoorSurface,HaulDoorWeight,HaulDoorSpread,HaulWingSpread,HaulBuoyancy,HaulKiteArea,HaulGroundRopeWeight,HaulRigging,HaulTickler,HaulTowDirection,HaulSpeedGround,HaulSpeedWater,HaulWindDirection,HaulWindSpeed,HaulSwellDirection,HaulSwellHeight,HaulLogDistance,HaulStratum,CruiseLocalID,HaulHydrographicStationID
Haul,Record,PEL,22401,137,2021-04-30 09:00,47,V,62.1031666666667,3.257,62.0998333333333,3.17033333333333,53F3,250,300,377,4565.18000000027,25,,,,,700,,,,,96.94,,,,,,,269,,,,,,,5461.979,,2021456,
Haul,Record,CAM,22402,138,2021-04-30 13:29,36,V,62.101,2.38083333333333,62.0961666666667,2.33516666666667,53F2,0,370,398.24,2459.4560000008,25,,,,,800,,,,,37.56,,,,,,,270,,,,,,,5487.133,,2021456,
Haul,Record,PEL,22403,139,2021-04-30 23:38,30,V,62.6866666666667,1.02833333333333,62.7061666666667,0.986166666666667,54F1,0,0,926.41,3157.65999999987,25,,,,,250,,,,,78.69,,,,,,,336,,,,,,,5556.677,,2021456,
Haul,Record,PEL,22404,140,2021-05-01 09:22,38,V,62.6928333333333,3.7305,62.6941666666667,3.81166666666667,54F3,375,419,454.89,4178.11200000058,25,,,,,800,,,,,99.5,,,,,,,100,,,,,,,5637.125,,2021456,
Haul,Record,PEL,22405,141,2021-05-01 18:26,28,V,63.2668333333333,5.4245,63.2668333333333,5.36783333333333,55F5,120,150,372.58,2852.07999999993,25,,,,,800,,,,,87.44,,,,,,,263,,,,,,,5717.795,,2021456,
Haul,Record,PEL,22406,142,2021-05-01 23:11,30,V,63.2755,4.29466666666667,63.279,4.22966666666667,55F4,0,0,1800,3352.12000000074,25,,,,,280,,,,,77.13,,,,,,,267,,,,,,,5748.469,,2021456,
Haul,Record,PEL,22407,143,2021-05-02 08:08,52,V,63.2736666666667,1.52183333333333,63.2693333333333,1.4365,55F1,420,450,1900,4326.27199999876,25,,,,,800,,,,,98,,,,,,,266,,,,,,,5823.662,,2021456,
Haul,Record,CAM,22408,144,2021-05-02 15:45,95,V,63.6743333333333,-0.190833333333333,63.738,-0.244333333333333,56E9,0,1000,2000,7624.68400000035,25,,,,,2200,,,,,38.38,,,,,,,344,,,,,,,5886.528,,2021456,
Haul,Record,PEL,22409,145,2021-05-02 22:49,30,V,63.8521666666667,1.21583333333333,63.852,1.28266666666667,56F1,0,0,1900,3311.37600000086,25,,,,,280,,,,,79,,,,,,,90,,,,,,,5940.209,,2021456,
Haul,Record,PEL,22410,146,2021-05-03 06:29,56,V,63.8625,2.15283333333333,63.8598333333333,2.034,56F2,130,300,1800,5915.28800000077,25,,,,,500,,,,,94.44,,,,,,,261,,,,,,,5977.985,,2021456,
