"Survey"	"Stratum"	"Layer"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"Abundance"	"MinLayerDepth"	"MaxLayerDepth"
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	5	5	336783.627647487	0	365
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	10	5	16839181.3823657	0	365
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	15	5	7083711.24082761	0	365
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	20	5	1378739.9878393	0	365
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	25	5	251794.793160614	0	365
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	30	5	241524.041230899	0	365
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	35	5	908839.079488183	0	365
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	40	5	635061.93761268	0	365
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	45	5	1018641.55319387	0	365
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	50	5	1585424.10551911	0	365
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	55	5	562851.203546853	0	365
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	60	5	549499.963218833	0	365
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	70	5	365907.895887847	0	365
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	85	5	182953.947944061	0	365
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	90	5	365907.895888121	0	365
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	10	5	7057141.56622526	0	365
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	15	5	2220808.57369424	0	365
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	20	5	1945269.74326442	0	365
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	25	5	3108047.84383311	0	365
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	30	5	3109310.05696755	0	365
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	35	5	7723464.571386	0	365
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	40	5	6099467.95731983	0	365
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	45	5	5769416.52664803	0	365
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	50	5	4197624.62883975	0	365
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	55	5	2486493.11810357	0	365
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	60	5	552987.104483396	0	365
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	65	5	368496.622684792	0	365
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	70	5	182557.78159274	0	365
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	75	5	182557.78159274	0	365
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	85	5	368496.622684792	0	365
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	5	5	9472590.14857414	0	365
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	10	5	162908772.995554	0	365
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	15	5	66675513.0852701	0	365
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	20	5	26180420.5223574	0	365
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	25	5	17528633.1650534	0	365
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	30	5	8226899.63070564	0	365
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	35	5	18526021.7931513	0	365
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	40	5	8657288.26883296	0	365
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	45	5	6363228.13657028	0	365
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	50	5	2648192.3197925	0	365
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	55	5	1016571.60574237	0	365
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	60	5	542812.147592414	0	365
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	65	5	307790.887753909	0	365
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	70	5	230843.16581551	0	365
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	85	5	76947.721938507	0	365
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	95	5	957137.731769057	0	365
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	100	5	384576.886863515	0	365
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	115	5	111036.236103519	0	365
"Survey"	"8"	NA	NA	NA	NA	NA	NA	NA
