"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"Sample"	"CatchFractionWeight"	"CatchFractionCount"	"SampleWeight"	"SampleCount"
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111
"1999002/4/1999/1024/2"	"21"	"80006"	"torsk/164712/126436/NA"	"3"	"1999002/4/1999/1024/2-21-80006-torsk/164712/126436/NA-3"	94.82	109	46.975	54
"1999002/4/1999/1024/2"	"22"	"80007"	"torsk/164712/126436/NA"	"2"	"1999002/4/1999/1024/2-22-80007-torsk/164712/126436/NA-2"	40.32	85	40.32	85
"1999002/4/1999/1024/2"	"23"	"80008"	"torsk/164712/126436/NA"	"3"	"1999002/4/1999/1024/2-23-80008-torsk/164712/126436/NA-3"	52.76	71	52.76	71
"1999002/4/1999/1024/2"	"23"	"80008"	"torsk/164712/126436/NA"	"4"	"1999002/4/1999/1024/2-23-80008-torsk/164712/126436/NA-4"	2.25	161	1.395	100
"1999002/4/1999/1024/2"	"24"	"80009"	"torsk/164712/126436/NA"	"2"	"1999002/4/1999/1024/2-24-80009-torsk/164712/126436/NA-2"	237.8	425	47.58	85
"1999002/4/1999/1024/2"	"24"	"80009"	"torsk/164712/126436/NA"	"3"	"1999002/4/1999/1024/2-24-80009-torsk/164712/126436/NA-3"	39.525	1581	1.2	48
"1999002/4/1999/1024/2"	"25"	"80010"	"torsk/164712/126436/NA"	"3"	"1999002/4/1999/1024/2-25-80010-torsk/164712/126436/NA-3"	103.35	390	41.34	156
"1999002/4/1999/1024/2"	"25"	"80010"	"torsk/164712/126436/NA"	"4"	"1999002/4/1999/1024/2-25-80010-torsk/164712/126436/NA-4"	18.25	1052	2.22	128
"1999002/4/1999/1024/2"	"26"	"80011"	"torsk/164712/126436/NA"	"3"	"1999002/4/1999/1024/2-26-80011-torsk/164712/126436/NA-3"	193.76	289	134.275	200
"1999002/4/1999/1024/2"	"27"	"80012"	"torsk/164712/126436/NA"	"2"	"1999002/4/1999/1024/2-27-80012-torsk/164712/126436/NA-2"	70.44	94	70.44	94
