"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"IndividualKey"	"Individual"	"IndividualRoundWeight"	"IndividualTotalLength"	"LengthResolution"	"WeightMeasurement"	"IndividualAge"	"IndividualSex"
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-1"	NA	8	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"2"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-2"	NA	10	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"3"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-3"	NA	10	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"4"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-4"	NA	10	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"5"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-5"	NA	10	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"6"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-6"	NA	10	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"7"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-7"	NA	10	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"8"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-8"	NA	10	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"9"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-9"	NA	10	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"10"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-10"	NA	10	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"11"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-11"	NA	10	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"12"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-12"	NA	10	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"13"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-13"	NA	11	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"14"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-14"	NA	11	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"15"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-15"	NA	11	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"16"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-16"	NA	11	1	"IndividualWeight"	NA	NA
"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"17"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-17"	NA	11	1	"IndividualWeight"	NA	NA
