"Station"	"Haul"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"WeightedCount"	"MinHaulDepth"	"MaxHaulDepth"	"LengthDistributionWeight"	"LengthDistributionType"	"Cruise"	"EffectiveTowDistance"	"DateTime"	"Longitude"	"Latitude"	"Gear"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	8	1	65.199310205507	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	10	1	717.192412260185	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	11	1	1108.38827349303	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	12	1	977.989653082115	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	13	1	260.79724082193	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	14	1	195.597930616423	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	15	1	321.432374492023	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	16	1	563.231137024929	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	17	1	427.123947351825	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	18	1	59.576968265371	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	22	1	54.767606270548	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	23	1	53.753043818506	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	24	1	158.395223428298	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	29	1	48.745976584687	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
