"Survey"	"Stratum"	"Layer"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"Density"	"MinLayerDepth"	"MaxLayerDepth"	"MeanDensityWeight"
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	5	5	65.199310205507	0	365	1
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	10	5	3259.96551027368	0	365	1
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	15	5	1371.36442713415	0	365	1
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	20	5	266.915873517352	0	365	1
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	25	5	48.745976584687	0	365	1
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	30	5	46.757620007537	0	365	1
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	35	5	175.945848331026	0	365	1
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	40	5	122.944219584982	0	365	1
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	45	5	197.202955140156	0	365	1
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	50	5	306.928691234437	0	365	1
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	55	5	108.96465031847	0	365	1
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	60	5	106.379929481963	0	365	1
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	70	5	70.837595572215	0	365	1
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	85	5	35.418797786134	0	365	1
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	90	5	70.837595572268	0	365	1
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	10	5	684.59275715748	0	365	2
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	15	5	215.434174065679	0	365	2
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	20	5	188.704954330217	0	365	2
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	25	5	301.502672550915	0	365	2
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	30	5	301.625116172276	0	365	2
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	35	5	749.23081195343	0	365	2
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	40	5	591.691628531233	0	365	2
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	45	5	559.674300154436	0	365	2
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	50	5	407.199344267458	0	365	2
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	55	5	241.207458204089	0	365	2
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	60	5	53.643669037705	0	365	2
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	65	5	35.746784524536	0	365	2
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	70	5	17.709398893067	0	365	2
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	75	5	17.709398893067	0	365	2
"Survey"	"7"	"WaterColumn"	"torsk/164712/126436/NA"	85	5	35.746784524536	0	365	2
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	5	5	872.040773998232	0	365	5
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	10	5	14997.2806028696	0	365	5
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	15	5	6138.10638121615	0	365	5
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	20	5	2410.15327569644	0	365	5
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	25	5	1613.67509758512	0	365	5
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	30	5	757.363277524068	0	365	5
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	35	5	1705.49407608853	0	365	5
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	40	5	796.984588614899	0	365	5
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	45	5	585.794835658263	0	365	5
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	50	5	243.790942501153	0	365	5
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	55	5	93.584951527713	0	365	5
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	60	5	49.970949645001	0	365	5
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	65	5	28.335038228897	0	365	5
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	70	5	21.25127867168	0	365	5
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	85	5	7.083759557227	0	365	5
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	95	5	88.113505951742	0	365	5
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	100	5	35.403909682799	0	365	5
"Survey"	"8"	"WaterColumn"	"torsk/164712/126436/NA"	115	5	10.221927028917	0	365	5
"Survey"	"8"	NA	NA	NA	NA	NA	NA	NA	5
