"Station"	"Haul"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"WeightedCount"	"MinHaulDepth"	"MaxHaulDepth"	"LengthDistributionWeight"	"LengthDistributionType"	"Cruise"	"EffectiveTowDistance"	"DateTime"	"Longitude"	"Latitude"	"Gear"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	5	5	65.199310205507	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	10	5	3259.96551027368	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	15	5	1371.36442713415	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	20	5	266.915873517352	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	25	5	48.745976584687	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	30	5	46.757620007537	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	35	5	175.945848331026	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	40	5	122.944219584982	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	45	5	197.202955140156	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	50	5	306.928691234437	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	55	5	108.96465031847	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	60	5	106.379929481963	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	70	5	70.837595572215	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	85	5	35.418797786134	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
"1999002/4/1999/1024/2-17"	"1999002/4/1999/1024/2-17-80002"	"torsk/164712/126436/NA"	90	5	70.837595572268	NA	365	1	"SweepWidthCompensatedNormalized"	"1999002/4/1999/1024/2"	1.5	1999-01-28T14:56:00Z	30.38333	70.78333	"3271"	NA	NA	NA
