"CruiseKey"	"StationKey"	"HaulKey"	"Haul"	"Gear"	"TowDistance"	"EffectiveTowDistance"	"MinHaulDepth"	"MaxHaulDepth"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"
"1999002/4/1999/1024/2"	"16"	"80001"	"1999002/4/1999/1024/2-16-80001"	"3271"	0.8	0.8	NA	280	4.5	NA	45
"1999002/4/1999/1024/2"	"17"	"80002"	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA
"1999002/4/1999/1024/2"	"18"	"80003"	"1999002/4/1999/1024/2-18-80003"	"3271"	1.5	1.5	NA	380	NA	NA	NA
"1999002/4/1999/1024/2"	"19"	"80004"	"1999002/4/1999/1024/2-19-80004"	"3271"	0.3	0.3	NA	400	NA	NA	NA
"1999002/4/1999/1024/2"	"20"	"80005"	"1999002/4/1999/1024/2-20-80005"	"3271"	1.5	1.5	NA	282	4.2	NA	46
"1999002/4/1999/1024/2"	"21"	"80006"	"1999002/4/1999/1024/2-21-80006"	"3271"	1.5	1.5	NA	233	NA	NA	NA
"1999002/4/1999/1024/2"	"22"	"80007"	"1999002/4/1999/1024/2-22-80007"	"3271"	1.5	1.5	NA	255	NA	NA	NA
"1999002/4/1999/1024/2"	"23"	"80008"	"1999002/4/1999/1024/2-23-80008"	"3271"	1.5	1.5	NA	211	NA	NA	NA
"1999002/4/1999/1024/2"	"24"	"80009"	"1999002/4/1999/1024/2-24-80009"	"3271"	1.5	1.5	NA	190	4.4	NA	45
"1999002/4/1999/1024/2"	"25"	"80010"	"1999002/4/1999/1024/2-25-80010"	"3271"	1.5	1.5	NA	165	NA	NA	NA
"1999002/4/1999/1024/2"	"26"	"80011"	"1999002/4/1999/1024/2-26-80011"	"3271"	1.5	1.5	NA	176	4.4	NA	45
"1999002/4/1999/1024/2"	"27"	"80012"	"1999002/4/1999/1024/2-27-80012"	"3271"	1.5	1.5	NA	226	4.5	NA	45
