"CruiseKey"	"StationKey"	"Station"	"CatchPlatform"	"DateTime"	"Latitude"	"Longitude"	"BottomDepth"
"1999002/4/1999/1024/2"	"16"	"1999002/4/1999/1024/2-16"	"1024"	1999-01-28T10:19:00Z	71.02	28.88333	280
"1999002/4/1999/1024/2"	"17"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365
"1999002/4/1999/1024/2"	"18"	"1999002/4/1999/1024/2-18"	"1024"	1999-01-28T16:30:00Z	70.76833	30.64833	380
"1999002/4/1999/1024/2"	"19"	"1999002/4/1999/1024/2-19"	"1024"	1999-01-28T18:59:00Z	70.585	31.35	400
"1999002/4/1999/1024/2"	"20"	"1999002/4/1999/1024/2-20"	"1024"	1999-01-28T20:31:00Z	70.595	31.725	282
"1999002/4/1999/1024/2"	"21"	"1999002/4/1999/1024/2-21"	"1024"	1999-01-29T00:45:00Z	70.84167	31.37667	233
"1999002/4/1999/1024/2"	"22"	"1999002/4/1999/1024/2-22"	"1024"	1999-01-29T03:55:00Z	70.87167	32.38167	255
"1999002/4/1999/1024/2"	"23"	"1999002/4/1999/1024/2-23"	"1024"	1999-01-29T07:07:00Z	70.905	33.33	211
"1999002/4/1999/1024/2"	"24"	"1999002/4/1999/1024/2-24"	"1024"	1999-01-29T09:56:00Z	70.91667	34.36	190
"1999002/4/1999/1024/2"	"25"	"1999002/4/1999/1024/2-25"	"1024"	1999-01-29T12:40:00Z	70.92	35.37167	165
"1999002/4/1999/1024/2"	"26"	"1999002/4/1999/1024/2-26"	"1024"	1999-01-29T18:12:00Z	71.25	35.18667	176
"1999002/4/1999/1024/2"	"27"	"1999002/4/1999/1024/2-27"	"1024"	1999-01-29T20:57:00Z	71.23833	34.13333	226
