"Survey"	"Stratum"	"Layer"	"SpeciesCategory"	"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"IndividualKey"	"IndividualTotalLength"	"LengthResolution"	"IndividualRoundWeight"	"Abundance"	"Biomass"	"MinLayerDepth"	"MaxLayerDepth"	"Cruise"	"Platform"	"Station"	"CatchPlatform"	"DateTime"	"Latitude"	"Longitude"	"BottomDepth"	"stationtype"	"Haul"	"Gear"	"TowDistance"	"EffectiveTowDistance"	"MinHaulDepth"	"MaxHaulDepth"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"	"gearcondition"	"samplequality"	"Sample"	"CatchFractionWeight"	"CatchFractionCount"	"SampleWeight"	"SampleCount"	"Individual"	"WeightMeasurement"	"IndividualAge"	"IndividualSex"
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"1"	5	5	NA	336783.627647487	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-1"	"IndividualWeight"	NA	NA
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"10"	10	5	NA	336783.627647315	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-10"	"IndividualWeight"	NA	NA
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"100"	50	5	NA	198178.013189889	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-100"	"IndividualWeight"	NA	NA
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"101"	55	5	NA	187617.067848951	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-101"	"IndividualWeight"	NA	NA
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"102"	55	5	NA	187617.067848951	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-102"	"IndividualWeight"	NA	NA
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"103"	55	5	NA	187617.067848951	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-103"	"IndividualWeight"	NA	NA
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"104"	60	5	NA	183166.654406277	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-104"	"IndividualWeight"	NA	NA
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"105"	60	5	NA	183166.654406277	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-105"	"IndividualWeight"	NA	NA
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"106"	60	5	NA	183166.654406277	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-106"	"IndividualWeight"	NA	NA
"Survey"	"6"	"WaterColumn"	"torsk/164712/126436/NA"	"1999002/4/1999/1024/2"	"17"	"80002"	"torsk/164712/126436/NA"	"3"	"107"	70	5	NA	182953.947943924	NA	0	365	"1999002/4/1999/1024/2"	"1024"	"1999002/4/1999/1024/2-17"	"1024"	1999-01-28T14:56:00Z	70.78333	30.38333	365	NA	"1999002/4/1999/1024/2-17-80002"	"3271"	1.5	1.5	NA	365	NA	NA	NA	"1"	"1"	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3"	57.64	111	57.64	111	"1999002/4/1999/1024/2-17-80002-torsk/164712/126436/NA-3-107"	"IndividualWeight"	NA	NA
