"Survey"	"Stratum"	"PSU"	"Layer"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"Density"	"MinLayerDepth"	"MaxLayerDepth"	"DensityWeight"	"MeanLengthDistributionWeight"	"LengthDistributionType"
"Survey"	"6"	"PSU1"	"WaterColumn"	"torsk/164712/126436/NA"	5	5	65.199310205507	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"6"	"PSU1"	"WaterColumn"	"torsk/164712/126436/NA"	10	5	3259.96551027368	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"6"	"PSU1"	"WaterColumn"	"torsk/164712/126436/NA"	15	5	1371.36442713415	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"6"	"PSU1"	"WaterColumn"	"torsk/164712/126436/NA"	20	5	266.915873517352	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"6"	"PSU1"	"WaterColumn"	"torsk/164712/126436/NA"	25	5	48.745976584687	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"6"	"PSU1"	"WaterColumn"	"torsk/164712/126436/NA"	30	5	46.757620007537	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"6"	"PSU1"	"WaterColumn"	"torsk/164712/126436/NA"	35	5	175.945848331026	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"6"	"PSU1"	"WaterColumn"	"torsk/164712/126436/NA"	40	5	122.944219584982	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"6"	"PSU1"	"WaterColumn"	"torsk/164712/126436/NA"	45	5	197.202955140156	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"6"	"PSU1"	"WaterColumn"	"torsk/164712/126436/NA"	50	5	306.928691234437	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"6"	"PSU1"	"WaterColumn"	"torsk/164712/126436/NA"	55	5	108.96465031847	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"6"	"PSU1"	"WaterColumn"	"torsk/164712/126436/NA"	60	5	106.379929481963	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"6"	"PSU1"	"WaterColumn"	"torsk/164712/126436/NA"	70	5	70.837595572215	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"6"	"PSU1"	"WaterColumn"	"torsk/164712/126436/NA"	85	5	35.418797786134	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"6"	"PSU1"	"WaterColumn"	"torsk/164712/126436/NA"	90	5	70.837595572268	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU2"	"WaterColumn"	"torsk/164712/126436/NA"	20	5	215.076288309961	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU2"	"WaterColumn"	"torsk/164712/126436/NA"	25	5	304.471824211081	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU2"	"WaterColumn"	"torsk/164712/126436/NA"	30	5	183.97685452625	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU2"	"WaterColumn"	"torsk/164712/126436/NA"	35	5	802.205611534717	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU2"	"WaterColumn"	"torsk/164712/126436/NA"	40	5	931.17197015202	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU2"	"WaterColumn"	"torsk/164712/126436/NA"	45	5	881.363626039677	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU2"	"WaterColumn"	"torsk/164712/126436/NA"	50	5	776.354025493234	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU2"	"WaterColumn"	"torsk/164712/126436/NA"	55	5	223.235735195643	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU2"	"WaterColumn"	"torsk/164712/126436/NA"	60	5	71.493569049072	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU2"	"WaterColumn"	"torsk/164712/126436/NA"	65	5	71.493569049072	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU2"	"WaterColumn"	"torsk/164712/126436/NA"	85	5	71.493569049072	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU3"	"WaterColumn"	"torsk/164712/126436/NA"	10	5	1369.18551431496	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU3"	"WaterColumn"	"torsk/164712/126436/NA"	15	5	430.868348131358	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU3"	"WaterColumn"	"torsk/164712/126436/NA"	20	5	162.333620350473	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU3"	"WaterColumn"	"torsk/164712/126436/NA"	25	5	298.533520890749	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU3"	"WaterColumn"	"torsk/164712/126436/NA"	30	5	419.273377818301	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU3"	"WaterColumn"	"torsk/164712/126436/NA"	35	5	696.256012372142	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU3"	"WaterColumn"	"torsk/164712/126436/NA"	40	5	252.211286910446	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU3"	"WaterColumn"	"torsk/164712/126436/NA"	45	5	237.984974269195	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU3"	"WaterColumn"	"torsk/164712/126436/NA"	50	5	38.044663041683	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU3"	"WaterColumn"	"torsk/164712/126436/NA"	55	5	259.179181212535	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU3"	"WaterColumn"	"torsk/164712/126436/NA"	60	5	35.793769026338	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU3"	"WaterColumn"	"torsk/164712/126436/NA"	70	5	35.418797786134	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"7"	"PSU3"	"WaterColumn"	"torsk/164712/126436/NA"	75	5	35.418797786134	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	10	5	9254.09564206728	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	15	5	1217.86281213961	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	20	5	772.296909298272	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	25	5	555.428169413881	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	30	5	327.548913651853	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	35	5	350.899703110656	0	365	1	1	"SweepWidthCompensatedNormalized"
"Survey"	"8"	"PSU4"	"WaterColumn"	"torsk/164712/126436/NA"	40	5	332.175712958045	0	365	1	1	"SweepWidthCompensatedNormalized"
