"Stratum"	"IndividualTotalLength"	"Abundance_sum_5%"	"Abundance_sum_50%"	"Abundance_sum_95%"	"Abundance_sum_mean"	"Abundance_sum_sd"	"Abundance_sum_cv"
"6"	NA	0	0	0	0	0	NA
"6"	5	336783.627647487	336783.627647487	336783.627647487	336783.627647487	0	0
"6"	10	16839181.3823657	16839181.3823657	16839181.3823657	16839181.3823657	0	0
"6"	15	7083711.24082761	7083711.24082761	7083711.24082761	7083711.24082761	0	0
"6"	20	1378739.9878393	1378739.9878393	1378739.9878393	1378739.9878393	0	0
"6"	25	251794.793160614	251794.793160614	251794.793160614	251794.793160614	0	0
"6"	30	241524.041230899	241524.041230899	241524.041230899	241524.041230899	0	0
"6"	35	908839.079488183	908839.079488183	908839.079488183	908839.079488183	0	0
"6"	40	635061.93761268	635061.93761268	635061.93761268	635061.93761268	0	0
"6"	45	1018641.55319387	1018641.55319387	1018641.55319387	1018641.55319387	0	0
"6"	50	1585424.10551911	1585424.10551911	1585424.10551911	1585424.10551911	0	0
"6"	55	562851.203546853	562851.203546853	562851.203546853	562851.203546853	0	0
"6"	60	549499.963218833	549499.963218833	549499.963218833	549499.963218833	0	0
"6"	65	0	0	0	0	0	NA
"6"	70	365907.895887847	365907.895887847	365907.895887847	365907.895887847	0	0
"6"	75	0	0	0	0	0	NA
"6"	85	182953.947944061	182953.947944061	182953.947944061	182953.947944061	0	0
"6"	90	365907.895888121	365907.895888121	365907.895888121	365907.895888121	0	0
"6"	95	0	0	0	0	0	NA
"6"	100	0	0	0	0	0	NA
"6"	115	0	0	0	0	0	NA
"7"	NA	0	0	0	0	0	NA
"7"	5	0	0	0	0	0	NA
"7"	10	0	7057141.56622526	14114283.1324505	8609712.71079483	5197664.91436512	0.603697833941
"7"	15	0	2220808.57369424	4441617.14738849	2709386.45990698	1635650.73715617	0.603697833941
"7"	20	1673420.18710202	1945269.74326442	2217119.29942683	1885462.84090869	200220.285620097	0.106191583985
"7"	25	3077440.2696537	3108047.84383311	3138655.41801252	3101314.17751364	22542.8260058612	0.007268797908
"7"	30	1896530.00813433	3109310.05696755	4322090.10580075	3376121.66771085	893226.280004199	0.264571709174
"7"	35	7177372.52442974	7723464.571386	8269556.61834225	7603324.32105562	402202.994773787	0.052898308396
"7"	40	2599926.36164779	6099467.95731983	9599009.55299187	5329568.80627198	2577452.13093622	0.483613632664
"7"	45	2453274.06183154	5769416.52664803	9085558.99146451	5039865.1843884	2442376.58812224	0.484611492325
"7"	50	392184.36087359	4197624.62883975	8003064.89680592	3360427.7698872	2802749.97729705	0.834045594556
"7"	55	2301231.16180388	2486493.11810357	2671755.07440325	2527250.7484895	136447.534910452	0.053990501335
"7"	60	368980.963597208	552987.104483396	736993.245369583	512505.753488434	135522.612595601	0.264431397449
"7"	65	0	368496.622684792	736993.245369583	287427.365694137	271401.947774055	0.944245330011
"7"	70	0	182557.78159274	365115.56318548	222720.493543143	134455.879526369	0.603697833941
"7"	75	0	182557.78159274	365115.56318548	222720.493543143	134455.879526369	0.603697833941
"7"	85	0	368496.622684792	736993.245369583	287427.365694137	271401.947774055	0.944245330011
"7"	90	0	0	0	0	0	NA
"7"	95	0	0	0	0	0	NA
"7"	100	0	0	0	0	0	NA
"7"	115	0	0	0	0	0	NA
"8"	NA	0	0	0	0	0	NA
"8"	5	0	9401767.04465954	18881439.5036251	7620565.98120808	6802138.54256412	0.892602801332
"8"	10	14096767.6801316	146062012.728907	319301820.430967	138542041.527282	100287714.742211	0.723879290623
"8"	15	2050787.85894131	64584640.5369525	132241130.958342	54459390.0056358	45910111.5424891	0.843015530246
"8"	20	2061879.86111106	25161568.9265624	50298961.1836038	21710001.5908961	16720519.3729898	0.770175870462
"8"	25	1868936.29347975	16546105.0771172	31073573.3086076	14696790.5625109	9811985.92270514	0.667627798122
"8"	30	1313539.51345891	7871097.84882234	11847075.0072306	7217427.92568996	3197580.25498968	0.443035980118
"8"	35	1869161.69751824	15739454.6190773	28459145.811446	16146306.4980439	8419128.16476579	0.521427495866
"8"	40	1481415.23997716	8435723.55173596	15223978.0794192	8022270.55592597	5269787.37239329	0.656894745154
"8"	45	1862393.24963472	6200144.77202508	10096457.3940494	6066654.61345141	2614698.70327525	0.430995148047
"8"	50	1283219.36713405	2502699.03813238	3962034.44804595	2579602.08034187	841247.022088398	0.326115034756
"8"	55	316810.441562825	1065979.65890836	1677248.23239153	1036284.28787523	409197.37861447	0.394869808799
"8"	60	154016.216482118	465864.425653918	1008555.80064123	485115.729623418	283392.223319873	0.5841744681
"8"	65	76947.721938507	307790.887753909	692529.497446194	352420.566478219	197920.525725851	0.561603222263
"8"	70	76947.721938507	230843.16581551	461686.331631031	258544.345713377	124132.893547043	0.48012225216
"8"	75	0	0	0	0	0	NA
"8"	85	0	76947.721938507	230843.16581551	89259.3574486673	73510.3726518695	0.823559285581
"8"	90	0	0	0	0	0	NA
"8"	95	76947.721938507	880190.009830561	1710951.67412184	797677.400885082	541119.907632878	0.678369359634
"8"	100	0	384576.886863515	769153.773727031	307661.509490812	280137.864370547	0.910539198856
"8"	115	0	111036.236103519	222072.472207038	97711.8877710969	96851.119149098	0.991190748213
