"Stratum"	"IndividualAge"	"IndividualTotalLength_weighted.mean"
"6"	NA	90
"6"	1	10.086192810668
"6"	2	15.731162368287
"6"	3	27.430325405157
"6"	4	39.280109957478
"6"	5	51.310007151252
"6"	6	60
"6"	7	70
"6"	8	85
"7"	1	10
"7"	2	16.368282886568
"7"	3	30.664900405433
"7"	4	39.34389195865
"7"	5	51.860000984603
"7"	6	61.999474390162
"7"	7	72.5
"7"	8	85
"8"	NA	NA
"8"	1	9.742169747238
"8"	2	15.076762235207
"8"	3	22.671159106714
"8"	4	37.0153307064
"8"	5	49.29564512199
"8"	6	58.408739126048
"8"	7	68.75
"8"	8	85
"8"	9	95
"8"	10	97.272640391452
"8"	11	115
