VariableName	Value	NewValue
IndividualMaturity	61	Immature
IndividualMaturity	62	Immature
IndividualMaturity	63	Mature
IndividualMaturity	64	Mature
IndividualMaturity	65	Mature
IndividualMaturity	66	Mature
IndividualMaturity	A	Immature
IndividualMaturity	B	Immature
IndividualMaturity	B1	Immature
IndividualMaturity	B2	Immature
IndividualMaturity	B3	Immature
IndividualMaturity	B4	Mature
IndividualMaturity	B5	Mature
IndividualMaturity	B6	Mature
IndividualMaturity	B7	Mature
IndividualMaturity	B8	Mature
IndividualMaturity	Ba	Immature
IndividualMaturity	Bb	Mature
IndividualMaturity	C	Mature
IndividualMaturity	Ca	Mature
IndividualMaturity	Cb	Mature
IndividualMaturity	D	Mature
IndividualMaturity	Da	Mature
IndividualMaturity	Db	Mature
IndividualMaturity	E	Mature
IndividualMaturity	F	Mature
IndividualMaturity	R1_1	Immature
IndividualMaturity	R1_2	Immature
IndividualMaturity	R1_3	Mature
IndividualMaturity	R1_4	Mature
IndividualMaturity	R2_2	Mature
IndividualMaturity	R2_4	Mature
IndividualMaturity	R2_6	Mature
IndividualMaturity	R2_8	Mature
IndividualMaturity	W1	Immature
IndividualMaturity	W2	Immature
IndividualMaturity	W3	Immature
IndividualMaturity	W4	Mature
IndividualMaturity	W5	Mature
IndividualMaturity	W6	Mature
