"Survey"	"Stratum"	"Layer"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"Abundance"	"MinLayerDepth"	"MaxLayerDepth"
"Survey"	"Statum1"	"WaterColumn"	"126417"	14	1	1522701.94554542	30	69
"Survey"	"Statum1"	"WaterColumn"	"126417"	15	1	10406159.5496739	30	69
"Survey"	"Statum1"	"WaterColumn"	"126417"	16	1	27424701.497709	30	69
"Survey"	"Statum1"	"WaterColumn"	"126417"	17	1	52189619.0643188	30	69
"Survey"	"Statum1"	"WaterColumn"	"126417"	18	1	50598939.7906796	30	69
"Survey"	"Statum1"	"WaterColumn"	"126417"	19	1	27784366.0325993	30	69
"Survey"	"Statum1"	"WaterColumn"	"126417"	20	1	18126579.7431471	30	69
"Survey"	"Statum1"	"WaterColumn"	"126417"	21	1	14118981.6603424	30	69
"Survey"	"Statum1"	"WaterColumn"	"126417"	22	1	1843433.34278347	30	69
"Survey"	"Statum1"	"WaterColumn"	"126417"	23	1	1736522.87703745	30	69
"Survey"	"Statum1"	"WaterColumn"	"126425"	6	1	32001276.0959076	30	69
"Survey"	"Statum1"	"WaterColumn"	"126425"	7	1	34134694.5023014	30	69
"Survey"	"Statum1"	"WaterColumn"	"126425"	8	1	11269279.0123695	30	69
"Survey"	"Statum1"	"WaterColumn"	"126425"	9	1	2133418.40639386	30	69
"Survey"	"Statum1"	"WaterColumn"	"126425"	10	1	207440716.500631	30	69
"Survey"	"Statum1"	"WaterColumn"	"126425"	11	1	1029598953.32317	30	69
"Survey"	"Statum1"	"WaterColumn"	"126425"	12	1	663510814.153761	30	69
"Survey"	"Statum1"	"WaterColumn"	"126425"	13	1	14168313.1317601	30	69
"Survey"	"Statum1"	"WaterColumn"	"126436"	14	1	58812.0247413028	30	69
"Survey"	"Statum1"	"WaterColumn"	"126436"	15	1	176436.074223992	30	69
"Survey"	"Statum1"	"WaterColumn"	"126436"	16	1	58812.0247413028	30	69
"Survey"	"Statum1"	"WaterColumn"	"126436"	17	1	58812.0247413028	30	69
"Survey"	"Stratum2"	"WaterColumn"	"126417"	15	1	9911601.85651353	30	69
"Survey"	"Stratum2"	"WaterColumn"	"126417"	16	1	41062350.5484132	30	69
"Survey"	"Stratum2"	"WaterColumn"	"126417"	17	1	83540644.2191856	30	69
"Survey"	"Stratum2"	"WaterColumn"	"126417"	18	1	84956587.3415447	30	69
"Survey"	"Stratum2"	"WaterColumn"	"126417"	19	1	36814521.181336	30	69
"Survey"	"Stratum2"	"WaterColumn"	"126417"	20	1	36814521.181336	30	69
"Survey"	"Stratum2"	"WaterColumn"	"126417"	21	1	24071033.0801044	30	69
"Survey"	"Stratum2"	"WaterColumn"	"126417"	22	1	5663772.48943628	30	69
"Survey"	"Stratum2"	"WaterColumn"	"126417"	23	1	4247829.36707721	30	69
"Survey"	"Stratum2"	"WaterColumn"	"126425"	6	1	29886591.2548981	30	69
"Survey"	"Stratum2"	"WaterColumn"	"126425"	7	1	444977829.159698	30	69
"Survey"	"Stratum2"	"WaterColumn"	"126425"	8	1	10549571.3721884	30	69
"Survey"	"Stratum2"	"WaterColumn"	"126425"	9	1	3866835.90107458	30	69
"Survey"	"Stratum2"	"WaterColumn"	"126425"	10	1	20348209.5327715	30	69
"Survey"	"Stratum2"	"WaterColumn"	"126425"	11	1	40674761.4777001	30	69
"Survey"	"Stratum2"	"WaterColumn"	"126425"	12	1	15125577.5404544	30	69
"Survey"	"Stratum2"	"WaterColumn"	"126425"	13	1	2397117.78855073	30	69
