"Survey"	"Stratum"	"Layer"	"SpeciesCategory"	"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"IndividualKey"	"IndividualTotalLength"	"LengthResolution"	"IndividualRoundWeight"	"Abundance"	"Biomass"	"MinLayerDepth"	"MaxLayerDepth"	"Cruise"	"Platform"	"Station"	"CatchPlatform"	"DateTime"	"Latitude"	"Longitude"	"BottomDepth"	"Haul"	"Gear"	"TowDistance"	"EffectiveTowDistance"	"MinHaulDepth"	"MaxHaulDepth"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"	"Sample"	"CatchFractionWeight"	"CatchFractionCount"	"SampleWeight"	"SampleCount"	"Individual"	"WeightMeasurement"	"IndividualAge"	"IndividualSex"	"StockCode"	"IndividualMaturity"	"MaturityScale"	"ReplaceLevel"	"ReplaceIndividual"
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"168"	15	1	28.4	346871.984989131	9851164.37369132	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-168"	"IndividualWeight"	3	"F"	NA	"Immature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"169"	15	1	28.8	346871.984989131	9989913.16768697	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-169"	"IndividualWeight"	3	"M"	NA	"Immature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"170"	15	1	23.2	346871.984989131	8047430.05174784	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-170"	"IndividualWeight"	5	"M"	NA	"Mature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"171"	15	1	23.6	346871.984989131	8186178.84574349	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-171"	"IndividualWeight"	3	"F"	NA	"Immature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"172"	16	1	27.8	347148.120224165	9650717.74223178	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-172"	"IndividualWeight"	4	"M"	NA	"Immature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"173"	17	1	30.8	410941.882396211	12657009.9778033	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-173"	"IndividualWeight"	2	"M"	NA	"Mature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"174"	16	1	24.5	347148.120224165	8505128.94549203	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-174"	"IndividualWeight"	3	"F"	NA	"Immature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"175"	15	1	20.6	346871.984989131	7145562.8907761	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-175"	"IndividualWeight"	3	"M"	NA	"Immature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"176"	15	1	27.6	346871.984989131	9573666.78570001	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-176"	"IndividualWeight"	4	"F"	NA	"Immature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"177"	14	1	26.7	761350.972772712	20328070.9730314	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-177"	"IndividualWeight"	4	"F"	NA	"Mature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"178"	16	1	34	347148.120224165	11803036.0876216	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-178"	"IndividualWeight"	3	"M"	NA	"Immature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"179"	16	1	28.1	347148.120224165	9754862.17829903	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-179"	"IndividualWeight"	5	"F"	NA	"Immature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"180"	16	1	27.7	347148.120224165	9616002.93020936	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-180"	"IndividualWeight"	6	"M"	NA	"Immature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"181"	16	1	28.9	347148.120224165	10032580.6744784	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-181"	"IndividualWeight"	6	"F"	NA	"Immature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"182"	16	1	30.3	347148.120224165	10518588.0427922	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-182"	"IndividualWeight"	5	"F"	NA	"Immature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"183"	16	1	30.4	347148.120224165	10553302.8548146	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-183"	"IndividualWeight"	5	"F"	NA	"Immature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"184"	16	1	31.6	347148.120224165	10969880.5990836	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-184"	"IndividualWeight"	5	"F"	NA	"Immature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"185"	16	1	27.3	347148.120224165	9477143.68211969	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-185"	"IndividualWeight"	5	"F"	NA	"Immature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"186"	16	1	30.6	347148.120224165	10622732.4788594	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-186"	"IndividualWeight"	4	"F"	NA	"Immature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"187"	16	1	27.6	347148.120224165	9581288.11818694	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-187"	"IndividualWeight"	5	"F"	NA	"Mature"	"M6"	NA	NA
"Survey"	"Statum1"	"WaterColumn"	"126417"	"BIAS2019"	"3"	"3"	"126417"	"1"	"188"	16	1	27.8	347148.120224165	9650717.74223178	30	69	"BIAS2019"	"LTDA"	"BIAS2019-3"	"LTDA"	2019-10-30T15:45:00Z	55.94017	19.7925	64	"BIAS2019-3-3"	"PEL"	1.387149028078	1.387149028078	62	62	20	NA	NA	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235	"BIAS2019-3-3-126417-1-188"	"IndividualWeight"	2	"F"	NA	"Immature"	"M6"	NA	NA
