"Station"	"Haul"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"WeightedCount"	"MinHaulDepth"	"MaxHaulDepth"	"LengthDistributionWeight"	"LengthDistributionType"	"Cruise"	"EffectiveTowDistance"	"DateTime"	"Longitude"	"Latitude"	"Gear"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"
"BIAS2019-1"	"BIAS2019-1-1"	"126425"	6.5	0.5	633.155240461163	30	30	1	"Normalized"	"BIAS2019"	1.314254859611	2019-10-30T10:10:00Z	20.65133	55.94717	"PEL"	21	NA	NA
"BIAS2019-1"	"BIAS2019-1-1"	"126425"	7	0.5	4762.42854781658	30	30	1	"Normalized"	"BIAS2019"	1.314254859611	2019-10-30T10:10:00Z	20.65133	55.94717	"PEL"	21	NA	NA
"BIAS2019-1"	"BIAS2019-1-1"	"126425"	7.5	0.5	1679.23781165787	30	30	1	"Normalized"	"BIAS2019"	1.314254859611	2019-10-30T10:10:00Z	20.65133	55.94717	"PEL"	21	NA	NA
"BIAS2019-1"	"BIAS2019-1-1"	"126425"	8	0.5	110.113954862811	30	30	1	"Normalized"	"BIAS2019"	1.314254859611	2019-10-30T10:10:00Z	20.65133	55.94717	"PEL"	21	NA	NA
"BIAS2019-2"	"BIAS2019-2-2"	"126425"	6.5	0.5	48.488153173003	40	40	1	"Normalized"	"BIAS2019"	1.411447084233	2019-10-30T12:05:00Z	20.462	55.94017	"PEL"	20	NA	NA
"BIAS2019-2"	"BIAS2019-2-2"	"126425"	7	0.5	2569.87211816914	40	40	1	"Normalized"	"BIAS2019"	1.411447084233	2019-10-30T12:05:00Z	20.462	55.94017	"PEL"	20	NA	NA
"BIAS2019-2"	"BIAS2019-2-2"	"126425"	7.5	0.5	1090.98344639256	40	40	1	"Normalized"	"BIAS2019"	1.411447084233	2019-10-30T12:05:00Z	20.462	55.94017	"PEL"	20	NA	NA
"BIAS2019-2"	"BIAS2019-2-2"	"126425"	8	0.5	121.220382932507	40	40	1	"Normalized"	"BIAS2019"	1.411447084233	2019-10-30T12:05:00Z	20.462	55.94017	"PEL"	20	NA	NA
"BIAS2019-2"	"BIAS2019-2-2"	"126425"	9.5	0.5	72.732229759504	40	40	1	"Normalized"	"BIAS2019"	1.411447084233	2019-10-30T12:05:00Z	20.462	55.94017	"PEL"	20	NA	NA
"BIAS2019-2"	"BIAS2019-2-2"	"126425"	10	0.5	96.976306346005	40	40	1	"Normalized"	"BIAS2019"	1.411447084233	2019-10-30T12:05:00Z	20.462	55.94017	"PEL"	20	NA	NA
