"Survey"	"Stratum"	"Layer"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"Density"	"MinLayerDepth"	"MaxLayerDepth"	"MeanDensityWeight"
"Survey"	"Statum1"	"WaterColumn"	"126417"	14	1	1152.24644552087	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126417"	15	1	7874.4631460623	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126417"	16	1	20752.5937118883	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126417"	17	1	39492.4976853623	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126417"	18	1	38288.8119973152	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126417"	19	1	21024.7560895089	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126417"	20	1	13716.5957787034	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126417"	21	1	10683.9992423314	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126417"	22	1	1394.94766063102	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126417"	23	1	1314.0472555943	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126425"	6	1	24215.7414597862	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126425"	7	1	25830.1242237719	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126425"	8	1	8527.59578036426	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126425"	9	1	1614.38276398576	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126425"	10	1	156972.826457207	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126425"	11	1	779109.620073208	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126425"	12	1	502086.425652709	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126425"	13	1	10721.3289461251	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126436"	14	1	44.503749837778	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126436"	15	1	133.511249513397	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126436"	16	1	44.503749837778	30	69	2
"Survey"	"Statum1"	"WaterColumn"	"126436"	17	1	44.503749837778	30	69	2
"Survey"	"Stratum2"	"WaterColumn"	"126417"	15	1	9303.64569174216	30	69	3
"Survey"	"Stratum2"	"WaterColumn"	"126417"	16	1	38543.6750086461	30	69	3
"Survey"	"Stratum2"	"WaterColumn"	"126417"	17	1	78416.4422589698	30	69	3
"Survey"	"Stratum2"	"WaterColumn"	"126417"	18	1	79745.5345006472	30	69	3
"Survey"	"Stratum2"	"WaterColumn"	"126417"	19	1	34556.3982836138	30	69	3
"Survey"	"Stratum2"	"WaterColumn"	"126417"	20	1	34556.3982836138	30	69	3
"Survey"	"Stratum2"	"WaterColumn"	"126417"	21	1	22594.5681085167	30	69	3
"Survey"	"Stratum2"	"WaterColumn"	"126417"	22	1	5316.36896670978	30	69	3
"Survey"	"Stratum2"	"WaterColumn"	"126417"	23	1	3987.27672503234	30	69	3
"Survey"	"Stratum2"	"WaterColumn"	"126425"	6	1	28053.4125557883	30	69	3
"Survey"	"Stratum2"	"WaterColumn"	"126425"	7	1	417683.854044421	30	69	3
"Survey"	"Stratum2"	"WaterColumn"	"126425"	8	1	9902.48354074947	30	69	3
"Survey"	"Stratum2"	"WaterColumn"	"126425"	9	1	3629.65257205772	30	69	3
"Survey"	"Stratum2"	"WaterColumn"	"126425"	10	1	19100.0944847101	30	69	3
"Survey"	"Stratum2"	"WaterColumn"	"126425"	11	1	38179.8598110515	30	69	3
"Survey"	"Stratum2"	"WaterColumn"	"126425"	12	1	14197.8074136304	30	69	3
"Survey"	"Stratum2"	"WaterColumn"	"126425"	13	1	2250.08378150223	30	69	3
