"Survey"	"Stratum"	"PSU"	"Layer"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"WeightedCount"	"MinLayerDepth"	"MaxLayerDepth"	"MeanLengthDistributionWeight"	"LengthDistributionType"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	14	1	18.6648992255	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	15	1	102.656945740252	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	16	1	270.641038769757	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	17	1	550.614527152262	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	18	1	559.946976765013	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	19	1	298.638387608007	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	20	1	195.981441867754	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	21	1	158.651643416754	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	22	1	18.6648992255	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	23	1	18.6648992255	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126425"	6	1	392.263630558091	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126425"	7	1	418.414539261964	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126425"	9	1	26.150908703873	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126425"	10	1	470.716356669709	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126425"	11	1	2536.63814427566	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126425"	12	1	2745.84541390664	30	69	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126425"	13	1	104.603634815491	30	69	1	"Normalized"
