"Station"	"Haul"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"WeightedCount"	"MinHaulDepth"	"MaxHaulDepth"	"LengthDistributionWeight"	"LengthDistributionType"	"Cruise"	"EffectiveTowDistance"	"DateTime"	"Longitude"	"Latitude"	"Gear"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"
"BIAS2019-1"	"BIAS2019-1-1"	"126425"	6	1	633.155240461163	30	30	1	"Normalized"	"BIAS2019"	1.314254859611	2019-10-30T10:10:00Z	20.65133	55.94717	"PEL"	21	NA	NA
"BIAS2019-1"	"BIAS2019-1-1"	"126425"	7	1	6441.66635947444	30	30	1	"Normalized"	"BIAS2019"	1.314254859611	2019-10-30T10:10:00Z	20.65133	55.94717	"PEL"	21	NA	NA
"BIAS2019-1"	"BIAS2019-1-1"	"126425"	8	1	110.113954862811	30	30	1	"Normalized"	"BIAS2019"	1.314254859611	2019-10-30T10:10:00Z	20.65133	55.94717	"PEL"	21	NA	NA
"BIAS2019-2"	"BIAS2019-2-2"	"126425"	6	1	48.488153173003	40	40	1	"Normalized"	"BIAS2019"	1.411447084233	2019-10-30T12:05:00Z	20.462	55.94017	"PEL"	20	NA	NA
"BIAS2019-2"	"BIAS2019-2-2"	"126425"	7	1	3660.8555645617	40	40	1	"Normalized"	"BIAS2019"	1.411447084233	2019-10-30T12:05:00Z	20.462	55.94017	"PEL"	20	NA	NA
"BIAS2019-2"	"BIAS2019-2-2"	"126425"	8	1	121.220382932507	40	40	1	"Normalized"	"BIAS2019"	1.411447084233	2019-10-30T12:05:00Z	20.462	55.94017	"PEL"	20	NA	NA
"BIAS2019-2"	"BIAS2019-2-2"	"126425"	9	1	72.732229759504	40	40	1	"Normalized"	"BIAS2019"	1.411447084233	2019-10-30T12:05:00Z	20.462	55.94017	"PEL"	20	NA	NA
"BIAS2019-2"	"BIAS2019-2-2"	"126425"	10	1	290.928919038016	40	40	1	"Normalized"	"BIAS2019"	1.411447084233	2019-10-30T12:05:00Z	20.462	55.94017	"PEL"	20	NA	NA
"BIAS2019-2"	"BIAS2019-2-2"	"126425"	11	1	606.101914662534	40	40	1	"Normalized"	"BIAS2019"	1.411447084233	2019-10-30T12:05:00Z	20.462	55.94017	"PEL"	20	NA	NA
"BIAS2019-2"	"BIAS2019-2-2"	"126425"	12	1	218.196689278512	40	40	1	"Normalized"	"BIAS2019"	1.411447084233	2019-10-30T12:05:00Z	20.462	55.94017	"PEL"	20	NA	NA
"BIAS2019-2"	"BIAS2019-2-2"	"126425"	13	1	48.488153173003	40	40	1	"Normalized"	"BIAS2019"	1.411447084233	2019-10-30T12:05:00Z	20.462	55.94017	"PEL"	20	NA	NA
"BIAS2019-3"	"BIAS2019-3-3"	"126417"	14	1	18.6648992255	62	62	1	"Normalized"	"BIAS2019"	1.387149028078	2019-10-30T15:45:00Z	19.7925	55.94017	"PEL"	20	NA	NA
"BIAS2019-3"	"BIAS2019-3-3"	"126417"	15	1	102.656945740252	62	62	1	"Normalized"	"BIAS2019"	1.387149028078	2019-10-30T15:45:00Z	19.7925	55.94017	"PEL"	20	NA	NA
"BIAS2019-3"	"BIAS2019-3-3"	"126417"	16	1	270.641038769757	62	62	1	"Normalized"	"BIAS2019"	1.387149028078	2019-10-30T15:45:00Z	19.7925	55.94017	"PEL"	20	NA	NA
