"Survey"	"Stratum"	"PSU"	"Layer"	"SpeciesCategory"	"IndividualTotalLength"	"LengthResolution"	"Density"	"MinLayerDepth"	"MaxLayerDepth"	"DensityWeight"	"MeanLengthDistributionWeight"	"LengthDistributionType"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	14	1	2304.49289104173	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	15	1	12674.7109007298	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	16	1	33415.146920106	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	17	1	67982.5402857326	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	18	1	69134.7867312536	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	19	1	36871.8862566686	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	20	1	24197.1753559387	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	21	1	19588.1895738552	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	22	1	2304.49289104173	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126417"	23	1	2304.49289104173	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126425"	6	1	48431.4829195723	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126425"	7	1	51660.2484475438	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126425"	9	1	3228.76552797152	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126425"	10	1	58117.7795034867	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126425"	11	1	313190.256213234	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126425"	12	1	339020.380437006	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126425"	13	1	12915.062111886	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126436"	14	1	89.007499675557	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126436"	15	1	267.022499026794	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126436"	16	1	89.007499675557	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU3"	"WaterColumn"	"126436"	17	1	89.007499675557	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126417"	15	1	3074.21539139482	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126417"	16	1	8090.04050367052	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126417"	17	1	11002.455084992	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126417"	18	1	7442.83726337689	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126417"	19	1	5177.62592234926	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126417"	20	1	3236.01620146813	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126417"	21	1	1779.80891080757	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126417"	22	1	485.402430220313	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126417"	23	1	323.601620146875	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126425"	8	1	17055.1915607285	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126425"	10	1	255827.873410928	30	69	1	1	"Normalized"
"Survey"	"Statum1"	"PSU4"	"WaterColumn"	"126425"	11	1	1245028.98393318	30	69	1	1	"Normalized"
