"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"Sample"	"CatchFractionWeight"	"CatchFractionCount"	"SampleWeight"	"SampleCount"
"BIAS2019"	"1"	"1"	"126425"	"1"	"BIAS2019-1-1-126425-1"	25	9442.837	0.691	261
"BIAS2019"	"2"	"2"	"126425"	"1"	"BIAS2019-2-2-126425-1"	30	7151.819	0.8767	209
"BIAS2019"	"3"	"3"	"126417"	"1"	"BIAS2019-3-3-126417-1"	118.05	3042.192	9.119	235
"BIAS2019"	"3"	"3"	"126425"	"1"	"BIAS2019-3-3-126425-1"	91.74	9286.453	2.529	256
"BIAS2019"	"3"	"3"	"126436"	"1"	"BIAS2019-3-3-126436-1"	0.21	6	0.21	6
"BIAS2019"	"4"	"4"	"126417"	"1"	"BIAS2019-4-4-126417-1"	15.016	410.6308	9.1786	251
"BIAS2019"	"4"	"4"	"126425"	"1"	"BIAS2019-4-4-126425-1"	234.958	22159.34	2.725	257
"BIAS2019"	"4"	"4"	"126505"	"1"	"BIAS2019-4-4-126505-1"	0.00935	3	0.00935	3
"BIAS2019"	"5"	"5"	"126417"	"1"	"BIAS2019-5-5-126417-1"	357.5	9127.899	8.8906	227
"BIAS2019"	"5"	"5"	"126425"	"1"	"BIAS2019-5-5-126425-1"	7.875	870.1658	2.0453	226
"BIAS2019"	"5"	"5"	"127141"	"1"	"BIAS2019-5-5-127141-1"	0.035	1	0.035	1
