"Stratum"	"IndividualMaturity"	"SpeciesCategory"	"Biomass_sum_5%"	"Biomass_sum_50%"	"Biomass_sum_95%"	"Biomass_sum_mean"	"Biomass_sum_sd"	"Biomass_sum_cv"
"Statum1"	NA	"126417"	12113201.7100496	64095405.8529854	90256935.5755175	57110827.6524738	35164510.1347136	0.61572405059
"Statum1"	NA	"126425"	189219570.712841	189219570.712841	270274926.245929	209483409.596113	45311321.2280994	0.216300285142
"Statum1"	NA	"126436"	12350525.1956765	12350525.1956765	22230945.3522177	14820630.2348118	5523322.77907135	0.37267799625
"Statum1"	"Immature"	"126417"	6129937255.95999	6231043145.20485	9782554097.67895	7110646363.14038	1975961250.4083	0.277887712241
"Statum1"	"Immature"	"126425"	11994678658.4845	18723398117.8132	18893018633.3024	17102426253.1049	3796506279.96293	0.221986414312
"Statum1"	"Immature"	"126436"	0	0	0	0	0	NA
"Statum1"	"Mature"	"126417"	1381900067.04459	1498738674.7843	2793494632.68941	1812704776.15447	717743851.350022	0.39595187302
"Statum1"	"Mature"	"126425"	513595804.25638	1708357967.67072	1833710442.68113	1451508159.23154	688095477.700358	0.474055535495
"Statum1"	"Mature"	"126436"	0	0	0	0	0	NA
"Stratum2"	NA	"126417"	0	194208398.757567	379108657.132199	190485142.604393	189565755.219697	0.995173443072
"Stratum2"	NA	"126425"	425188449.12311	1655843014.24991	2040952300.95071	1317624902.87951	829711122.68766	0.629702065341
"Stratum2"	NA	"126436"	0	0	0	0	0	NA
"Stratum2"	"Immature"	"126417"	0	9671761887.67051	18699434299.5984	9414126097.37347	9350826345.5102	0.993276088379
"Stratum2"	"Immature"	"126425"	297010171.474262	489539924.357978	1000660213.33124	645855601.726352	338464634.36814	0.524056203064
"Stratum2"	"Immature"	"126436"	0	0	0	0	0	NA
"Stratum2"	"Mature"	"126417"	0	2632874569.52122	5919146755.16797	2894233615.97143	2963177517.38599	1.023821125231
"Stratum2"	"Mature"	"126425"	21607154.1558539	23385544.2733241	56678490.4197908	36258125.2025433	18663235.9292579	0.514732513747
"Stratum2"	"Mature"	"126436"	0	0	0	0	0	NA
