"SpeciesCategory"	"Stratum"	"IndividualTotalLength"	"Abundance_sum"
"126417"	"Statum1"	14	1522701.94554542
"126417"	"Statum1"	15	10406159.5496739
"126417"	"Statum1"	16	27424701.497709
"126417"	"Statum1"	17	52189619.0643188
"126417"	"Statum1"	18	50598939.7906796
"126417"	"Statum1"	19	27784366.0325993
"126417"	"Statum1"	20	18126579.7431471
"126417"	"Statum1"	21	14118981.6603424
"126417"	"Statum1"	22	1843433.34278347
"126417"	"Statum1"	23	1736522.87703745
"126417"	"Stratum2"	15	9911601.85651353
"126417"	"Stratum2"	16	41062350.5484132
"126417"	"Stratum2"	17	83540644.2191856
"126417"	"Stratum2"	18	84956587.3415447
"126417"	"Stratum2"	19	36814521.181336
"126417"	"Stratum2"	20	36814521.181336
"126417"	"Stratum2"	21	24071033.0801044
"126417"	"Stratum2"	22	5663772.48943628
"126417"	"Stratum2"	23	4247829.36707721
"126425"	"Statum1"	6	32001276.0959076
"126425"	"Statum1"	7	34134694.5023014
"126425"	"Statum1"	8	11269279.0123695
"126425"	"Statum1"	9	2133418.40639386
"126425"	"Statum1"	10	207440716.500631
"126425"	"Statum1"	11	1029598953.32317
"126425"	"Statum1"	12	663510814.153761
"126425"	"Statum1"	13	14168313.1317601
"126425"	"Stratum2"	6	29886591.2548981
"126425"	"Stratum2"	7	444977829.159698
"126425"	"Stratum2"	8	10549571.3721884
"126425"	"Stratum2"	9	3866835.90107458
"126425"	"Stratum2"	10	20348209.5327715
"126425"	"Stratum2"	11	40674761.4777001
"126425"	"Stratum2"	12	15125577.5404544
"126425"	"Stratum2"	13	2397117.78855073
"126436"	"Statum1"	14	58812.0247413028
"126436"	"Statum1"	15	176436.074223992
"126436"	"Statum1"	16	58812.0247413028
"126436"	"Statum1"	17	58812.0247413028
